Composition                               , Type_of_phases                                                                                                                        , Density_g_cm3, HV     , Test_type, Yield_Strength_MPa, Ultimate_Strength_MPa, Elongation_pct, Youngs_Modulus_GPa, Folder_Number
Al0.5CoFeNi                               , FCC+BCC                                                                                                                               ,              ,  210   , C        ,             350   ,               2600   ,          50   ,                   ,             6
Al0.75CoFeNi                              , FCC+BCC                                                                                                                               ,              ,  380   , C        ,             800   ,               2787   ,          31.2 ,                   ,             6
AlCoFeNi                                  , BCC                                                                                                                                   ,              ,  450   , C        ,             967.4 ,               1700   ,           7.9 ,                   ,             6
CoFeNiSi0.25                              , FCC                                                                                                                                   ,              ,  145   , C        ,             192.0 ,               1800   ,          50   ,                   ,             6
CoFeNiSi0.5                               , FCC+Ni3Si                                                                                                                             ,              ,  290   , C        ,             450   ,               2400   ,          42   ,                   ,             6
CoFeNiSi0.75                              , FCC+Ni3Si                                                                                                                             ,              ,  568   , C        ,            1297.1 ,               1950   ,           2.5 ,                   ,             6
CoCrFeNiTi                                , FCC                                                                                                                                   ,              ,        , C        ,                   ,               2020   ,           9.0 ,            134.6  ,             7
CoCrFeNiTiAl0.5                           , BCC + Laves                                                                                                                           ,              ,        , C        ,                   ,               1600   ,           9.9 ,            106.8  ,             7
CoCrFeNiTiAl1.0                           , BCC + ordered BCC                                                                                                                     ,              ,        , C        ,                   ,               2280   ,           6.4 ,            147.6  ,             7
CoCrFeNiTiAl1.5                           , BCC                                                                                                                                   ,              ,        , C        ,                   ,               2110   ,           9.8 ,            133.4  ,             7
CoCrFeNiTiAl2.0                           , BCC                                                                                                                                   ,              ,        , C        ,                   ,               1030   ,           5.2 ,             93.5  ,             7
Al0CoCrFeMo0.5Ni                          , FCC + sigma                                                                                                                           ,              ,  220   ,          ,                   ,                      ,               ,                   ,             8
Al0.5CoCrFeMo0.5Ni                        , FCC + sigma                                                                                                                           ,              ,  440   ,          ,                   ,                      ,               ,                   ,             8
Al1.0CoCrFeMo0.5Ni                        , BCC1 + sigma                                                                                                                          ,              ,  720   ,          ,                   ,                      ,               ,                   ,             8
Al1.5CoCrFeMo0.5Ni                        , BCC1 + sigma                                                                                                                          ,              ,  665   ,          ,                   ,                      ,               ,                   ,             8
Al2.0CoCrFeMo0.5Ni                        , BCC1 + BCC2                                                                                                                           ,              ,  615   ,          ,                   ,                      ,               ,                   ,             8
Al0CoCrFeNi                               , FCC                                                                                                                                   ,              ,  116.0 ,          ,                   ,                      ,               ,                   ,             9
Al0.25CoCrFeNi                            , FCC                                                                                                                                   ,              ,  110.0 ,          ,                   ,                      ,               ,                   ,             9
Al0.375CoCrFeNi                           , FCC                                                                                                                                   ,              ,  130.8 ,          ,                   ,                      ,               ,                   ,             9
Al0.5CoCrFeNi                             , FCC+BCC                                                                                                                               ,              ,  159.0 ,          ,                   ,                      ,               ,                   ,             9
Al0.75CoCrFeNi                            , FCC+BCC                                                                                                                               ,              ,  388.0 ,          ,                   ,                      ,               ,                   ,             9
Al0.875CoCrFeNi                           , BCC                                                                                                                                   ,              ,  538.0 ,          ,                   ,                      ,               ,                   ,             9
Al1.0CoCrFeNi                             , BCC                                                                                                                                   ,              ,  484.0 ,          ,                   ,                      ,               ,                   ,             9
Al1.25CoCrFeNi                            , BCC                                                                                                                                   ,              ,  487.0 ,          ,                   ,                      ,               ,                   ,             9
Al1.5CoCrFeNi                             , BCC                                                                                                                                   ,              ,  484.0 ,          ,                   ,                      ,               ,                   ,             9
Al2.0CoCrFeNi                             , BCC                                                                                                                                   ,              ,  509.0 ,          ,                   ,                      ,               ,                   ,             9
FeNiCrCuCo                                , FCC                                                                                                                                   ,              ,  286   ,          ,                   ,                      ,               ,                   ,            10
FeNiCrCuMo                                , FCC                                                                                                                                   ,              ,  263   ,          ,                   ,                      ,               ,                   ,            10
FeNiCrCuAl                                , FCC + BCC                                                                                                                             ,              ,  342   ,          ,                   ,                      ,               ,                   ,            10
FeNiCrCuMn                                , FCC + BCC                                                                                                                             ,              ,  296   ,          ,                   ,                      ,               ,                   ,            10
FeNiCrCoAl                                , BCC                                                                                                                                   ,              ,  395   ,          ,                   ,                      ,               ,                   ,            10
FeNiCrCoAl1.5                             , BCC                                                                                                                                   ,              ,  402   ,          ,                   ,                      ,               ,                   ,            10
FeNiCrCoAl2                               , BCC                                                                                                                                   ,              ,  432   ,          ,                   ,                      ,               ,                   ,            10
FeNiCrCoAl2.5                             , BCC                                                                                                                                   ,              ,  487   ,          ,                   ,                      ,               ,                   ,            10
FeNiCrCoAl3                               , BCC                                                                                                                                   ,              ,  506   ,          ,                   ,                      ,               ,                   ,            10
FeNiCrCuZr                                , BCC + compounds                                                                                                                       ,              ,  566   ,          ,                   ,                      ,               ,                   ,            10
Co1.5CrFeNi1.5Ti0.5                       , "fcc gamma, eta-(Ni,Co)3Ti at grain boundaries"                                                                                       ,              ,  509   ,          ,                   ,                      ,               ,                   ,            11
Al0.2Co1.5CrFeNi1.5Ti0.5                  , fcc gamma (eta formation suppressed)                                                                                                  ,              ,  487   ,          ,                   ,                      ,               ,                   ,            11
Co1.5CrFeNi1.5Ti                          , "fcc gamma, coarse eta-(Ni,Co)3Ti (hcp D024) in interdendrite regions"                                                                ,              ,  654   ,          ,                   ,                      ,               ,                   ,            11
Al0.2Co1.5CrFeNi1.5Ti                     , "fcc gamma, needle-like eta-(Ni,Co)3Ti with Widmanstätten structure, coarse eta"                                                      ,              ,  717   ,          ,                   ,                      ,               ,                   ,            11
FeNiCrCo0.3Al0.7                          , BCC (A2) + BCC (B2) + FCC                                                                                                             ,              ,  624   , C        ,            2033   ,               2635   ,           8.12,                   ,            13
FeNiCrCoAl                                ,                                                                                                                                       ,              ,        , C        ,            1251   ,               2004   ,          32.7 ,                   ,            13
FeNiCrCoAl0.25                            , FCC                                                                                                                                   ,              ,  110   ,          ,                   ,                      ,               ,                   ,            13
FeNiCrCoAl0.5                             , FCC + BCC                                                                                                                             ,              ,  159   ,          ,                   ,                      ,               ,                   ,            13
FeNiCrCoAl0.75                            , FCC + BCC                                                                                                                             ,              ,  388   ,          ,                   ,                      ,               ,                   ,            13
FeNiCrCoAl0.875                           , BCC                                                                                                                                   ,              ,  538   ,          ,                   ,                      ,               ,                   ,            13
FeNiCrCoAl1                               , BCC                                                                                                                                   ,              ,  484   ,          ,                   ,                      ,               ,                   ,            13
FeNiCrCoAl2                               , BCC                                                                                                                                   ,              ,  509   ,          ,                   ,                      ,               ,                   ,            13
AlCrFeCoNi                                , BCC                                                                                                                                   ,              ,        , C        ,            1250.96,               2004.23,          32.7 ,                   ,            14
CrFeCoNiCuTi                              ,                                                                                                                                       ,              ,        , C        ,            1272   ,               1272   ,           1.6 ,                   ,            14
AlCrMnFeCoNiCuTiV                         ,                                                                                                                                       ,              ,        , C        ,            1862   ,               2431   ,           0.95,                   ,            14
CrFeCoNiCuTi0.5                           ,                                                                                                                                       ,              ,        , C        ,             700   ,               1650   ,          21.26,                   ,            14
AlCoCrFeNi                                , BCC                                                                                                                                   ,              ,        , C        ,            1051   ,                      ,               ,                   ,            15
AlCoCrFeNiMo0.1                           , BCC                                                                                                                                   ,              ,        , C        ,            1804   ,               2280   ,           9.1 ,                   ,            15
AlCoCrFeNiMo0.2                           , BCC + α                                                                                                                               ,              ,        , C        ,            2456   ,               2953   ,           3.4 ,                   ,            15
AlCoCrFeNiMo0.3                           , BCC + α                                                                                                                               ,              ,        , C        ,            2649   ,               3208   ,           3.3 ,                   ,            15
AlCoCrFeNiMo0.4                           , BCC + α                                                                                                                               ,              ,        , C        ,            2670   ,               3161   ,           3.0 ,                   ,            15
AlCoCrFeNiMo0.5                           , BCC + α                                                                                                                               ,              ,        , C        ,            2757   ,               3036   ,           2.5 ,                   ,            15
AlCoCrFeNi                                , BCC                                                                                                                                   ,              ,        , C        ,            1110   ,                      ,          24   ,                   ,            16
Al0.83CoCrFeNiSi0.2                       , BCC                                                                                                                                   ,              ,        , C        ,            1265   ,               2173   ,          13.76,                   ,            16
Al0.77CoCrFeNiSi0.4                       , BCC                                                                                                                                   ,              ,        , C        ,            1481   ,               2444   ,          13.38,                   ,            16
Al0.71CoCrFeNiSi0.6                       , BCC + δ                                                                                                                               ,              ,        , C        ,            1834   ,               2195   ,           2.56,                   ,            16
Al0.67CoCrFeNiSi0.8                       , BCC + δ                                                                                                                               ,              ,        , C        ,            2179   ,               2664   ,           1.77,                   ,            16
Al0.625CoCrFeNiSi                         , BCC + δ                                                                                                                               ,              ,        , C        ,            2411   ,               2950   ,           1.17,                   ,            16
AlCoCrFeNi                                , BCC                                                                                                                                   ,              ,        , C        ,            1138   ,                      ,               ,            125.1  ,            17
AlCoCrFeNiC0.1                            , BCC + ε (carbide)                                                                                                                     ,              ,        , C        ,             957   ,               2550   ,          10.52,            213.2  ,            17
AlCoCrFeNiC0.2                            , BCC + ε (carbide)                                                                                                                     ,              ,        , C        ,             906   ,               2386   ,           8.68,            150.9  ,            17
AlCoCrFeNiC0.3                            , BCC + ε (carbide)                                                                                                                     ,              ,        , C        ,             867   ,               2178   ,           7.82,            137.2  ,            17
AlCoCrFeNiC0.4                            , BCC + ε (carbide)                                                                                                                     ,              ,        , C        ,            1056   ,               2375   ,           6.67,            156.1  ,            17
AlCoCrFeNiC0.5                            , BCC + ε (carbide)                                                                                                                     ,              ,        , C        ,            1060   ,               2250   ,           5.6 ,            180.8  ,            17
AlCoCrFeNiC1.0                            , BCC + ε (carbide) + Graphite                                                                                                          ,              ,        , C        ,            1251   ,               2166   ,           7.04,             75.1  ,            17
AlCoCrFeNiC1.5                            , BCC + ε (carbide) + Graphite                                                                                                          ,              ,        , C        ,            1255   ,               2083   ,           5.54,             72.5  ,            17
AlCoCrFeNi                                , BCC                                                                                                                                   ,          7.0 ,  520   , C        ,            1373   ,               3531   ,          24.5 ,                   ,            19
AlCoCrFeNb0.1Ni                           , BCC                                                                                                                                   ,          7.0 ,  569   , C        ,            1641   ,               3285   ,          17.2 ,                   ,            19
AlCoCrFeNb0.25Ni                          , BCC + Laves                                                                                                                           ,          7.0 ,  668   , C        ,            1959   ,               3008   ,          10.5 ,                   ,            19
AlCoCrFeNb0.5Ni                           , BCC + Laves                                                                                                                           ,          7.0 ,  747   , C        ,            2473   ,               3170   ,           4.1 ,                   ,            19
AlCoCrFeNb0.75Ni                          , Laves + (Laves + BCC)                                                                                                                 ,          7.0 ,        , C        ,                   ,                      ,               ,                   ,            19
AlCoCrFeNi                                , BCC                                                                                                                                   ,              ,        , C        ,            1138   ,                      ,               ,            125.1  ,            20
AlCoCrFeNiC0.1                            , BCC + ε (carbide)                                                                                                                     ,              ,        , C        ,             957   ,               2550   ,          10.52,            213.2  ,            20
AlCoCrFeNiC0.2                            , BCC + ε (carbide)                                                                                                                     ,              ,        , C        ,             906   ,               2386   ,           8.68,            150.9  ,            20
AlCoCrFeNiC0.3                            , BCC + ε (carbide)                                                                                                                     ,              ,        , C        ,             867   ,               2178   ,           7.82,            137.2  ,            20
AlCoCrFeNiC0.4                            , BCC + ε (carbide)                                                                                                                     ,              ,        , C        ,            1056   ,               2375   ,           6.67,            156.1  ,            20
AlCoCrFeNiC0.5                            , BCC + ε (carbide)                                                                                                                     ,              ,        , C        ,            1060   ,               2250   ,           5.6 ,            180.8  ,            20
AlCoCrFeNiC1.0                            , BCC + ε (carbide) + Graphite                                                                                                          ,              ,        , C        ,            1251   ,               2166   ,           7.04,             75.1  ,            20
AlCoCrFeNiC1.5                            , BCC + ε (carbide) + Graphite                                                                                                          ,              ,        , C        ,            1255   ,               2083   ,           5.54,             72.5  ,            20
AlCo0.5CrFeMo0.5Ni                        , BCC + σ                                                                                                                               ,              ,  788   ,          ,                   ,                      ,               ,                   ,            21
AlCo1.0CrFeMo0.5Ni                        , BCC + σ                                                                                                                               ,              ,  770   ,          ,                   ,                      ,               ,                   ,            21
AlCo1.5CrFeMo0.5Ni                        , BCC + σ                                                                                                                               ,              ,  711   ,          ,                   ,                      ,               ,                   ,            21
AlCo2.0CrFeMo0.5Ni                        , BCC + FCC + σ                                                                                                                         ,              ,  596   ,          ,                   ,                      ,               ,                   ,            21
AlCoCrFeNi                                , BCC                                                                                                                                   ,              ,        , C        ,            1110   ,                      ,          24   ,                   ,            22
AlCoCrFeNiSi0.2                           , BCC + nanoscale cellular precipitates                                                                                                 ,              ,        , C        ,            1265   ,               2173   ,          13.76,                   ,            22
AlCoCrFeNiSi0.4                           , BCC + nanoscale cellular precipitates                                                                                                 ,              ,        , C        ,            1481   ,               2444   ,          13.38,                   ,            22
AlCoCrFeNiSi0.6                           , BCC + nanoscale cellular precipitates + δ phase                                                                                       ,              ,        , C        ,            1834   ,               2195   ,           2.56,                   ,            22
AlCoCrFeNiSi0.8                           , BCC + nanoscale cellular precipitates + δ phase                                                                                       ,              ,        , C        ,            2179   ,               2664   ,           1.77,                   ,            22
AlCoCrFeNiSi1.0                           , BCC + nanoscale cellular precipitates + δ phase                                                                                       ,              ,        , C        ,            2411   ,               2950   ,           1.17,                   ,            22
AlCoCrFeMo0.5                             , B2 + σ                                                                                                                                ,              ,  904   ,          ,                   ,                      ,               ,                   ,            23
AlCoCrFeMo0.5Ni0.5                        , B2 + σ                                                                                                                                ,              ,  770   ,          ,                   ,                      ,               ,                   ,            23
AlCoCrFeMo0.5Ni1.0                        , B2 + σ                                                                                                                                ,              ,  770   ,          ,                   ,                      ,               ,                   ,            23
AlCoCrFeMo0.5Ni1.5                        , FCC + B2 + σ                                                                                                                          ,              ,  627   ,          ,                   ,                      ,               ,                   ,            23
AlCoCrFeMo0.5Ni2.0                        , FCC + B2 + σ                                                                                                                          ,              ,  404   ,          ,                   ,                      ,               ,                   ,            23
AlCoCrFe0.6Mo0.5Ni                        , BCC + σ                                                                                                                               ,              ,  750   ,          ,                   ,                      ,               ,                   ,            24
AlCoCrFe1.0Mo0.5Ni                        , BCC + σ                                                                                                                               ,              ,  730   ,          ,                   ,                      ,               ,                   ,            24
AlCoCrFe1.5Mo0.5Ni                        , BCC + σ                                                                                                                               ,              ,  635   ,          ,                   ,                      ,               ,                   ,            24
AlCoCrFe2.0Mo0.5Ni                        , BCC + σ                                                                                                                               ,              ,  635   ,          ,                   ,                      ,               ,                   ,            24
Ti0.5CrFeCoNiCu                           , FCC                                                                                                                                   ,              ,        , C        ,             700   ,               1650   ,          28.7 ,             92.73 ,            25
Ti0.5CrFeCoNiAl0.25Cu0.75                 , FCC                                                                                                                                   ,              ,        , C        ,             750   ,               1970   ,          38.5 ,            102.85 ,            25
Ti0.5CrFeCoNiAl0.5Cu0.5                   , FCC+BCC                                                                                                                               ,              ,        , C        ,            1580   ,               2389   ,          17.4 ,            160.54 ,            25
Ti0.5CrFeCoNiAl0.75Cu0.25                 , BCC                                                                                                                                   ,              ,        , C        ,            1900   ,               2697   ,          12.0 ,            164.14 ,            25
Ti0.5CrFeCoNiAl                           , BCC                                                                                                                                   ,              ,        , C        ,            2040   ,               3135   ,          24.2 ,             72.68 ,            25
Al0.2Co0.2Cr0.2Fe0.2Ni0.2                 , bcc solid solution                                                                                                                    ,              ,        , C        ,            1500   ,               2830   ,          26.9 ,            127.0  ,            26
Al0.182Co0.182Cr0.182Fe0.182Ni0.182Ti0.091, bcc solid solution                                                                                                                    ,              ,        , C        ,            2260   ,               3140   ,          23.3 ,            177.7  ,            26
Al0.167Co0.167Cr0.167Fe0.167Ni0.167Ti0.167, bcc solid solution                                                                                                                    ,              ,        , C        ,            1860   ,               2580   ,           8.8 ,             90.1  ,            26
Al0.154Co0.154Cr0.154Fe0.154Ni0.154Ti0.231, bcc+Laves                                                                                                                             ,              ,        , C        ,            2220   ,               2720   ,           5.3 ,            159.8  ,            26
CuCoNiCrAl0.3Fe                           , FCC                                                                                                                                   ,              ,  133   , C        ,                   ,                      ,               ,                   ,            27
CuCoNiCrAl0.5Fe                           , FCC                                                                                                                                   ,              ,  180   , C        ,             380   ,                      ,          30   ,            114    ,            27
CuCoNiCrAl0.8Fe                           , FCC + BCC                                                                                                                             ,              ,  410   , C        ,                   ,                      ,               ,            145    ,            27
CuCoNiCrAl1.0Fe                           , FCC + BCC                                                                                                                             ,              ,  480   , C        ,             580   ,                      ,               ,            163    ,            27
CuCoNiCrAl1.3Fe                           , FCC + BCC                                                                                                                             ,              ,  520   ,          ,                   ,                      ,               ,                   ,            27
CuCoNiCrAl1.5Fe                           , FCC + BCC                                                                                                                             ,              ,  550   ,          ,                   ,                      ,               ,                   ,            27
CuCoNiCrAl1.8Fe                           , FCC + BCC                                                                                                                             ,              ,  580   ,          ,                   ,                      ,               ,                   ,            27
CuCoNiCrAl2.0Fe                           , FCC + BCC                                                                                                                             ,              ,  600   , C        ,            1150   ,                      ,               ,                   ,            27
CuCoNiCrAl2.3Fe                           , BCC                                                                                                                                   ,              ,  620   ,          ,                   ,                      ,               ,                   ,            27
CuCoNiCrAl2.5Fe                           , BCC                                                                                                                                   ,              ,  630   ,          ,                   ,                      ,               ,                   ,            27
CuCoNiCrAl2.8Fe                           , BCC                                                                                                                                   ,              ,  650   ,          ,                   ,                      ,               ,                   ,            27
CuCoNiCrAl3.0Fe                           , BCC                                                                                                                                   ,              ,  655   ,          ,                   ,                      ,               ,                   ,            27
CuTiVFeNiZr                               ,                                                                                                                                       ,              ,  590   ,          ,                   ,                      ,               ,                   ,            27
AlTiVFeNiZr                               ,                                                                                                                                       ,              ,  800   ,          ,                   ,                      ,               ,                   ,            27
MoTiVFeNiZr                               ,                                                                                                                                       ,              ,  740   ,          ,                   ,                      ,               ,                   ,            27
CuTiVFeNiZrCo                             ,                                                                                                                                       ,              ,  630   ,          ,                   ,                      ,               ,                   ,            27
AlTiVFeNiZrCo                             ,                                                                                                                                       ,              ,  790   ,          ,                   ,                      ,               ,                   ,            27
MoTiVFeNiZrCo                             ,                                                                                                                                       ,              ,  790   ,          ,                   ,                      ,               ,                   ,            27
CuTiVFeNiZrCoCr                           ,                                                                                                                                       ,              ,  680   ,          ,                   ,                      ,               ,                   ,            27
AlTiVFeNiZrCoCr                           ,                                                                                                                                       ,              ,  780   ,          ,                   ,                      ,               ,                   ,            27
MoTiVFeNiZrCoCr                           ,                                                                                                                                       ,              ,  850   ,          ,                   ,                      ,               ,                   ,            27
CuCoNiCrAlFeTiV                           , BCC                                                                                                                                   ,              ,        ,          ,                   ,                      ,               ,                   ,            27
Cu0.5CoNiCrAl                             , BCC                                                                                                                                   ,              ,        ,          ,                   ,                      ,               ,                   ,            27
CuCoNiCrAlFeMoTiVZr                       , BCC + BCC + Amorphous                                                                                                                 ,              ,        ,          ,                   ,                      ,               ,                   ,            27
Al0.00FeCoNiCrMn                          , FCC                                                                                                                                   ,              ,  176   , T        ,             209   ,                496   ,          61.7 ,                   ,            28
Al0.02FeCoNiCrMn                          , FCC                                                                                                                                   ,              ,        , T        ,                   ,                      ,               ,                   ,            28
Al0.03FeCoNiCrMn                          , FCC                                                                                                                                   ,              ,        , T        ,                   ,                      ,               ,                   ,            28
Al0.04FeCoNiCrMn                          , FCC                                                                                                                                   ,              ,        , T        ,                   ,                      ,               ,                   ,            28
Al0.07FeCoNiCrMn                          , FCC                                                                                                                                   ,              ,  182   , T        ,             242   ,                529   ,          47.2 ,                   ,            28
Al0.08FeCoNiCrMn                          , FCC+BCC                                                                                                                               ,              ,        , T        ,                   ,                      ,               ,                   ,            28
Al0.09FeCoNiCrMn                          , FCC+BCC                                                                                                                               ,              ,        , T        ,                   ,                      ,               ,                   ,            28
Al0.10FeCoNiCrMn                          , FCC+BCC                                                                                                                               ,              ,        , T        ,                   ,                700   ,          20   ,                   ,            28
Al0.11FeCoNiCrMn                          , FCC+BCC                                                                                                                               ,              ,        , T        ,             832   ,               1174   ,           7.7 ,                   ,            28
Al0.12FeCoNiCrMn                          , FCC+BCC                                                                                                                               ,              ,        , T        ,                   ,                      ,               ,                   ,            28
Al0.13FeCoNiCrMn                          , BCC                                                                                                                                   ,              ,        ,          ,                   ,                      ,               ,                   ,            28
Al0.14FeCoNiCrMn                          , BCC                                                                                                                                   ,              ,  538   ,          ,                   ,                      ,               ,                   ,            28
Al0.15FeCoNiCrMn                          , BCC                                                                                                                                   ,              ,        ,          ,                   ,                      ,               ,                   ,            28
Al0.16FeCoNiCrMn                          , BCC                                                                                                                                   ,              ,  540   ,          ,                   ,                      ,               ,                   ,            28
Al0.20FeCoNiCrMn                          , BCC                                                                                                                                   ,              ,  540   ,          ,                   ,                      ,               ,                   ,            28
AlCrFeNi                                  , BCC1 (AlNi-type) + BCC2 (FeCr-type)                                                                                                   ,              ,  472.4 , C        ,            1406.2 ,               2926.5 ,          28.5 ,                   ,            29
AlCrFeNiMo0.2                             , BCC1 (AlNi-type) + BCC2 (FeCr-type)                                                                                                   ,              ,  548.5 , C        ,            1487.4 ,               3222   ,          28.7 ,                   ,            29
AlCrFeNiMo0.5                             , BCC1 (AlNi-type) + BCC2 (FeCr-type)                                                                                                   ,              ,  621.5 , C        ,            1748.6 ,               2643.5 ,          12.6 ,                   ,            29
AlCrFeNiMo0.8                             , BCC1 (AlNi-type) + σ phase (FeCrMo-type)                                                                                              ,              ,  853.8 , C        ,            1512.5 ,               1512.5 ,               ,                   ,            29
AlCrFeNiMo1.0                             , BCC1 (AlNi-type) + σ phase (FeCrMo-type)                                                                                              ,              ,  911.5 , C        ,                   ,                      ,               ,                   ,            29
Al0.3CrFe1.5MnNi0.5                       , BCC + FCC (dual-phase)                                                                                                                ,              ,  297   ,          ,                   ,                      ,               ,                   ,            30
Al0.3CrFe1.5MnNi0.5                       , BCC + FCC (dual-phase)                                                                                                                ,              ,  339   ,          ,                   ,                      ,               ,                   ,            30
Al0.3CrFe1.5MnNi0.5                       , BCC + FCC (dual-phase)                                                                                                                ,              ,  446   ,          ,                   ,                      ,               ,                   ,            30
Al0.3CrFe1.5MnNi0.5                       , BCC + FCC + sigma (Cr5Fe6Mn8-like)                                                                                                    ,              ,  850   ,          ,                   ,                      ,               ,                   ,            30
Al0.3CrFe1.5MnNi0.5                       , BCC + FCC + sigma (Cr5Fe6Mn8-like)                                                                                                    ,              ,  800   ,          ,                   ,                      ,               ,                   ,            30
Al0.3CrFe1.5MnNi0.5                       , BCC + FCC + sigma (Cr5Fe6Mn8-like)                                                                                                    ,              ,  900   ,          ,                   ,                      ,               ,                   ,            30
Al0.5CrFe1.5MnNi0.5                       , "BCC (matrix) + Cr-rich BCC + Al,Ni-rich BCC precipitates"                                                                            ,              ,  396   ,          ,                   ,                      ,               ,                   ,            30
Al0.5CrFe1.5MnNi0.5                       , "BCC (matrix) + Cr-rich BCC + Al,Ni-rich BCC precipitates"                                                                            ,              ,  394   ,          ,                   ,                      ,               ,                   ,            30
Al0.5CrFe1.5MnNi0.5                       , "BCC (matrix) + Cr-rich BCC + Al,Ni-rich BCC precipitates"                                                                            ,              ,  480   ,          ,                   ,                      ,               ,                   ,            30
Al0.5CrFe1.5MnNi0.5                       , BCC + sigma (Cr5Fe6Mn8-like)                                                                                                          ,              ,  890   ,          ,                   ,                      ,               ,                   ,            30
Al0.5CrFe1.5MnNi0.5                       , BCC + sigma (Cr5Fe6Mn8-like)                                                                                                          ,              ,  840   ,          ,                   ,                      ,               ,                   ,            30
Al0.5CrFe1.5MnNi0.5                       , BCC + sigma (Cr5Fe6Mn8-like)                                                                                                          ,              ,  900   ,          ,                   ,                      ,               ,                   ,            30
Al0.5CrFe1.5MnNi0.5                       , BCC + sigma (Cr5Fe6Mn8-like)                                                                                                          ,              ,  740   ,          ,                   ,                      ,               ,                   ,            30
CoCrFeMnNi                                , FCC                                                                                                                                   ,              ,  135   , C        ,             230   ,                      ,          75   ,                   ,            31
CoCrFeMnNiV0.25                           , FCC + Tetragonal (sigma)                                                                                                              ,              ,  144   , C        ,             200   ,                      ,          75   ,                   ,            31
CoCrFeMnNiV0.5                            , FCC + Tetragonal (sigma)                                                                                                              ,              ,  275   , C        ,             620   ,                      ,          75   ,                   ,            31
CoCrFeMnNiV0.75                           , FCC + Tetragonal (sigma)                                                                                                              ,              ,  380   , C        ,             740   ,               1325   ,           7.8 ,                   ,            31
CoCrFeMnNiV                               , FCC + Tetragonal (sigma)                                                                                                              ,              ,  636   , C        ,            1660   ,               1845   ,           0.5 ,                   ,            31
CoCrCuFeNi                                , FCC solid solution                                                                                                                    ,              ,        , C        ,             230   ,                888   ,          50.76,             55.6  ,            33
CoCrCuFeNiTi0.5                           , FCC solid solution                                                                                                                    ,              ,        , C        ,             700   ,               1650   ,          22.4 ,             98.6  ,            33
CoCrCuFeNiTi0.8                           , FCC + Laves (Fe2Ti type) + amorphous                                                                                                  ,              ,        , C        ,            1042   ,               1848   ,           3.0 ,            128.3  ,            33
CoCrCuFeNiTi                              , FCC + Laves (Fe2Ti type) + amorphous                                                                                                  ,              ,        , C        ,            1272   ,               1272   ,           1.6 ,             76.5  ,            33
Cu0.5CoCrFeNi                             , FCC Matrix + Cu-rich FCC + Cr-rich FCC                                                                                                ,              ,  174   ,          ,                   ,                      ,               ,                   ,            35
Cu0.5CoCrFeNi                             , FCC Matrix + Cu-rich FCC + Cr-rich FCC                                                                                                ,              ,  160   ,          ,                   ,                      ,               ,                   ,            35
Cu0.5CoCrFeNi                             , FCC Matrix + Cu-rich FCC + Cr-rich FCC                                                                                                ,              ,  153   ,          ,                   ,                      ,               ,                   ,            35
Cu0.5CoCrFeNi                             , FCC Matrix + Cu-rich FCC + Cr-rich FCC                                                                                                ,              ,  162   ,          ,                   ,                      ,               ,                   ,            35
