Material,Process,Sub-process,Power,Velocity,powder flowrate,layer thickness,beam D,Hatch spacing,depth of meltpool,width of melt pool,length of melt pool,d/w,l/w,E (J/mm),E (J/mm3),density,Cp,k,melting T,minimum absorptivity,Y (wt%),Zn (wt%),Mg (wt%),Si (wt%),Al (wt%),Sn (wt%),Zr (wt%),W (wt%),Ti (wt%),V (wt%),Co (wt%),Cu (wt%),Ta (wt%),Nb (wt%),Ni (wt.%),Cr (wt.%),Fe (wt.%),Mn (wt%),Mo (wt.%),paper ID,paper,Dois
Ti-6Al-4V,Additive Manufacturing,Laser Powder Bed Fusion (LPBF),280,1200,,30,100,40,84,168,,0.5,,0.233,194,4430,526,,1903,0.48,,,,,6.0,,,,,4.0,,,,,,,,,,,Defect structure process maps for laser powder bed fusion additive manufacturing,
Ti-6Al-4V,Additive Manufacturing,Laser Powder Bed Fusion (LPBF),370,1000,,30,100,240,105,210,,0.5,,0.37,51,4430,526,,1903,0.48,,,,,6.0,,,,,4.0,,,,,,,,,,,Defect structure process maps for laser powder bed fusion additive manufacturing,
Invar 36 (Fe-36Ni),Laser Powder Bed Fusion,LPBF,200,1600,,,70,80,,105.1,,,,0.125,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36.0,,64.0,,,,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Invar 36 (Fe-36Ni),Laser Powder Bed Fusion,LPBF,200,2000,,,70,80,,100.782,,,,0.1,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36.0,,64.0,,,,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Invar 36 (Fe-36Ni),Laser Powder Bed Fusion,LPBF,200,2600,,,70,80,,92.495,,,,0.0769,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36.0,,64.0,,,,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Invar 36 (Fe-36Ni),Laser Powder Bed Fusion,LPBF,250,1600,,,70,80,,115.641,,,,0.1563,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36.0,,64.0,,,,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Invar 36 (Fe-36Ni),Laser Powder Bed Fusion,LPBF,250,2000,,,70,80,,109.657,,,,0.125,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36.0,,64.0,,,,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Invar 36 (Fe-36Ni),Laser Powder Bed Fusion,LPBF,250,2600,,,70,80,,102.964,,,,0.0962,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36.0,,64.0,,,,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Invar 36 (Fe-36Ni),Laser Powder Bed Fusion,LPBF,300,1600,,,70,80,,132.202,,,,0.1875,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36.0,,64.0,,,,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Invar 36 (Fe-36Ni),Laser Powder Bed Fusion,LPBF,300,2000,,,70,80,,118.195,,,,0.15,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36.0,,64.0,,,,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Invar 36 (Fe-36Ni),Laser Powder Bed Fusion,LPBF,300,2600,,,70,80,,112.338,,,,0.1154,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36.0,,64.0,,,,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Inconel 718,L-PBF,single-track laser deposition,75,800,,40,,,,,,,,0.09375,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,single-track laser deposition,75,1500,,40,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,single-track laser deposition,75,2200,,40,,,,,,,,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,single-track laser deposition,150,800,,40,,,,,,,,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,single-track laser deposition,150,1500,,40,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,single-track laser deposition,150,2200,,40,,,,,,,,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,single-track laser deposition,225,800,,40,,,,,,,,0.2813,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,single-track laser deposition,225,1500,,40,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,single-track laser deposition,225,2200,,40,,,,,,,,0.1023,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,single-track laser deposition,300,800,,40,,,,,,,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,single-track laser deposition,300,1500,,40,,,115,142,,0.81,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,single-track laser deposition,300,2200,,40,,,,,,,,0.1364,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,multilayer cube deposition,75,800,,40,,,,,,,,0.09375,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,multilayer cube deposition,75,1200,,40,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,multilayer cube deposition,75,1600,,40,,,,,,,,0.04688,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,multilayer cube deposition,75,2000,,40,,,,,,,,0.0375,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,multilayer cube deposition,120,800,,40,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,multilayer cube deposition,120,1200,,40,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,multilayer cube deposition,120,1600,,40,,,,,,,,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,multilayer cube deposition,120,2000,,40,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,multilayer cube deposition,165,800,,40,,,73,112,,0.65,,0.2063,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,multilayer cube deposition,165,1200,,40,,,,,,,,0.1375,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,multilayer cube deposition,165,1600,,40,,,,,,,,0.1031,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,multilayer cube deposition,165,2000,,40,,,,,,,,0.0825,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,multilayer cube deposition,225,800,,40,,,,,,,,0.2813,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,multilayer cube deposition,225,2000,,40,,,,,,,,0.1125,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,multilayer cube deposition,285,800,,40,,,,,,,,0.3563,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,multilayer cube deposition,285,2000,,40,,,,,,,,0.1425,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,multilayer cube deposition,330,800,,40,,,,,,,,0.4125,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,multilayer cube deposition,330,2000,,40,,,,,,,,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,multilayer cube deposition,375,800,,40,,,,,,,,0.4688,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,L-PBF,multilayer cube deposition,375,2000,,40,,,,,,,,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,104,400,,100,100,,,,,,,0.26,,,,,,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,208,800,,100,100,,50,90,120,0.56,1.33,0.26,,,,,,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,312,1200,,100,100,,90,110,250,0.82,2.27,0.26,,,,,,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,416,1600,,100,100,,120,120,380,1.0,3.17,0.26,,,,,,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,520,2000,,100,100,,140,130,450,1.08,3.46,0.26,,,,,,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,104,200,,100,100,,50,100,140,0.5,1.4,0.52,,,,,,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,208,400,,100,100,,80,110,170,0.73,1.55,0.52,,,,,,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,312,600,,100,100,,140,140,350,1.0,2.5,0.52,,,,,,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,416,800,,100,100,,180,160,500,1.13,3.13,0.52,,,,,,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,520,1000,,100,100,,200,170,600,1.18,3.53,0.52,,,,,,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,104,100,,100,100,,50,100,160,0.5,1.6,1.04,,,,,,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,208,200,,100,100,,100,120,250,0.83,2.08,1.04,,,,,,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,312,300,,100,100,,180,150,420,1.2,2.8,1.04,,,,,,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,416,400,,100,100,,220,180,580,1.22,3.22,1.04,,,,,,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,520,500,,100,100,,260,200,750,1.3,3.75,1.04,,,,,,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,208,600,,100,100,,,,,,,0.347,,,,,,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,260,600,,100,100,,,,,,,0.433,,,,,,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,312,600,,100,100,,,,,,,0.52,,,,,,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,364,600,,100,100,,,,,,,0.607,,,,,,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,416,600,,100,100,,,,,,,0.693,,,,,,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,416,400,,100,100,,,,,,,1.04,,,,,,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,416,800,,100,100,,,,,,,0.52,,,,,,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,416,1200,,100,100,,,,,,,0.347,,,,,,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,416,1600,,100,100,,,,,,,0.26,,,,,,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,104,400,,100,100,,,,,,,0.26,,2210,1098,,828,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,208,800,,100,100,,50,90,120,0.56,1.33,0.26,,2210,1098,,828,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,312,1200,,100,100,,90,110,250,0.82,2.27,0.26,,2210,1098,,828,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,416,1600,,100,100,,120,120,380,1.0,3.17,0.26,,2210,1098,,828,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,520,2000,,100,100,,140,130,450,1.08,3.46,0.26,,2210,1098,,828,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,104,200,,100,100,,50,100,140,0.5,1.4,0.52,,2210,1098,,828,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,208,400,,100,100,,80,110,170,0.73,1.55,0.52,,2210,1098,,828,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,312,600,,100,100,,140,140,350,1.0,2.5,0.52,,2210,1098,,828,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,416,800,,100,100,,180,160,500,1.13,3.13,0.52,,2210,1098,,828,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,520,1000,,100,100,,200,170,600,1.18,3.53,0.52,,2210,1098,,828,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,104,100,,100,100,,50,100,160,0.5,1.6,1.04,,2210,1098,,828,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,208,200,,100,100,,100,120,250,0.83,2.08,1.04,,2210,1098,,828,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,312,300,,100,100,,180,150,420,1.2,2.8,1.04,,2210,1098,,828,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,416,400,,100,100,,220,180,580,1.22,3.22,1.04,,2210,1098,,828,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,520,500,,100,100,,260,200,750,1.3,3.75,1.04,,2210,1098,,828,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,208,600,,100,100,,,,,,,0.347,,2210,1098,,828,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single track scan,260,600,,100,100,,,,,,,0.433,,2210,1098,,828,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
