Material,Process,Sub-process,Power,Velocity,powder flowrate,layer thickness,beam D,Hatch spacing,depth of meltpool,width of melt pool,length of melt pool,d/w,l/w,Other ratios,E (J/mm),E (J/mm3),density,Cp,k,melting T,minimum absorptivity,Y (wt%),Zn (wt%),Mg (wt%),Si (wt%),Al (wt%),Sn (wt%),Zr (wt%),W (wt%),Ti (wt%),V (wt%),Co (wt%),Cu (wt%),Ta (wt%),Nb (wt%),Ni (wt.%),Cr (wt.%),Fe (wt.%),Mn (wt%),Mo (wt.%),paper ID,paper,Dois
Ti-6Al-4V,Laser Powder Bed Fusion (LPBF),EOS M290 machine with plasma atomized powder,280,1200,,30,100,40,84,168,,0.36,,H_W_ratio=0.24,0.233,194,4430,526,,,0.48,,,,,6,,,,89,4,,,,,,,,,,addma_2020_gordon,Defect structure process maps for laser powder bed fusion additive manufacturing,10.1016/j.addma.2020.101548
Ti-6Al-4V,Laser Powder Bed Fusion (LPBF),EOS M290 machine with plasma atomized powder,370,1000,,30,100,240,105,210,,0.29,,H_W_ratio=1.14,0.37,51,4430,526,,,0.48,,,,,6,,,,89,4,,,,,,,,,,addma_2020_gordon,Defect structure process maps for laser powder bed fusion additive manufacturing,10.1016/j.addma.2020.101548
Invar 36,Laser Powder Bed Fusion (LPBF) / Laser Glazing,Single and Multiple Pass Experiments,200,1600,,,70,80,46,105.1,1100,0.438,10.47,,0.125,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,64,,,file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,10.1007/s00170-019-04217-8
Invar 36,Laser Powder Bed Fusion (LPBF) / Laser Glazing,Single and Multiple Pass Experiments,200,2000,,,70,80,40,100.782,1100,0.397,10.92,,0.1,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,64,,,file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,10.1007/s00170-019-04217-8
Invar 36,Laser Powder Bed Fusion (LPBF) / Laser Glazing,Single and Multiple Pass Experiments,200,2600,,,70,80,34,92.495,1100,0.368,11.89,,0.077,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,64,,,file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,10.1007/s00170-019-04217-8
Invar 36,Laser Powder Bed Fusion (LPBF) / Laser Glazing,Single and Multiple Pass Experiments,250,1600,,,70,80,52,115.641,1350,0.45,11.67,,0.156,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,64,,,file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,10.1007/s00170-019-04217-8
Invar 36,Laser Powder Bed Fusion (LPBF) / Laser Glazing,Single and Multiple Pass Experiments,250,2000,,,70,80,46,109.657,1350,0.42,12.31,,0.125,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,64,,,file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,10.1007/s00170-019-04217-8
Invar 36,Laser Powder Bed Fusion (LPBF) / Laser Glazing,Single and Multiple Pass Experiments,250,2600,,,70,80,39,102.964,1350,0.379,13.11,,0.096,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,64,,,file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,10.1007/s00170-019-04217-8
Invar 36,Laser Powder Bed Fusion (LPBF) / Laser Glazing,Single and Multiple Pass Experiments,300,1600,,,70,80,58,132.202,1650,0.439,12.48,,0.188,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,64,,,file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,10.1007/s00170-019-04217-8
Invar 36,Laser Powder Bed Fusion (LPBF) / Laser Glazing,Single and Multiple Pass Experiments,300,2000,,,70,80,51,118.195,1650,0.431,13.96,,0.15,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,64,,,file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,10.1007/s00170-019-04217-8
Invar 36,Laser Powder Bed Fusion (LPBF) / Laser Glazing,Single and Multiple Pass Experiments,300,2600,,,70,80,44,112.338,1650,0.392,14.69,,0.115,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,64,,,file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,10.1007/s00170-019-04217-8
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),75,800,,40,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),75,1500,,40,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),75,2200,,40,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),150,800,,40,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),150,1500,,40,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),150,2200,,40,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),225,800,,40,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),225,1500,,40,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),225,2200,,40,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),300,800,,40,,,,,,,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),300,1500,,40,,,115,142,,0.81,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),300,2200,,40,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),75,800,,40,,,,,,,,porosity_percent=100,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),75,1200,,40,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),75,1600,,40,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),75,2000,,40,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),120,800,,40,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),120,1200,,40,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),120,1600,,40,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),120,2000,,40,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),165,800,,40,,,73,112,,0.65,,porosity_percent=0.5,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),165,1200,,40,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),165,1600,,40,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),165,2000,,40,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),225,800,,40,,,,,,,,porosity_percent=0.5,7,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),225,2000,,40,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),285,800,,40,,,,,,,,porosity_percent=0.5,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),285,2000,,40,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),330,800,,40,,,,,,,,porosity_percent=0.5,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),330,2000,,40,,,,,,,,porosity_percent=1.5,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),375,800,,40,,,,,,,,porosity_percent=0.5,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM),375,2000,,40,,,,,,,,porosity_percent=1.5,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,10.1007/s00170-019-03652-y
AlSi10Mg,Laser Powder Bed Fusion,Single-track laser scanning,104,400,,100,100,,,,,,,regime=no_melt_pool,,,,,,,0.05,,0.007,0.309,9.908,Balance,<0.001,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single-track laser scanning,208,800,,100,100,,20,150,100,0.13,0.67,regime=conduction,0.26,,,,,,0.05,,0.007,0.309,9.908,Balance,<0.001,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single-track laser scanning,312,1200,,100,100,,30,180,250,0.17,1.39,regime=conduction,0.26,,,,,,0.05,,0.007,0.309,9.908,Balance,<0.001,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single-track laser scanning,416,1600,,100,100,,55,200,600,0.275,3,regime=transition,0.26,,,,,,0.05,,0.007,0.309,9.908,Balance,<0.001,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single-track laser scanning,520,2000,,100,100,,58,190,900,0.305,4.74,regime=transition,0.26,,,,,,0.05,,0.007,0.309,9.908,Balance,<0.001,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single-track laser scanning,104,200,,100,100,,25,150,150,0.17,1,regime=conduction,0.52,,,,,,0.05,,0.007,0.309,9.908,Balance,<0.001,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single-track laser scanning,208,400,,100,100,,55,200,300,0.275,1.5,regime=conduction,0.52,,,,,,0.05,,0.007,0.309,9.908,Balance,<0.001,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single-track laser scanning,312,600,,100,100,,125,380,1000,0.33,2.63,regime=keyhole,0.52,,,,,,0.05,,0.007,0.309,9.908,Balance,<0.001,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single-track laser scanning,416,800,,100,100,,140,400,1400,0.35,3.5,regime=keyhole,0.52,,,,,,0.05,,0.007,0.309,9.908,Balance,<0.001,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single-track laser scanning,520,1000,,100,100,,160,410,1500,0.39,3.66,regime=keyhole,0.52,,,,,,0.05,,0.007,0.309,9.908,Balance,<0.001,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single-track laser scanning,104,100,,100,100,,50,180,200,0.28,1.11,regime=conduction,1.04,,,,,,0.05,,0.007,0.309,9.908,Balance,<0.001,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single-track laser scanning,208,200,,100,100,,70,220,250,0.32,1.14,regime=conduction,1.04,,,,,,0.05,,0.007,0.309,9.908,Balance,<0.001,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single-track laser scanning,312,300,,100,100,,380,420,2200,0.9,5.24,regime=keyhole,1.04,,,,,,0.05,,0.007,0.309,9.908,Balance,<0.001,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single-track laser scanning,416,400,,100,100,,430,480,2300,0.9,4.79,regime=keyhole,1.04,,,,,,0.05,,0.007,0.309,9.908,Balance,<0.001,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single-track laser scanning,520,500,,100,100,,480,500,3100,0.96,6.2,regime=keyhole,1.04,,,,,,0.05,,0.007,0.309,9.908,Balance,<0.001,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single-track laser scanning,208,600,,100,100,,,,,,,regime=conduction,0.347,,,,,,0.05,,0.007,0.309,9.908,Balance,<0.001,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single-track laser scanning,260,600,,100,100,,,,,,,depression_zone_width_um=25; depression_zone_depth_um=60; tilt_angle_deg=23; regime=transition,0.433,,,,,,0.05,,0.007,0.309,9.908,Balance,<0.001,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single-track laser scanning,312,600,,100,100,,,,,,,depression_zone_width_um=110; depression_zone_depth_um=100; tilt_angle_deg=20; regime=transition,0.52,,,,,,0.05,,0.007,0.309,9.908,Balance,<0.001,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single-track laser scanning,364,600,,100,100,,,,,,,depression_zone_width_um=70; depression_zone_depth_um=190; tilt_angle_deg=14; regime=keyhole,0.607,,,,,,0.05,,0.007,0.309,9.908,Balance,<0.001,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single-track laser scanning,416,600,,100,100,,,,,,,depression_zone_width_um=75; depression_zone_depth_um=260; tilt_angle_deg=12; regime=keyhole,0.693,,,,,,0.05,,0.007,0.309,9.908,Balance,<0.001,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single-track laser scanning,416,400,,100,100,,,,,,,depression_zone_width_um=75; depression_zone_depth_um=410; tilt_angle_deg=6; regime=keyhole,1.04,,,,,,0.05,,0.007,0.309,9.908,Balance,<0.001,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single-track laser scanning,416,800,,100,100,,,,,,,depression_zone_width_um=150; depression_zone_depth_um=120; tilt_angle_deg=21; regime=keyhole,0.52,,,,,,0.05,,0.007,0.309,9.908,Balance,<0.001,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single-track laser scanning,416,1200,,100,100,,,,,,,depression_zone_width_um=300; depression_zone_depth_um=40; tilt_angle_deg=34; regime=transition,0.347,,,,,,0.05,,0.007,0.309,9.908,Balance,<0.001,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion,Single-track laser scanning,416,1600,,100,100,,,,,,,depression_zone_width_um=200; depression_zone_depth_um=35; tilt_angle_deg=38; regime=transition,0.26,,,,,,0.05,,0.007,0.309,9.908,Balance,<0.001,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder-Bed Fusion (LPBF),In-situ X-ray imaging of melt pool,104,500,,,,,520,530,3050,1,5.75,length_to_depth=5.87,0.208,,2210,"{'solid': 1098, 'liquid': 1175}",,828,,,,0.4,10,balance,,,,,,,,,,,,,,,supp12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder-bed fusion additive manufacturing process,
AlSi10Mg,Laser Powder-Bed Fusion (LPBF),In-situ X-ray imaging of melt pool,104,1000,,,,,170,410,,0.41,,,0.104,,2210,"{'solid': 1098, 'liquid': 1175}",,828,,,,0.4,10,balance,,,,,,,,,,,,,,,supp12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder-bed fusion additive manufacturing process,
