Composition (atomic)                                                                                                    , Folder number, Type of phases                                                                                                              , ρ represents the density (in g/cm^3), HV is the hardness in Vickers, Type of tests, σY is the Yield strength (MPa), σmax is the ultimate strength (MPa), ε is the elongation (in percentage), E is the Young's modulus (GPa)
NiCoMn                                                                                                                  ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 195.1                         , 580                                , 35                                 ,                        189.4
NiCoMn                                                                                                                  ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 178.7                         , 550                                , 32                                 ,                        189.4
CoCrFeNi                                                                                                                ,             6, FCC                                                                                                                         ,                                     ,                              , T            , 147                           , 413                                , 48.0                               ,                           
CoCrFeNiNb0.103                                                                                                         ,             6, FCC + Laves                                                                                                                 ,                                     ,                              , T            , 317                           , 622                                , 19.2                               ,                           
CoCrFeNiNb0.155                                                                                                         ,             6, FCC + Laves                                                                                                                 ,                                     ,                              , T            , 321                           , 744                                , 23.3                               ,                           
CoCrFeNiNb0.206                                                                                                         ,             6, FCC + Laves                                                                                                                 ,                                     ,                              , T            , 402                           , 807                                , 8.6                                ,                           
CoCrFeNiNb0.309                                                                                                         ,             6, FCC + Laves                                                                                                                 ,                                     ,                              , T            , 478                           , 879                                , 3.5                                ,                           
CoCrFeNiNb0.412                                                                                                         ,             6, FCC + Laves                                                                                                                 ,                                     ,                              , T            , 637                           , 1004                               , 1.3                                ,                           
CoCrFeNi                                                                                                                ,             7, FCC                                                                                                                         ,                                     ,                        116.0 ,              ,                               ,                                    ,                                    ,                           
Al0.25CoCrFeNi                                                                                                          ,             7, FCC                                                                                                                         ,                                     ,                        110.0 ,              ,                               ,                                    ,                                    ,                           
Al0.375CoCrFeNi                                                                                                         ,             7, FCC                                                                                                                         ,                                     ,                        130.8 ,              ,                               ,                                    ,                                    ,                           
Al0.5CoCrFeNi                                                                                                           ,             7, FCC+BCC                                                                                                                     ,                                     ,                        159.0 ,              ,                               ,                                    ,                                    ,                           
Al0.75CoCrFeNi                                                                                                          ,             7, FCC+BCC                                                                                                                     ,                                     ,                        388.0 ,              ,                               ,                                    ,                                    ,                           
Al0.875CoCrFeNi                                                                                                         ,             7, BCC                                                                                                                         ,                                     ,                        538.0 ,              ,                               ,                                    ,                                    ,                           
AlCoCrFeNi                                                                                                              ,             7, BCC                                                                                                                         ,                                     ,                        484.0 ,              ,                               ,                                    ,                                    ,                           
Al1.25CoCrFeNi                                                                                                          ,             7, BCC                                                                                                                         ,                                     ,                        487.0 ,              ,                               ,                                    ,                                    ,                           
Al1.5CoCrFeNi                                                                                                           ,             7, BCC                                                                                                                         ,                                     ,                        484.0 ,              ,                               ,                                    ,                                    ,                           
Al2CoCrFeNi                                                                                                             ,             7, BCC                                                                                                                         ,                                     ,                        509.0 ,              ,                               ,                                    ,                                    ,                           
CoCrFeNi                                                                                                                ,             7, FCC                                                                                                                         ,                                     ,                        113.0 ,              ,                               ,                                    ,                                    ,                           
Al0.25CoCrFeNi                                                                                                          ,             7, FCC                                                                                                                         ,                                     ,                        113.0 ,              ,                               ,                                    ,                                    ,                           
Al0.375CoCrFeNi                                                                                                         ,             7, FCC+BCC                                                                                                                     ,                                     ,                        196.0 ,              ,                               ,                                    ,                                    ,                           
Al0.5CoCrFeNi                                                                                                           ,             7, FCC+BCC                                                                                                                     ,                                     ,                        209.0 ,              ,                               ,                                    ,                                    ,                           
Al0.75CoCrFeNi                                                                                                          ,             7, FCC+BCC                                                                                                                     ,                                     ,                        280.0 ,              ,                               ,                                    ,                                    ,                           
Al0.875CoCrFeNi                                                                                                         ,             7, FCC+BCC                                                                                                                     ,                                     ,                        361.0 ,              ,                               ,                                    ,                                    ,                           
AlCoCrFeNi                                                                                                              ,             7, FCC+BCC                                                                                                                     ,                                     ,                        433.0 ,              ,                               ,                                    ,                                    ,                           
Al1.25CoCrFeNi                                                                                                          ,             7, BCC+BCC                                                                                                                     ,                                     ,                        499.0 ,              ,                               ,                                    ,                                    ,                           
Al1.5CoCrFeNi                                                                                                           ,             7, BCC+BCC                                                                                                                     ,                                     ,                        517.3 ,              ,                               ,                                    ,                                    ,                           
Al2CoCrFeNi                                                                                                             ,             7, BCC+BCC                                                                                                                     ,                                     ,                        512.4 ,              ,                               ,                                    ,                                    ,                           
CoCrFeNi                                                                                                                ,             7, FCC                                                                                                                         ,                                     ,                        325.0 ,              ,                               ,                                    ,                                    ,                           
Al0.25CoCrFeNi                                                                                                          ,             7, FCC                                                                                                                         ,                                     ,                        346.0 ,              ,                               ,                                    ,                                    ,                           
Al0.375CoCrFeNi                                                                                                         ,             7, FCC+BCC                                                                                                                     ,                                     ,                        360.0 ,              ,                               ,                                    ,                                    ,                           
Al0.5CoCrFeNi                                                                                                           ,             7, FCC+BCC                                                                                                                     ,                                     ,                        368.0 ,              ,                               ,                                    ,                                    ,                           
Al0.75CoCrFeNi                                                                                                          ,             7, FCC+BCC                                                                                                                     ,                                     ,                        434.0 ,              ,                               ,                                    ,                                    ,                           
Al0.875CoCrFeNi                                                                                                         ,             7, FCC+BCC                                                                                                                     ,                                     ,                        497.0 ,              ,                               ,                                    ,                                    ,                           
CoCrFeMo0.5Ni                                                                                                           ,             8, fcc + sigma                                                                                                                 ,                                     ,                        220   ,              ,                               ,                                    ,                                    ,                           
Al0.5CoCrFeMo0.5Ni                                                                                                      ,             8, fcc + sigma                                                                                                                 ,                                     ,                        440   ,              ,                               ,                                    ,                                    ,                           
AlCoCrFeMo0.5Ni                                                                                                         ,             8, B2 + sigma                                                                                                                  ,                                     ,                        720   ,              ,                               ,                                    ,                                    ,                           
AlCoCrFeMo0.5Ni                                                                                                         ,             8, "dendrite (B2-rich, less sigma)"                                                                                            ,                                     ,                        634   ,              ,                               ,                                    ,                                    ,                           
AlCoCrFeMo0.5Ni                                                                                                         ,             8, interdendrite (sigma-rich)                                                                                                  ,                                     ,                        824   ,              ,                               ,                                    ,                                    ,                           
Al1.5CoCrFeMo0.5Ni                                                                                                      ,             8, B2 + sigma                                                                                                                  ,                                     ,                        665   ,              ,                               ,                                    ,                                    ,                           
Al2CoCrFeMo0.5Ni                                                                                                        ,             8, B2 + bcc                                                                                                                    ,                                     ,                        615   ,              ,                               ,                                    ,                                    ,                           
CoCrFeNiTi                                                                                                              ,             9, FCC                                                                                                                         ,                                     ,                              , C            ,                               , 2020.0                             , 9.0                                ,                        134.6
CoCrFeNiTiAl0.5                                                                                                         ,             9, BCC + ordered BCC + minor Laves (FeTi-type)                                                                                 ,                                     ,                              , C            ,                               , 1600.0                             , 9.9                                ,                        106.8
CoCrFeNiTiAl1.0                                                                                                         ,             9, BCC + ordered BCC + minor Laves (FeTi-type)                                                                                 ,                                     ,                              , C            ,                               , 2280.0                             , 6.4                                ,                        147.6
CoCrFeNiTiAl1.5                                                                                                         ,             9, Two BCC phases                                                                                                              ,                                     ,                              , C            ,                               , 2110.0                             , 9.8                                ,                        133.4
CoCrFeNiTiAl2.0                                                                                                         ,             9, Two BCC phases                                                                                                              ,                                     ,                              , C            ,                               , 1030.0                             , 5.2                                ,                         93.5
Co1.5CrFeNi1.5Ti0.5                                                                                                     ,            10, overall                                                                                                                     ,                                     ,                        509   ,              ,                               ,                                    ,                                    ,                           
Al0.2Co1.5CrFeNi1.5Ti0.5                                                                                                ,            10, overall                                                                                                                     ,                                     ,                        487   ,              ,                               ,                                    ,                                    ,                           
Co1.5CrFeNi1.5Ti                                                                                                        ,            10, overall                                                                                                                     ,                                     ,                        654   ,              ,                               ,                                    ,                                    ,                           
Co1.5CrFeNi1.5Ti                                                                                                        ,            10, ID                                                                                                                          ,                                     ,                        924   ,              ,                               ,                                    ,                                    ,                           
Co1.5CrFeNi1.5Ti                                                                                                        ,            10, DR                                                                                                                          ,                                     ,                        617   ,              ,                               ,                                    ,                                    ,                           
Al0.2Co1.5CrFeNi1.5Ti                                                                                                   ,            10, overall                                                                                                                     ,                                     ,                        717   ,              ,                               ,                                    ,                                    ,                           
