Row mapping between table_1.csv (original) and inference_codex_1_79_compiled.csv (reconstructed)
Method: rows first used the same exact normalized-composition matching rule as row_mapping_100_old.txt. Formula strings and dictionary-style atomic-percent compositions were parsed into normalized atomic fractions, zero-valued dictionary entries were ignored, and only rows with parsed compositions and hardness values were eligible. Within duplicate exact-composition groups, original and reconstructed rows were sorted by hardness and paired by rank. Because that produced only 100 usable exact pairs, the remaining pairs were filled from unused rows with a second pass that required element-set Jaccard overlap >= 0.60, normalized composition L1 distance <= 1.0, and hardness absolute difference <= 220; these approximate candidates were ranked by composition distance, then hardness difference, then element overlap.

Selected 100 matched pairs
Breakdown: exact=100, approximate=0

01. kind=exact, original_line=305, reconstructed_line=407, composition_orig=HfNbTiVZr, composition_recon=Ti20Zr20Hf20Nb20V20, HV_orig=388.000, HV_recon=3.800, HV_abs_diff=384.200, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=4
12. kind=exact, original_line=248, reconstructed_line=339, composition_orig=AlCuFeNiTi, composition_recon=Al20Ti20Ni20Cu20Fe20, HV_orig=516.000, HV_recon=365.000, HV_abs_diff=151.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=3
13. kind=exact, original_line=275, reconstructed_line=370, composition_orig=AlNb1.5Ta0.5Ti1.5Zr0.5, composition_recon=AlNb1.5Ta0.5Ti1.5Zr0.5, HV_orig=408.000, HV_recon=4.000, HV_abs_diff=404.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=3
14. kind=exact, original_line=309, reconstructed_line=418, composition_orig=MoNbTaW, composition_recon=W20Nb20Mo20Ta20, HV_orig=454.000, HV_recon=4.460, HV_abs_diff=449.540, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=3
15. kind=exact, original_line=278, reconstructed_line=416, composition_orig=CrHfNbTiZr, composition_recon=Ti20Zr20Hf20Nb20Cr20, HV_orig=464.000, HV_recon=4.500, HV_abs_diff=459.500, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=3
16. kind=exact, original_line=274, reconstructed_line=376, composition_orig=Al0.3NbTaTi1.4Zr1.3, composition_recon=Al0.3NbTaTi1.4Zr1.3, HV_orig=490.000, HV_recon=4.800, HV_abs_diff=485.200, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=3
17. kind=exact, original_line=272, reconstructed_line=379, composition_orig=Al0.3NbTa0.8Ti1.4V0.2Zr1.3, composition_recon=Al0.3NbTa0.8Ti1.4V0.2Zr1.3, HV_orig=500.000, HV_recon=4.900, HV_abs_diff=495.100, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=3
18. kind=exact, original_line=273, reconstructed_line=382, composition_orig=Al0.5NbTa0.8Ti1.5V0.2Zr, composition_recon=Al0.5NbTa0.8Ti1.5V0.2Zr, HV_orig=530.000, HV_recon=5.200, HV_abs_diff=524.800, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=3
19. kind=exact, original_line=308, reconstructed_line=419, composition_orig=MoNbTaVW, composition_recon=W20Nb20Mo20Ta20V20, HV_orig=536.000, HV_recon=5.250, HV_abs_diff=530.750, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=3
20. kind=exact, original_line=264, reconstructed_line=367, composition_orig=AlMo0.5NbTa00.5TiZr, composition_recon=AlMo0.5NbTa0.5TiZr, HV_orig=591.000, HV_recon=5.800, HV_abs_diff=585.200, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=3
21. kind=exact, original_line=261, reconstructed_line=386, composition_orig=Al0.3HfNbTaTiZr, composition_recon=Al0.3HfNbTaTiZr, HV_orig=353.000, HV_recon=353.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=2
22. kind=exact, original_line=265, reconstructed_line=391, composition_orig=Al0.25MoNbTiV, composition_recon=Al0.25NbTiMoV, HV_orig=460.000, HV_recon=460.100, HV_abs_diff=0.100, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=2
23. kind=exact, original_line=310, reconstructed_line=390, composition_orig=MoNbTiV, composition_recon=NbTiMoV, HV_orig=441.000, HV_recon=440.700, HV_abs_diff=0.300, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=2
24. kind=exact, original_line=267, reconstructed_line=393, composition_orig=Al0.75MoNbTiV, composition_recon=Al0.75NbTiMoV, HV_orig=517.000, HV_recon=516.600, HV_abs_diff=0.400, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=2
25. kind=exact, original_line=268, reconstructed_line=394, composition_orig=AlMoNbTiV, composition_recon=AlNbTiMoV, HV_orig=537.000, HV_recon=536.600, HV_abs_diff=0.400, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=2
26. kind=exact, original_line=266, reconstructed_line=392, composition_orig=Al0.5MoNbTiV, composition_recon=Al0.5NbTiMoV, HV_orig=487.000, HV_recon=486.500, HV_abs_diff=0.500, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=2
27. kind=exact, original_line=302, reconstructed_line=385, composition_orig=HfNbTaTiZr, composition_recon=HfNbTaTiZr, HV_orig=335.000, HV_recon=295.000, HV_abs_diff=40.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=2
28. kind=exact, original_line=249, reconstructed_line=333, composition_orig=AlCuNiTi, composition_recon=Al25Ti25Ni25Cu25, HV_orig=537.000, HV_recon=416.000, HV_abs_diff=121.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=2
29. kind=exact, original_line=2, reconstructed_line=2, composition_orig=CoFeNi, composition_recon=CoFeNi, HV_orig=125.000, HV_recon=125.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=1
30. kind=exact, original_line=135, reconstructed_line=255, composition_orig=AlCrFeNiMo0.8, composition_recon=AlCrFeNiMo0.8, HV_orig=854.000, HV_recon=853.800, HV_abs_diff=0.200, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=1
31. kind=exact, original_line=300, reconstructed_line=486, composition_orig=HfNbTaZr, composition_recon=TaNbHfZr, HV_orig=365.000, HV_recon=364.500, HV_abs_diff=0.500, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=1
32. kind=exact, original_line=6, reconstructed_line=8, composition_orig=CoFeNiSi0.5, composition_recon=CoFeNiSi0.5, HV_orig=287.000, HV_recon=285.000, HV_abs_diff=2.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=1
33. kind=exact, original_line=7, reconstructed_line=9, composition_orig=CoFeNiSi0.75, composition_recon=CoFeNiSi0.75, HV_orig=570.000, HV_recon=568.000, HV_abs_diff=2.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=1
34. kind=exact, original_line=8, reconstructed_line=3, composition_orig=Al0.25CoFeNi, composition_recon=Al0.25CoFeNi, HV_orig=138.000, HV_recon=140.000, HV_abs_diff=2.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=1
35. kind=exact, original_line=5, reconstructed_line=7, composition_orig=CoFeNiSi0.25, composition_recon=CoFeNiSi0.25, HV_orig=149.000, HV_recon=145.000, HV_abs_diff=4.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=1
36. kind=exact, original_line=10, reconstructed_line=5, composition_orig=Al0.75CoFeNi, composition_recon=Al0.75CoFeNi, HV_orig=385.000, HV_recon=380.000, HV_abs_diff=5.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=1
37. kind=exact, original_line=210, reconstructed_line=6, composition_orig=AlCoFeNi, composition_recon=AlCoFeNi, HV_orig=456.000, HV_recon=450.000, HV_abs_diff=6.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=1
38. kind=exact, original_line=9, reconstructed_line=4, composition_orig=Al0.5CoFeNi, composition_recon=Al0.5CoFeNi, HV_orig=212.000, HV_recon=205.000, HV_abs_diff=7.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=1
39. kind=exact, original_line=106, reconstructed_line=225, composition_orig=CoCrFeMnNiV0.25, composition_recon=CoCrFeMnNiV0.25, HV_orig=151.000, HV_recon=144.000, HV_abs_diff=7.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=1
40. kind=exact, original_line=105, reconstructed_line=224, composition_orig=CoCrFeMnNi, composition_recon=CoCrFeMnNi, HV_orig=144.000, HV_recon=135.000, HV_abs_diff=9.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=1
41. kind=exact, original_line=303, reconstructed_line=456, composition_orig=HfNbTaTiZr, composition_recon=HfNbTaTiZr, HV_orig=295.000, HV_recon=9.910, HV_abs_diff=285.090, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=1
42. kind=exact, original_line=291, reconstructed_line=457, composition_orig=HfMo0.25NbTaTiZr, composition_recon=HfMo0.25NbTaTiZr, HV_orig=395.000, HV_recon=9.940, HV_abs_diff=385.060, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=1
43. kind=exact, original_line=292, reconstructed_line=458, composition_orig=HfMo0.5NbTaTiZr, composition_recon=HfMo0.5NbTaTiZr, HV_orig=480.000, HV_recon=9.960, HV_abs_diff=470.040, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=1
44. kind=exact, original_line=293, reconstructed_line=459, composition_orig=HfMo0.75NbTaTiZr, composition_recon=HfMo0.75NbTaTiZr, HV_orig=492.000, HV_recon=9.970, HV_abs_diff=482.030, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=1
45. kind=exact, original_line=294, reconstructed_line=460, composition_orig=HfMoNbTaTiZr, composition_recon=HfMoNbTaTiZr, HV_orig=505.000, HV_recon=9.970, HV_abs_diff=495.030, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=1
46. kind=exact, original_line=295, reconstructed_line=468, composition_orig=HfMoNbTaTiZr, composition_recon=Hf0.167Mo0.167Nb0.167Ta0.167Ti0.167Zr0.167, HV_orig=505.000, HV_recon=9.970, HV_abs_diff=495.030, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=1
47. kind=exact, original_line=296, reconstructed_line=463, composition_orig=HfMoTaTiZr, composition_recon=Hf0.2Mo0.2Ta0.2Ti0.2Zr0.2, HV_orig=542.000, HV_recon=10.240, HV_abs_diff=531.760, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=1
48. kind=exact, original_line=13, reconstructed_line=61, composition_orig=CoCrFeNi, composition_recon=CoCrFeNi, HV_orig=113.000, HV_recon=113.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
49. kind=exact, original_line=12, reconstructed_line=51, composition_orig=CoCrFeNi, composition_recon=CoCrFeNi, HV_orig=116.000, HV_recon=116.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
50. kind=exact, original_line=21, reconstructed_line=89, composition_orig=Co1.5CrFeNi1.5Ti0.5, composition_recon=Co1.5CrFeNi1.5Ti0.5, HV_orig=509.000, HV_recon=509.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
51. kind=exact, original_line=23, reconstructed_line=52, composition_orig=Al0.25CoCrFeNi, composition_recon=Al0.25CoCrFeNi, HV_orig=110.000, HV_recon=110.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
52. kind=exact, original_line=26, reconstructed_line=63, composition_orig=Al0.375CoCrFeNi, composition_recon=Al0.375CoCrFeNi, HV_orig=196.000, HV_recon=196.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
53. kind=exact, original_line=27, reconstructed_line=54, composition_orig=Al0.5CoCrFeNi, composition_recon=Al0.5CoCrFeNi, HV_orig=159.000, HV_recon=159.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
54. kind=exact, original_line=31, reconstructed_line=65, composition_orig=Al0.75CoCrFeNi, composition_recon=Al0.75CoCrFeNi, HV_orig=280.000, HV_recon=280.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
55. kind=exact, original_line=30, reconstructed_line=55, composition_orig=Al0.75CoCrFeNi, composition_recon=Al0.75CoCrFeNi, HV_orig=388.000, HV_recon=388.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
56. kind=exact, original_line=34, reconstructed_line=66, composition_orig=Al0.875CoCrFeNi, composition_recon=Al0.875CoCrFeNi, HV_orig=361.000, HV_recon=361.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
57. kind=exact, original_line=37, reconstructed_line=110, composition_orig=AlCoCrFeNi, composition_recon=FeNiCrCoAl, HV_orig=395.000, HV_recon=395.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
58. kind=exact, original_line=36, reconstructed_line=67, composition_orig=AlCoCrFeNi, composition_recon=AlCoCrFeNi, HV_orig=433.000, HV_recon=433.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
59. kind=exact, original_line=35, reconstructed_line=57, composition_orig=AlCoCrFeNi, composition_recon=AlCoCrFeNi, HV_orig=484.000, HV_recon=484.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
60. kind=exact, original_line=45, reconstructed_line=58, composition_orig=Al1.25CoCrFeNi, composition_recon=Al1.25CoCrFeNi, HV_orig=487.000, HV_recon=487.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
61. kind=exact, original_line=46, reconstructed_line=68, composition_orig=Al1.25CoCrFeNi, composition_recon=Al1.25CoCrFeNi, HV_orig=499.000, HV_recon=499.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
62. kind=exact, original_line=49, reconstructed_line=111, composition_orig=Al1.5CoCrFeNi, composition_recon=FeNiCrCoAl1.5, HV_orig=402.000, HV_recon=402.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
63. kind=exact, original_line=47, reconstructed_line=59, composition_orig=Al1.5CoCrFeNi, composition_recon=Al1.5CoCrFeNi, HV_orig=484.000, HV_recon=484.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
64. kind=exact, original_line=52, reconstructed_line=112, composition_orig=Al2CoCrFeNi, composition_recon=FeNiCrCoAl2, HV_orig=432.000, HV_recon=432.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
65. kind=exact, original_line=50, reconstructed_line=60, composition_orig=Al2CoCrFeNi, composition_recon=Al2CoCrFeNi, HV_orig=509.000, HV_recon=509.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
66. kind=exact, original_line=53, reconstructed_line=113, composition_orig=Al2.5CoCrFeNi, composition_recon=FeNiCrCoAl2.5, HV_orig=487.000, HV_recon=487.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
67. kind=exact, original_line=54, reconstructed_line=114, composition_orig=Al3CoCrFeNi, composition_recon=FeNiCrCoAl3, HV_orig=506.000, HV_recon=506.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
68. kind=exact, original_line=79, reconstructed_line=163, composition_orig=AlCoCrFe1.5Mo0.5Ni, composition_recon=AlCoCrFe1.5Mo0.5Ni, HV_orig=635.000, HV_recon=635.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
69. kind=exact, original_line=83, reconstructed_line=149, composition_orig=AlCoCrFeNb0.1Ni, composition_recon=AlCoCrFeNb0.1Ni, HV_orig=569.000, HV_recon=569.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
70. kind=exact, original_line=84, reconstructed_line=151, composition_orig=AlCoCrFeNb0.25Ni, composition_recon=AlCoCrFeNb0.25Ni, HV_orig=668.000, HV_recon=668.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
71. kind=exact, original_line=85, reconstructed_line=153, composition_orig=AlCoCrFeNb0.5Ni, composition_recon=AlCoCrFeNb0.5Ni, HV_orig=747.000, HV_recon=747.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
72. kind=exact, original_line=93, reconstructed_line=90, composition_orig=Al0.2Co1.5CrFeNi1.5Ti0.5, composition_recon=Al0.2Co1.5CrFeNi1.5Ti0.5, HV_orig=487.000, HV_recon=487.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
73. kind=exact, original_line=103, reconstructed_line=208, composition_orig=AlCoCrFeNiTiVZr, composition_recon=AlTiVFeNiZrCoCr, HV_orig=780.000, HV_recon=780.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
74. kind=exact, original_line=107, reconstructed_line=221, composition_orig=CoCrFeMnNiV0.5, composition_recon=CoCrFeMnNiV0.5, HV_orig=186.000, HV_recon=186.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
75. kind=exact, original_line=108, reconstructed_line=222, composition_orig=CoCrFeMnNiV0.75, composition_recon=CoCrFeMnNiV0.75, HV_orig=342.000, HV_recon=342.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
76. kind=exact, original_line=130, reconstructed_line=229, composition_orig=Al0.3CrFe1.5MnNi0.5, composition_recon=Al0.3CrFe1.5MnNi0.5, HV_orig=297.000, HV_recon=297.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
77. kind=exact, original_line=211, reconstructed_line=202, composition_orig=AlCoFeNiTiVZr, composition_recon=AlTiVFeNiZrCo, HV_orig=790.000, HV_recon=790.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
78. kind=exact, original_line=224, reconstructed_line=287, composition_orig=AlCoCuFeNiZr, composition_recon=Fe16.67Co16.67Ni16.67Cu16.67Al16.67Zr16.67 (nominal at.%), HV_orig=472.000, HV_recon=472.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
79. kind=exact, original_line=231, reconstructed_line=109, composition_orig=CrCuFeMnNi, composition_recon=FeNiCrCuMn, HV_orig=296.000, HV_recon=296.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
80. kind=exact, original_line=232, reconstructed_line=107, composition_orig=CrCuFeMoNi, composition_recon=FeNiCrCuMo, HV_orig=263.000, HV_recon=263.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
81. kind=exact, original_line=245, reconstructed_line=108, composition_orig=AlCrCuFeNi, composition_recon=FeNiCrCuAl, HV_orig=342.000, HV_recon=342.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
82. kind=exact, original_line=282, reconstructed_line=198, composition_orig=FeMoNiTiVZr, composition_recon=MoTiVFeNiZr, HV_orig=740.000, HV_recon=740.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
83. kind=exact, original_line=301, reconstructed_line=490, composition_orig=Hf0.5Nb0.5Ta0.5Ti1.5Zr, composition_recon=Hf0.5Nb0.5Ta0.5Ti1.5Zr, HV_orig=301.000, HV_recon=301.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
84. kind=exact, original_line=341, reconstructed_line=206, composition_orig=CoCrCuFeNiTiVZr, composition_recon=CuTiVFeNiZrCoCr, HV_orig=680.000, HV_recon=680.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
85. kind=exact, original_line=342, reconstructed_line=210, composition_orig=CoCrFeMoNiTiVZr, composition_recon=MoTiVFeNiZrCoCr, HV_orig=850.000, HV_recon=850.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
86. kind=exact, original_line=343, reconstructed_line=200, composition_orig=CoCuFeNiTiVZr, composition_recon=CuTiVFeNiZrCo, HV_orig=630.000, HV_recon=630.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
87. kind=exact, original_line=350, reconstructed_line=598, composition_orig=CoFeMoNi1.2V, composition_recon=CoFeNi1.2VMo, HV_orig=602.000, HV_recon=602.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
88. kind=exact, original_line=355, reconstructed_line=204, composition_orig=CoFeMoNiTiVZr, composition_recon=MoTiVFeNiZrCo, HV_orig=790.000, HV_recon=790.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
89. kind=exact, original_line=356, reconstructed_line=194, composition_orig=CuFeNiTiVZr, composition_recon=CuTiVFeNiZr, HV_orig=590.000, HV_recon=590.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
90. kind=exact, original_line=361, reconstructed_line=196, composition_orig=AlFeNiTiVZr, composition_recon=AlTiVFeNiZr, HV_orig=800.000, HV_recon=800.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
91. kind=exact, original_line=344, reconstructed_line=592, composition_orig=CoFeNiV, composition_recon=CoFeNiV, HV_orig=238.000, HV_recon=238.100, HV_abs_diff=0.100, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
92. kind=exact, original_line=25, reconstructed_line=53, composition_orig=Al0.375CoCrFeNi, composition_recon=Al0.375CoCrFeNi, HV_orig=131.000, HV_recon=130.800, HV_abs_diff=0.200, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
93. kind=exact, original_line=220, reconstructed_line=283, composition_orig=AlCoCuFeNi, composition_recon=Fe20Co20Ni20Cu20Al20 (nominal at.%), HV_orig=536.000, HV_recon=536.200, HV_abs_diff=0.200, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
94. kind=exact, original_line=354, reconstructed_line=602, composition_orig=CoFeMoNi2V, composition_recon=CoFeNi2VMo, HV_orig=382.000, HV_recon=382.270, HV_abs_diff=0.270, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
95. kind=exact, original_line=345, reconstructed_line=593, composition_orig=CoFeMo0.2NiV, composition_recon=CoFeNiVMo0.2, HV_orig=267.000, HV_recon=267.280, HV_abs_diff=0.280, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
96. kind=exact, original_line=48, reconstructed_line=69, composition_orig=Al1.5CoCrFeNi, composition_recon=Al1.5CoCrFeNi, HV_orig=517.000, HV_recon=517.300, HV_abs_diff=0.300, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
97. kind=exact, original_line=353, reconstructed_line=601, composition_orig=CoFeMoNi1.8V, composition_recon=CoFeNi1.8VMo, HV_orig=510.000, HV_recon=510.300, HV_abs_diff=0.300, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
98. kind=exact, original_line=347, reconstructed_line=595, composition_orig=CoFeMo0.6NiV, composition_recon=CoFeNiVMo0.6, HV_orig=557.000, HV_recon=556.680, HV_abs_diff=0.320, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
99. kind=exact, original_line=348, reconstructed_line=596, composition_orig=CoFeMo0.8NiV, composition_recon=CoFeNiVMo0.8, HV_orig=606.000, HV_recon=605.630, HV_abs_diff=0.370, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0
100. kind=exact, original_line=349, reconstructed_line=597, composition_orig=CoFeMoNiV, composition_recon=CoFeNiVMo, HV_orig=625.000, HV_recon=624.600, HV_abs_diff=0.400, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=0

MAE summary on selected pairs (computed only where both original and reconstructed values are present):
- sigma_y (MPa): MAE=137.525, n=40
- sigma_max (MPa): MAE=71.938, n=16
- epsilon (%): MAE=0.646, n=25
- E (GPa): MAE=56.433, n=15
