Composition                               , Type_of_phases                                              , rho  , HV    , Type_of_tests, sigma_Y, sigma_max, epsilon, E      , Folder
Co1.5CrFeNi1.5Ti                          , FCC+η                                                       ,      ,  654  ,              ,        ,          ,        ,        ,     10
Al0.2Co1.5CrFeNi1.5Ti                     , FCC+η                                                       ,      ,  717  ,              ,        ,          ,        ,        ,     10
FeNiCrCo0.3Al0.7                          , BCC(A2)+BCC(B2)+FCC                                         ,      ,  624  , C            , 2033   ,   2635   ,    8.12,        ,     11
FeNiCrCoAl                                , BCC                                                         ,      ,       , C            , 1251   ,   2004   ,   32.7 ,        ,     11
FeNiCrCoAl0.25                            , FCC                                                         ,      ,  110  ,              ,        ,          ,        ,        ,     11
FeNiCrCoAl0.5                             , BCC+FCC                                                     ,      ,  159  ,              ,        ,          ,        ,        ,     11
FeNiCrCoAl0.75                            , BCC+FCC                                                     ,      ,  388  ,              ,        ,          ,        ,        ,     11
FeNiCrCoAl0.875                           , BCC                                                         ,      ,  538  ,              ,        ,          ,        ,        ,     11
FeNiCrCoAl1                               , BCC                                                         ,      ,  484  ,              ,        ,          ,        ,        ,     11
FeNiCrCoAl2                               , BCC                                                         ,      ,  509  ,              ,        ,          ,        ,        ,     11
FeNiCrCuCo                                , FCC                                                         ,      ,  286  ,              ,        ,          ,        ,        ,     13
FeNiCrCuAl                                , FCC+BCC                                                     ,      ,  342  ,              ,        ,          ,        ,        ,     13
FeNiCrCuMo                                , FCC                                                         ,      ,  263  ,              ,        ,          ,        ,        ,     13
FeNiCrCuMn                                , FCC+BCC                                                     ,      ,  296  ,              ,        ,          ,        ,        ,     13
FeNiCrCuZr                                , BCC+compounds                                               ,      ,  566  ,              ,        ,          ,        ,        ,     13
FeNiCrCoAl                                , BCC                                                         ,      ,  395  ,              ,        ,          ,        ,        ,     13
FeNiCrCoAl1.5                             , BCC                                                         ,      ,  402  ,              ,        ,          ,        ,        ,     13
FeNiCrCoAl2                               , BCC                                                         ,      ,  432  ,              ,        ,          ,        ,        ,     13
FeNiCrCoAl2.5                             , BCC                                                         ,      ,  487  ,              ,        ,          ,        ,        ,     13
FeNiCrCoAl3                               , BCC                                                         ,      ,  506  ,              ,        ,          ,        ,        ,     13
AlCrFeCoNi                                , BCC+B2                                                      ,      ,       , C            , 1250.96,   2004.23,   32.7 ,        ,     14
CrFeCoNiCuTi                              ,                                                             ,      ,       , C            , 1272   ,   1272   ,    1.6 ,        ,     14
AlCrMnFeCoNiCuTiV                         ,                                                             ,      ,       , C            , 1862   ,   2431   ,    0.95,        ,     14
CrFeCoNiCuTi0.5                           ,                                                             ,      ,       , C            ,  700   ,   1650   ,   21.26,        ,     14
AlCoCrFeNi                                , BCC                                                         ,      ,       , C            , 1051   ,          ,        ,        ,     15
AlCoCrFeNiMo0.1                           , BCC                                                         ,      ,       , C            , 1804   ,   2280   ,    9.1 ,        ,     15
AlCoCrFeNiMo0.2                           , BCC+sigma                                                   ,      ,       , C            , 2456   ,   2953   ,    3.4 ,        ,     15
AlCoCrFeNiMo0.3                           , BCC+sigma                                                   ,      ,       , C            , 2649   ,   3208   ,    3.3 ,        ,     15
AlCoCrFeNiMo0.4                           , BCC+sigma                                                   ,      ,       , C            , 2670   ,   3161   ,    3.0 ,        ,     15
AlCoCrFeNiMo0.5                           , BCC+sigma                                                   ,      ,       , C            , 2757   ,   3036   ,    2.5 ,        ,     15
AlCoCrFeNi                                , BCC                                                         ,      ,       , C            , 1110   ,          ,        ,        ,     16
AlCoCrFeNiSi0.2                           , BCC                                                         ,      ,       , C            , 1265   ,   2173   ,   13.76,        ,     16
AlCoCrFeNiSi0.4                           , BCC                                                         ,      ,       , C            , 1481   ,   2444   ,   13.38,        ,     16
AlCoCrFeNiSi0.6                           , BCC+delta                                                   ,      ,       , C            , 1834   ,   2195   ,    2.56,        ,     16
AlCoCrFeNiSi0.8                           , BCC+delta                                                   ,      ,       , C            , 2179   ,   2664   ,    1.77,        ,     16
AlCoCrFeNiSi1.0                           , BCC+delta                                                   ,      ,       , C            , 2411   ,   2950   ,    1.17,        ,     16
AlCoCrFeNi                                , BCC                                                         ,      ,       , C            , 1138   ,          ,        , 125.1  ,     17
AlCoCrFeNiC0.1                            , BCC+epsilon                                                 ,      ,       , C            ,  957   ,   2550   ,   10.52, 213.2  ,     17
AlCoCrFeNiC0.2                            , BCC+epsilon                                                 ,      ,       , C            ,  906   ,   2386   ,    8.68, 150.9  ,     17
AlCoCrFeNiC0.3                            , BCC+epsilon                                                 ,      ,       , C            ,  867   ,   2178   ,    7.82, 137.2  ,     17
AlCoCrFeNiC0.4                            , BCC+epsilon                                                 ,      ,       , C            , 1056   ,   2375   ,    6.67, 156.1  ,     17
AlCoCrFeNiC0.5                            , BCC+epsilon                                                 ,      ,       , C            , 1060   ,   2250   ,    5.6 , 180.8  ,     17
AlCoCrFeNiC1.0                            , BCC+epsilon+graphite                                        ,      ,       , C            , 1251   ,   2166   ,    7.04,  75.1  ,     17
AlCoCrFeNiC1.5                            , BCC+epsilon+graphite                                        ,      ,       , C            , 1255   ,   2083   ,    5.54,  72.5  ,     17
AlCoCrFeNi                                , BCC                                                         ,      ,       , C            , 1051   ,          ,        ,        ,     19
AlCoCrFeNiMo0.1                           , BCC                                                         ,      ,       , C            , 1804   ,   2280   ,    9.1 ,        ,     19
AlCoCrFeNiMo0.2                           , BCC+sigma                                                   ,      ,       , C            , 2456   ,   2953   ,    3.4 ,        ,     19
AlCoCrFeNiMo0.3                           , BCC+sigma                                                   ,      ,       , C            , 2649   ,   3208   ,    3.3 ,        ,     19
AlCoCrFeNiMo0.4                           , BCC+sigma                                                   ,      ,       , C            , 2670   ,   3161   ,    3.0 ,        ,     19
AlCoCrFeNiMo0.5                           , BCC+sigma                                                   ,      ,       , C            , 2757   ,   3036   ,    2.5 ,        ,     19
AlCoCrFeNi                                , BCC                                                         ,      ,  520  , C            , 1373   ,   3531   ,   24.5 ,        ,     20
AlCoCrFeNb0.1Ni                           , BCC                                                         ,      ,  569  , C            , 1641   ,   3285   ,   17.2 ,        ,     20
AlCoCrFeNb0.25Ni                          , BCC+Laves                                                   ,      ,  668  , C            , 1959   ,   3008   ,   10.5 ,        ,     20
AlCoCrFeNb0.5Ni                           , BCC+Laves                                                   ,      ,  747  , C            , 2473   ,   3170   ,    4.1 ,        ,     20
AlCoCrFeNb0.75Ni                          , Laves+BCC                                                   ,      ,       ,              ,        ,          ,        ,        ,     20
AlCo0.5CrFeMo0.5Ni                        , BCC+sigma                                                   ,      ,  788  ,              ,        ,          ,        ,        ,     21
AlCo1.0CrFeMo0.5Ni                        , BCC+sigma                                                   ,      ,  770  ,              ,        ,          ,        ,        ,     21
AlCo1.5CrFeMo0.5Ni                        , BCC+sigma                                                   ,      ,  711  ,              ,        ,          ,        ,        ,     21
AlCo2.0CrFeMo0.5Ni                        , BCC+FCC+sigma                                               ,      ,  596  ,              ,        ,          ,        ,        ,     21
AlCoCrFe0.6Mo0.5Ni                        , BCC+sigma                                                   ,      ,  828  ,              ,        ,          ,        ,        ,     22
AlCoCrFe1.0Mo0.5Ni                        , BCC+sigma                                                   ,      ,  818  ,              ,        ,          ,        ,        ,     22
AlCoCrFe1.5Mo0.5Ni                        , BCC+sigma                                                   ,      ,  726  ,              ,        ,          ,        ,        ,     22
AlCoCrFe2.0Mo0.5Ni                        , BCC+sigma                                                   ,      ,  723  ,              ,        ,          ,        ,        ,     22
AlCoCrFeMo0.5                             , B2+sigma                                                    ,      ,  904  ,              ,        ,          ,        ,        ,     23
AlCoCrFeMo0.5Ni0.5                        , B2+sigma                                                    ,      ,  770  ,              ,        ,          ,        ,        ,     23
AlCoCrFeMo0.5Ni1.0                        , B2+sigma                                                    ,      ,  770  ,              ,        ,          ,        ,        ,     23
AlCoCrFeMo0.5Ni1.5                        , B2+FCC+sigma                                                ,      ,  627  ,              ,        ,          ,        ,        ,     23
AlCoCrFeMo0.5Ni2.0                        , B2+FCC+sigma                                                ,      ,  404  ,              ,        ,          ,        ,        ,     23
AlCoCrFeNi                                , BCC                                                         ,      ,       , C            , 1110   ,          ,        ,        ,     24
AlCoCrFeNiSi0.2                           , BCC                                                         ,      ,       , C            , 1265   ,   2173   ,   13.76,        ,     24
AlCoCrFeNiSi0.4                           , BCC                                                         ,      ,       , C            , 1481   ,   2444   ,   13.38,        ,     24
AlCoCrFeNiSi0.6                           , BCC                                                         ,      ,       , C            , 1834   ,   2195   ,    2.56,        ,     24
AlCoCrFeNiSi0.8                           , BCC+delta                                                   ,      ,       , C            , 2179   ,   2664   ,    1.77,        ,     24
AlCoCrFeNiSi1.0                           , BCC+delta                                                   ,      ,       , C            , 2411   ,   2950   ,    1.17,        ,     24
Ti0.5CrFeCoNiCu                           , FCC                                                         ,      ,       , C            ,  700   ,   1650   ,   28.7 ,  92.73 ,     25
Ti0.5CrFeCoNiAl0.25Cu0.75                 , FCC                                                         ,      ,       , C            ,  750   ,   1970   ,   38.5 , 102.85 ,     25
Ti0.5CrFeCoNiAl0.5Cu0.5                   , FCC+BCC                                                     ,      ,       , C            , 1580   ,   2389   ,   17.4 , 160.54 ,     25
Ti0.5CrFeCoNiAl0.75Cu0.25                 , BCC                                                         ,      ,       , C            , 1900   ,   2697   ,   12.0 , 164.14 ,     25
Ti0.5CrFeCoNiAl                           , BCC                                                         ,      ,       , C            , 2040   ,   3135   ,   24.2 ,  72.68 ,     25
AlCoCrFeNi                                , BCC                                                         ,      ,       , C            , 1500   ,   2830   ,   27.9 , 127.0  ,     26
AlCoCrFeNiTi0.5                           , BCC                                                         ,      ,       , C            , 2260   ,   3140   ,   24.4 , 177.7  ,     26
AlCoCrFeNiTi                              , BCC                                                         ,      ,       , C            , 1860   ,   2580   ,   10.5 ,  90.1  ,     26
AlCoCrFeNiTi1.5                           , BCC+Laves                                                   ,      ,       , C            , 2220   ,   2720   ,    6.6 , 159.8  ,     26
CuTiVFeNiZr                               ,                                                             ,      ,  590  ,              ,        ,          ,        ,        ,     27
AlTiVFeNiZr                               ,                                                             ,      ,  800  ,              ,        ,          ,        ,        ,     27
MoTiVFeNiZr                               ,                                                             ,      ,  740  ,              ,        ,          ,        ,        ,     27
CuTiVFeNiZrCo                             ,                                                             ,      ,  630  ,              ,        ,          ,        ,        ,     27
AlTiVFeNiZrCo                             ,                                                             ,      ,  790  ,              ,        ,          ,        ,        ,     27
MoTiVFeNiZrCo                             ,                                                             ,      ,  790  ,              ,        ,          ,        ,        ,     27
CuTiVFeNiZrCoCr                           ,                                                             ,      ,  680  ,              ,        ,          ,        ,        ,     27
AlTiVFeNiZrCoCr                           ,                                                             ,      ,  780  ,              ,        ,          ,        ,        ,     27
MoTiVFeNiZrCoCr                           ,                                                             ,      ,  850  ,              ,        ,          ,        ,        ,     27
CuCoNiCrAl0.5Fe                           , FCC                                                         ,      ,       , C            ,        ,          ,   30   , 114    ,     27
CuCoNiCrAl0.8Fe                           , FCC+BCC                                                     ,      ,       ,              ,        ,          ,        , 145    ,     27
CuCoNiCrAl1.0Fe                           , FCC+BCC                                                     ,      ,       , C            ,        ,          ,        , 163    ,     27
CuCoNiCrFe                                , FCC                                                         ,      ,  133  ,              ,        ,          ,        ,        ,     27
CuCoNiCrAlFe                              , FCC+BCC                                                     ,      ,  655  ,              ,        ,          ,        ,        ,     27
CuCoNiCrAl2.0Fe                           , BCC                                                         ,      ,       , C            ,        ,          ,        ,        ,     27
CuCoNiCrAlFeTiV                           , BCC                                                         ,      ,       ,              ,        ,          ,        ,        ,     27
Cu0.5CoNiCrAl                             , BCC                                                         ,      ,       ,              ,        ,          ,        ,        ,     27
CuCoNiCrAlFeMoTiVZr                       , BCC+amorphous                                               ,      ,       ,              ,        ,          ,        ,        ,     27
Al0CoCr20Fe20Mn20Ni20                     , FCC                                                         ,      ,  176  , T            ,  209   ,    496   ,   61.7 ,        ,     28
Al2CoCr20Fe20Mn20Ni20                     , FCC                                                         ,      ,  177  , T            ,  215   ,    505   ,   56   ,        ,     28
Al3CoCr20Fe20Mn20Ni20                     , FCC                                                         ,      ,  178  , T            ,  220   ,    510   ,   53   ,        ,     28
Al4CoCr20Fe20Mn20Ni20                     , FCC                                                         ,      ,  179  , T            ,  228   ,    515   ,   50   ,        ,     28
Al7CoCr20Fe20Mn20Ni20                     , FCC                                                         ,      ,  182  , T            ,  242   ,    529   ,   47.2 ,        ,     28
Al8CoCr20Fe20Mn20Ni20                     , FCC+BCC                                                     ,      ,  210  , T            ,  310   ,    640   ,   30   ,        ,     28
Al9CoCr20Fe20Mn20Ni20                     , FCC+BCC                                                     ,      ,  270  , T            ,  440   ,    810   ,   18   ,        ,     28
Al10CoCr20Fe20Mn20Ni20                    , FCC+BCC                                                     ,      ,  340  , T            ,  600   ,    980   ,   12   ,        ,     28
Al11CoCr20Fe20Mn20Ni20                    , FCC+BCC                                                     ,      ,  390  , T            ,  832   ,   1174   ,    7.7 ,        ,     28
Al12CoCr20Fe20Mn20Ni20                    , FCC+BCC                                                     ,      ,  460  , T            ,        ,          ,        ,        ,     28
Al13CoCr20Fe20Mn20Ni20                    , FCC+BCC                                                     ,      ,  500  , T            ,        ,          ,        ,        ,     28
Al14CoCr20Fe20Mn20Ni20                    , FCC+BCC                                                     ,      ,  538  , T            ,        ,          ,        ,        ,     28
Al15CoCr20Fe20Mn20Ni20                    , FCC+BCC                                                     ,      ,  545  , T            ,        ,          ,        ,        ,     28
Al16CoCr20Fe20Mn20Ni20                    , BCC                                                         ,      ,  555  ,              ,        ,          ,        ,        ,     28
Al20CoCr20Fe20Mn20Ni20                    , BCC                                                         ,      ,  560  ,              ,        ,          ,        ,        ,     28
CoCrFeMnNi                                , FCC                                                         ,      ,  144  , C            ,        ,          ,        ,        ,     29
CoCrFeMnNi                                , FCC                                                         ,      ,  135  , C            ,  230   ,          ,   75   ,        ,     29
CoCrFeMnNiV0.25                           , FCC                                                         ,      ,  151  , C            ,        ,          ,        ,        ,     29
CoCrFeMnNiV0.25                           , FCC+sigma                                                   ,      ,  144  , C            ,  200   ,          ,   75   ,        ,     29
CoCrFeMnNiV0.5                            , FCC+sigma                                                   ,      ,  186  , C            ,        ,          ,        ,        ,     29
CoCrFeMnNiV0.5                            , FCC+sigma                                                   ,      ,  275  , C            ,  620   ,          ,   75   ,        ,     29
CoCrFeMnNiV0.75                           , FCC+sigma                                                   ,      ,  342  , C            ,        ,          ,        ,        ,     29
CoCrFeMnNiV0.75                           , FCC+sigma                                                   ,      ,  380  , C            ,  740   ,   1325   ,    7.8 ,        ,     29
CoCrFeMnNiV                               , sigma+FCC                                                   ,      ,  650  , C            ,        ,          ,        ,        ,     29
CoCrFeMnNiV                               , sigma+FCC                                                   ,      ,  636  , C            , 1660   ,   1845   ,    0.5 ,        ,     29
Al0.3CrFe1.5MnNi0.5                       , BCC+FCC                                                     ,      ,  297  ,              ,        ,          ,        ,        ,     30
Al0.3CrFe1.5MnNi0.5                       , BCC+FCC                                                     ,      ,  358  ,              ,        ,          ,        ,        ,     30
Al0.3CrFe1.5MnNi0.5                       , BCC+FCC                                                     ,      ,  339  ,              ,        ,          ,        ,        ,     30
Al0.3CrFe1.5MnNi0.5                       , BCC+FCC                                                     ,      ,  359  ,              ,        ,          ,        ,        ,     30
Al0.3CrFe1.5MnNi0.5                       , BCC+FCC                                                     ,      ,  386  ,              ,        ,          ,        ,        ,     30
Al0.3CrFe1.5MnNi0.5                       , BCC+FCC                                                     ,      ,  407  ,              ,        ,          ,        ,        ,     30
Al0.3CrFe1.5MnNi0.5                       , BCC+FCC                                                     ,      ,  446  ,              ,        ,          ,        ,        ,     30
Al0.5CrFe1.5MnNi0.5                       , BCC                                                         ,      ,  396  ,              ,        ,          ,        ,        ,     30
Al0.5CrFe1.5MnNi0.5                       , BCC                                                         ,      ,  428  ,              ,        ,          ,        ,        ,     30
Al0.5CrFe1.5MnNi0.5                       , BCC                                                         ,      ,  394  ,              ,        ,          ,        ,        ,     30
Al0.5CrFe1.5MnNi0.5                       , BCC                                                         ,      ,  428  ,              ,        ,          ,        ,        ,     30
Al0.5CrFe1.5MnNi0.5                       , BCC                                                         ,      ,  457  ,              ,        ,          ,        ,        ,     30
Al0.5CrFe1.5MnNi0.5                       , BCC                                                         ,      ,  464  ,              ,        ,          ,        ,        ,     30
Al0.5CrFe1.5MnNi0.5                       , BCC                                                         ,      ,  480  ,              ,        ,          ,        ,        ,     30
AlCrFeNi                                  , BCC+BCC                                                     ,      ,  472.4, C            , 1406.2 ,   2926.5 ,   28.5 ,        ,     31
AlCrFeNiMo0.2                             , BCC+BCC                                                     ,      ,  548.5, C            , 1487.4 ,   3222   ,   28.7 ,        ,     31
AlCrFeNiMo0.5                             , BCC+BCC                                                     ,      ,  621.5, C            , 1748.6 ,   2643.5 ,   12.6 ,        ,     31
AlCrFeNiMo0.8                             , BCC+σ                                                       ,      ,  853.8, C            , 1512.5 ,   1512.5 ,    0   ,        ,     31
AlCrFeNiMo1.0                             , BCC+σ                                                       ,      ,  911.5, C            ,        ,          ,        ,        ,     31
Cu0.5CoCrFeNi                             , FCC                                                         ,      ,  174  ,              ,        ,          ,        ,        ,     33
Al0CoCrCuFeNi                             , FCC                                                         ,      ,       ,              ,        ,          ,        ,        ,     34
Al0.5CoCrCuFeNi                           , FCC                                                         ,      ,       ,              ,        ,          ,        ,        ,     34
Al0.8CoCrCuFeNi                           , FCC+BCC                                                     ,      ,       ,              ,        ,          ,        ,        ,     34
Al1.0CoCrCuFeNi                           , FCC+BCC                                                     ,      ,       ,              ,        ,          ,        ,        ,     34
Al1.5CoCrCuFeNi                           , FCC+BCC                                                     ,      ,       ,              ,        ,          ,        ,        ,     34
Al2.0CoCrCuFeNi                           , FCC+BCC                                                     ,      ,       ,              ,        ,          ,        ,        ,     34
Al2.5CoCrCuFeNi                           , BCC                                                         ,      ,       ,              ,        ,          ,        ,        ,     34
Al3.0CoCrCuFeNi                           , BCC                                                         ,      ,       ,              ,        ,          ,        ,        ,     34
CoCrCuFeNi                                , FCC                                                         ,      ,       , C            ,  230   ,    888   ,   50.2 ,  55.6  ,     35
CoCrCuFeNiTi0.5                           , FCC                                                         ,      ,       , C            ,  700   ,   1650   ,   21.6 ,  98.6  ,     35
CoCrCuFeNiTi0.8                           , FCC+Laves(Fe2Ti)                                            ,      ,       , C            , 1042   ,   1848   ,    2.11, 128.3  ,     35
CoCrCuFeNiTi                              , FCC+Laves(Fe2Ti)                                            ,      ,       , C            , 1272   ,   1272   ,    0   ,  76.5  ,     35
Al0.5CoCrCuFeNi                           , FCC                                                         ,      ,       ,              ,        ,          ,        ,        ,     36
Al0.5CoCrCuFeNiB0.2                       , FCC+borides                                                 ,      ,       ,              ,        ,          ,        ,        ,     36
Al0.5CoCrCuFeNiB0.6                       , FCC+borides                                                 ,      ,       ,              ,        ,          ,        ,        ,     36
Al0.5CoCrCuFeNiB1.0                       , FCC+borides                                                 ,      ,       ,              ,        ,          ,        ,        ,     36
Al0.5CoCrCuFeNi                           , FCC                                                         ,      ,  225  ,              ,        ,          ,        ,        ,     37
Al0.5CoCrCuFeNiTi0.2                      , FCC                                                         ,      ,  250  ,              ,        ,          ,        ,        ,     37
Al0.5CoCrCuFeNiTi0.4                      , FCC+BCC                                                     ,      ,  290  ,              ,        ,          ,        ,        ,     37
Al0.5CoCrCuFeNiTi0.6                      , FCC+BCC                                                     ,      ,  350  ,              ,        ,          ,        ,        ,     37
Al0.5CoCrCuFeNiTi0.8                      , FCC+BCC+CoCr-like                                           ,      ,  460  ,              ,        ,          ,        ,        ,     37
Al0.5CoCrCuFeNiTi1.0                      , FCC+BCC+CoCr-like                                           ,      ,  540  ,              ,        ,          ,        ,        ,     37
Al0.5CoCrCuFeNiTi1.2                      , FCC+BCC+CoCr-like+Ti2Ni-like                                ,      ,  590  ,              ,        ,          ,        ,        ,     37
Al0.5CoCrCuFeNiTi1.4                      , FCC+BCC(ordered)+Ti2Ni-like                                 ,      ,  620  ,              ,        ,          ,        ,        ,     37
Al0.5CoCrCuFeNiTi1.6                      , FCC+BCC+Ti2Ni-like                                          ,      ,  640  ,              ,        ,          ,        ,        ,     37
Al0.5CoCrCuFeNiTi1.8                      , FCC+BCC+Ti2Ni-like                                          ,      ,  650  ,              ,        ,          ,        ,        ,     37
Al0.5CoCrCuFeNiTi2.0                      , FCC+BCC+Ti2Ni-like                                          ,      ,  660  ,              ,        ,          ,        ,        ,     37
Al0.5CoCrCuFeNi                           , FCC                                                         ,      ,  200  ,              ,        ,          ,        ,        ,     38
Al0.5CoCrCuFeNiV0.2                       , FCC                                                         ,      ,  200  ,              ,        ,          ,        ,        ,     38
Al0.5CoCrCuFeNiV0.4                       , FCC+BCC                                                     ,      ,  270  ,              ,        ,          ,        ,        ,     38
Al0.5CoCrCuFeNiV0.6                       , FCC+BCC+sigma                                               ,      ,  380  ,              ,        ,          ,        ,        ,     38
Al0.5CoCrCuFeNiV0.8                       , FCC+BCC+sigma                                               ,      ,  500  ,              ,        ,          ,        ,        ,     38
