Composition (atomic)       , Ref.     , Type of phases      , rho (g/cm^3), HV   , Type of tests, sigma_y (MPa), sigma_max (MPa), epsilon (%), E (GPa)
Al1.25CoCrFeNi             , [7]      , BCC                 , (6.5)       , 487  ,              ,              ,                ,            , (188)
Al1.25CoCrFeNi             , [7]      , BCC                 , (6.5)       , 499  ,              ,              ,                ,            , (188)
Al1.5CoCrFeNi              , [7]      , BCC                 , (6.2)       , 484  ,              ,              ,                ,            , (183)
Al1.5CoCrFeNi              , [7]      , BCC                 , (6.2)       , 517  ,              ,              ,                ,            , (183)
Al1.5CoCrFeNi              , [13]     , BCC                 , (6.2)       , 402  ,              ,              ,                ,            , (183)
Al2CoCrFeNi                , [7]      , BCC                 , (5.9)       , 509  ,              ,              ,                ,            , (173)
Al2CoCrFeNi                , [7]      , BCC                 , (5.9)       , 512  ,              ,              ,                ,            , (173)
Al2CoCrFeNi                , [13]     , BCC                 , (5.9)       , 432  ,              ,              ,                ,            , (173)
Al2.5CoCrFeNi              , [13]     , BCC                 , (5.6)       , 487  ,              ,              ,                ,            , (165)
Al3CoCrFeNi                , [13]     , BCC                 , (5.3)       , 506  ,              ,              ,                ,            , (158)
AlC0.1CoCrFeNi             , [18]     , BCC + Im            , (6.7)       ,      , C            ,           957,            2550, 11         , 213
AlC0.2CoCrFeNi             , [18]     , BCC + Im            , (6.8)       ,      , C            ,           906,            2386, 9          , 151
AlC0.3CoCrFeNi             , [18]     , BCC + Im            , (6.8)       ,      , C            ,           867,            2178, 8          , 137
AlC0.4CoCrFeNi             , [18]     , BCC + Im            , (6.8)       ,      , C            ,          1056,            2375, 7          , 156
AlC0.5CoCrFeNi             , [18]     , BCC + Im            , (6.8)       ,      , C            ,          1060,            2250, 6          , 181
AlCCoCrFeNi                , [18]     , BCC + Im            , (6.9)       ,      , C            ,          1251,            2166, 7          , 75
AlC1.5CoCrFeNi             , [18]     , BCC + Im            , (7.0)       ,      , C            ,          1255,            2083, 6          , 73
Al0.5CoCrFeMo0.5Ni         , [8]      , FCC + Im            , (7.7)       , 425  ,              ,              ,                ,            , 
AlCo0.5CrFeMo0.5Ni         , [21]     , BCC + Im            , (7.0)       , 801  ,              ,              ,                ,            , 
AlCoCrFe0.5Mo0.5Ni         , [22]     , BCC + Im            , (7.0)       , 755  ,              ,              ,                ,            , 
AlCoCrFe0.6Mo0.5Ni         , [22]     , BCC + Im            , (7.1)       , 754  ,              ,              ,                ,            , 
AlCoCrFeMo0.1Ni            , [19]     , BCC                 , (6.8)       ,      , C            ,          1804,            2280, 9          , (196)
AlCoCrFeMo0.2Ni            , [19]     , BCC + Im            , (6.9)       ,      , C            ,          2456,            2953, 3          , 
AlCoCrFeMo0.3Ni            , [19]     , BCC + Im            , (7.0)       ,      , C            ,          2649,            3208, 3          , 
AlCoCrFeMo0.4Ni            , [19]     , BCC + Im            , (7.0)       ,      , C            ,          2670,            3161, 3          , 
AlCoCrFeMo0.5Ni0.5         , [23]     , BCC + Im            , (7.0)       , 708  ,              ,              ,                ,            , 
AlCoCrFeMo0.5Ni            , [19]     , BCC + Im            , (7.1)       ,      , C            ,          2757,            3036, 3          , 
AlCoCrFeMo0.5Ni            , [21]     , BCC + Im            , (7.1)       , 796  ,              ,              ,                ,            , 
AlCoCrFeMo0.5Ni            , [8]      , BCC + Im            , (7.1)       , 715  ,              ,              ,                ,            , 
AlCoCrFeMo0.5Ni            , [23]     , BCC + Im            , (7.1)       , 730  ,              ,              ,                ,            , 
AlCoCrFeMo0.5Ni1.5         , [23]     , FCC + BCC + Im      , (7.2)       , 586  ,              ,              ,                ,            , 
AlCoCrFeMo0.5Ni2           , [23]     , FCC + BCC + Im      , (7.4)       , 395  ,              ,              ,                ,            , 
AlCo1.5CrFeMo0.5Ni         , [21]     , BCC + Im            , (7.2)       , 741  ,              ,              ,                ,            , 
AlCo2CrFeMo0.5Ni           , [21]     , FCC + BCC + Im      , (7.3)       , 586  ,              ,              ,                ,            , 
AlCoCrFe1.5Mo0.5Ni         , [22]     , BCC + Im            , (7.2)       , 635  ,              ,              ,                ,            , 
AlCoCrFe2Mo0.5Ni           , [22]     , BCC + Im            , (7.2)       , 639  ,              ,              ,                ,            , 
Al1.5CoCrFeMo0.5Ni         , [8]      , BCC + Im            , (6.6)       , 655  ,              ,              ,                ,            , 
Al2CoCrFeMo0.5Ni           , [8]      , BCC                 , (6.3)       , 605  ,              ,              ,                ,            , (185)
AlCoCrFeNb0.1Ni            , [20]     , BCC                 , (6.8)       , 569  , C            ,          1641,            3285, 17         , (192)
AlCoCrFeNb0.25Ni           , [20]     , BCC + Im            , (6.8)       , 668  , C            ,          1959,            3008, 11         , 
AlCoCrFeNb0.5Ni            , [20]     , BCC + Im            , (7.0)       , 747  , C            ,          2473,            3170, 4          , 
AlCoCrFeNb0.75Ni           , [20]     , BCC + Im            , (7.0)       ,      ,              ,              ,                ,            , 
AlCoCrFeNiSi0.2            , [24]     , BCC                 , (6.5)       ,      , C            ,          1265,            2173, 14         , (188)
AlCoCrFeNiSi0.4            , [24]     , BCC                 , (6.2)       ,      , C            ,          1481,            2444, 13         , (183)
AlCoCrFeNiSi0.6            , [24]     , BCC                 , (6.0)       ,      , C            ,          1834,            2195, 3          , (178)
AlCoCrFeNiSi0.8            , [24]     , BCC + Im            , (5.8)       ,      , C            ,          2179,            2664, 2          , 
AlCoCrFeNiSi               , [24]     , BCC                 , (5.7)       ,      , C            ,          1110,                ,            , (169)
AlCoCrFeNiSi               , [24]     , BCC + Im            , (5.7)       ,      , C            ,          2411,            2950, 1          , 
Al0.2Co1.5CrFeNi1.5Ti0.5   , [10]     , FCC                 , (7.6)       , 487  ,              ,              ,                ,            , (206)
Al0.2Co1.5CrFeNi1.5Ti      , [10]     , FCC + Im            , (7.2)       , 717  ,              ,              ,                ,            , 
Al0.5CoCrFeNiTi            , [9]      , BCC + Im            , (6.6)       ,      , C            ,              ,            1600, 10         , 107
AlCoCrFeNiTi0.5            , [25]     , FCC                 , (6.4)       , 178  , C            ,          2040,            3135, 24         , 72 (187)
AlCoCrFeNiTi0.5            , [26]     , BCC                 , (6.4)       , 178  , C            ,          2260,            3140, 23         , 178 (187)
AlCoCrFeNiTi               , [26]     , BCC                 , (6.2)       ,      , C            ,          1860,            2580, 9          , 90 (181)
AlCoCrFeNiTi               , [9]      , BCC + Im            , (6.2)       ,      , C            ,              ,            2280, 6          , 148
AlCoCrFeNiTi1.5            , [26]     , BCC + Im            , (6.1)       ,      , C            ,          2220,            2720, 5          , 160
Al1.5CoCrFeNiTi            , [9]      , BCC                 , (5.9)       ,      , C            ,              ,            2110, 10         , 133 (172)
Al2CoCrFeNiTi              , [9]      , BCC                 , (5.6)       , 643  , C            ,              ,            1030, 5          , 94 (165)
AlCoCrFeNiTiVZr            , [27]     ,                     , (6.3)       , 780  ,              ,              ,                ,            , 
CoCrFeMnNi                 , [28]     , FCC                 , (8.0)       , 176 T,              ,           208,                , 62         , (219)
CoCrFeMnNi                 , [29]     , FCC                 , (8.0)       , 144  , C            ,           230,                , 75         , (219)
CoCrFeMnNiV0.25            , [29]     , FCC                 , (7.9)       , 151  , C            ,           200,                , 75         , (215)
CoCrFeMnNiV0.5             , [29]     , FCC                 , (7.8)       , 186  , C            ,           620,                , 75         , (211)
CoCrFeMnNiV0.75            , [29]     , FCC + Im            , (7.7)       , 342  , C            ,           740,            1325, 8          , 
CoCrFeMnNiV1.0             , [29]     , FCC + Im            , (7.7)       , 650 C,              ,          1660,            1845, <1         , 
Al0.10CoCrFeMnNi           , [28]     , FCC                 , (7.9)       , 180  ,              ,              ,                ,            , (216)
Al0.20CoCrFeMnNi           , [28]     , FCC                 , (7.7)       , 171 T,              ,           220,                , 56         , (214)
Al0.38CoCrFeMnNi           , [28]     , FCC                 , (7.5)       , 182  , T            ,           244,                , 45         , (209)
Al0.43CoCrFeMnNi           , [28]     , FCC + BCC           , (7.4)       , 183 T,              ,           285,                , 35         , (208)
Al0.49CoCrFeMnNi           , [28]     , FCC + BCC           , (7.4)       , 220 T,              ,           331,                , 29         , (206)
Al0.56CoCrFeMnNi           , [28]     , FCC + BCC           , (7.3)       , 278 T,              ,           526,                , 16         , (204)
Al0.62CoCrFeMnNi           , [28]     , FCC + BCC           , (7.2)       , 405  , T            ,           833,                , 5          , (203)
Al0.68CoCrFeMnNi           , [28]     , FCC + BCC           , (7.2)       , 486  ,              ,              ,                ,            , (202)
Al0.75CoCrFeMnNi           , [28]     , FCC + BCC           , (7.1)       , 530  ,              ,              ,                ,            , (200)
Al0.81CoCrFeMnNi           , [28]     , FCC + BCC           , (7.0)       , 539  ,              ,              ,                ,            , (199)
Al0.88CoCrFeMnNi           , [28]     , FCC + BCC           , (7.0)       , 533  ,              ,              ,                ,            , (197)
Al0.95CoCrFeMnNi           , [28]     , FCC + BCC           , (6.9)       , 535  ,              ,              ,                ,            , (196)
Al1.25CoCrFeMnNi           , [28]     , BCC                 , (6.6)       , 539  ,              ,              ,                ,            , (190)
CoCrNi                     , [5]      , FCC                 , (8.3)       ,      , T            ,           860,                , 60         , (229)
CoMnNi                     , [5]      , FCC                 , (8.4)       ,      , T            ,           653,                , 38         , (202)
FeMnNi                     , [5]      , FCC                 , (8.1)       ,      , T            ,           602,                , 36         , (203)
CoCrFeNi                   , [5]      , FCC                 , (8.2)       ,      , T            ,           708,                , 39         , (225)
CoCrMnNi                   , [5]      , FCC                 , (8.1)       ,      , T            ,           694,                , 44         , (222)
CoFeMnNi                   , [5]      , FCC                 , (8.2)       ,      , T            ,           550,                , 41         , (205)
Al0.5CrFe1.5MnNi0.5        , [30]     , BCC                 , (7.0)       , 396  ,              ,              ,                ,            , (206)
Al0.3CrFe1.5MnNi0.5        , [30]     , FCC + BCC           , (7.2)       , 297  ,              ,              ,                ,            , (213)
AlCoCrFeMo0.5              , [23]     , BCC + Im            , (6.8)       , 857  ,              ,              ,                ,            , 
AlCrFeNi                   , [31]     , BCC                 , (6.3)       , 472  , C            ,          2927,                , 29         , (190)
AlCrFeNiMo0.2              , [31]     , BCC                 , (6.5)       , 549  , C            ,          3222,                , 29         , (197)
AlCrFeNiMo0.5              , [31]     , BCC                 , (6.8)       , 622  , C            ,          2644,                , 13         , (205)
AlCrFeNiMo0.8              , [31]     , BCC + Im            , (7.0)       , 854  , C            ,          1513,                , < 1        , 
AlCrFeNiMo                 , [31]     , BCC + Im            , (7.2)       , 905  ,              ,              ,                ,            , 
CoCrCuFe                   , [32]     , FCC                 , (8.2)       , 134  ,              ,              ,                ,            , (206)
Al0.3CoCrCuFe              , [32]     , FCC                 , (7.7)       , 180  ,              ,              ,                ,            , (194)
Al0.5CoCrCuFe              , [32]     , FCC                 , (7.4)       , 207  ,              ,              ,                ,            , (187)
Al0.8CoCrCuFe              , [32]     , FCC + BCC           , (7.0)       , 271  ,              ,              ,                ,            , (177)
AlCoCrCuFe                 , [32]     , FCC + BCC           , (6.8)       , 407  ,              ,              ,                ,            , (172)
Al1.3CoCrCuFe              , [32]     , FCC + BCC           , (6.5)       , 476  ,              ,              ,                ,            , (165)
Al1.5CoCrCuFe              , [32]     , FCC + BCC           , (6.3)       , 510  ,              ,              ,                ,            , (167)
Al1.8CoCrCuFe              , [32]     , FCC + BCC           , (6.0)       , 557  ,              ,              ,                ,            , (155)
Al2.0CoCrCuFe              , [32]     , FCC + BCC           , (5.9)       , 567  ,              ,              ,                ,            , (152)
Al2.3CoCrCuFe              , [32]     , FCC + BCC           , (5.7)       , 603  ,              ,              ,                ,            , (147)
Al2.5CoCrCuFe              , [32]     , FCC + BCC           , (5.6)       , 624  ,              ,              ,                ,            , (144)
Al2.8CoCrCuFe              , [32]     , BCC                 , (5.5)       , 657  ,              ,              ,                ,            , (140)
Al3.0CoCrCuFe              , [32]     , BCC                 , (5.4)       , 644  ,              ,              ,                ,            , (138)
CoCrCu0.5FeNi              , [33]     , FCC                 , (8.3)       , 172  ,              ,              ,                ,            , (214)
CoCrCuFeNi                 , [34]     , FCC                 , (8.3)       , 132  , C            ,           230,                , 56         , (206)
CoCrCuFeNi                 , [45]     , FCC                 , (8.3)       , 286  , C            ,           230,             888, 51         , 56 (206)
CoCrCuFeNi                 , [13]     , FCC                 , (8.3)       , 286  ,              ,              ,                ,            , (206)
CoCrCuFeNiTi0.5            , [25]     , FCC                 , (7.8)       ,      , C            ,          1650,                , 29         , 93 (198)
CoCrCuFeNiTi0.5            , [35]     , FCC                 , (7.8)       ,      , C            ,          1650,                , 22         , 99 (198)
CoCrCuFeNiTi0.8            , [35]     , FCC + Im            , (7.6)       ,      , C            ,          1848,                , 3          , 128
CoCrCuFeNiTi               , [35]     , FCC                 , (7.4)       ,      , C            ,          1272,                , 2          , 77 (191)
Al0.25CoCrCu0.5FeNiTi0.5   , [25]     , FCC                 , (7.4)       ,      ,              ,              ,                ,            , (198)
Al0.25CoCrCu0.75FeNiTi0.5  , [25]     , FCC                 , (7.5)       ,      , C            ,          1970,                , 39         , 103 (195)
Al0.3CoCrCuFeNi            , [34]     , FCC                 , (7.9)       , 180  ,              ,              ,                ,            , (198)
Al0.5CoCrCuFeNi            , [34]     , FCC                 , (7.6)       , 210  , C            ,              ,                ,            , (193)
Al0.5CoCrCuFeNi            , [36]     ,                     , (7.6)       , 300  ,              ,              ,                ,            , (193)
Al0.5CoCrCuFeNi            , [37]     , FCC                 , (7.6)       , 225  ,              ,              ,                ,            , (193)
Al0.5CoCrCuFeNi            , [38]     , FCC                 , (7.6)       , 215  ,              ,              ,                ,            , (193)
Al0.8CoCrCuFeNi            , [21]     , FCC + BCC           , (7.3)       , 270  ,              ,              ,                ,            , (187)
Al0.8CoCrCuFeNi            , [34]     , FCC                 , (7.3)       , 270  ,              ,              ,                ,            , (187)
AlCoCrCuFeNi               , [34]     , FCC + BCC           , (7.1)       , 406  , C            ,           950,                ,            , (183)
AlCoCrCuFeNi               , [39]     , FCC + BCC           , (7.1)       , 472  ,              ,              ,                ,            , (184)
AlCoCrCuFeNi               , [40]     , FCC + BCC           , (7.1)       ,      , C            ,              ,                , 24         , (183)
AlCoCrCuFeMnNi             , [40]     , FCC + BCC + Im      , (7.1)       ,      , C            ,              ,                , 15         , 
AlCoCrCuFeNiTi             , [40]     , FCC + BCC           , (6.6)       ,      , C            ,              ,                , 9          , (174)
AlCoCrCuFeNiV              , [40]     , FCC + BCC           , (6.9)       ,      , C            ,              ,                , 16         , (175)
Al1.3CoCrCuFeNi            , [34]     , FCC + BCC           , (6.8)       , 470  ,              ,              ,                ,            , (178)
Al1.5CoCrCuFeNi            , [34]     , FCC + BCC           , (6.6)       , 506  ,              ,              ,                ,            , 133 (174)
Al1.8CoCrCuFeNi            , [34]     , FCC + BCC           , (6.4)       , 650  ,              ,              ,                ,            , (170)
Al2CoCrCuFeNi              , [34]     , FCC + BCC           , (6.3)       , 560  , C            ,          1620,                ,            , (167)
Al2.3CoCrCuFeNi            , [34]     , FCC + BCC           , (6.1)       , 600  ,              ,              ,                ,            , (163)
Al2.5CoCrCuFeNi            , [34]     , FCC + BCC           , (6.0)       , 620  ,              ,              ,                ,            , (161)
Al2.8CoCrCuFeNi            , [34]     , BCC                 , (5.8)       , 650  ,              ,              ,                ,            , (157)
Al3CoCrCuFeNi              , [41]     , BCC                 , (5.7)       , 640  ,              ,              ,                ,            , (153)
Al0.5B0.2CoCrCuFeNi        , [36]     ,                     , (7.7)       , 415  ,              ,              ,                ,            , 
Al0.5B0.6CoCrCuFeNi        , [36]     ,                     , (7.7)       , 505  ,              ,              ,                ,            , 
Al0.5BCoCrCuFeNi           , [36]     ,                     , (7.8)       , 736  ,              ,              ,                ,            , 
Al0.5CoCrCu0.5FeNiTi0.5    , [25]     , FCC + BCC           , (7.1)       ,      , C            ,          1580,            2389, 17         , 161 (192)
Al0.5CoCrCuFeNiTi0.2       , [37]     , FCC                 , (7.5)       , 272  ,              ,              ,                ,            , (191)
Al0.5CoCrCuFeNiTi0.4       , [37]     , FCC                 , (7.3)       , 321  ,              ,              ,                ,            , (188)
Al0.5CoCrCuFeNiTi0.6       , [37]     , FCC + BCC           , (7.2)       , 458  ,              ,              ,                ,            , (186)
Al0.5CoCrCuFeNiTi0.8       , [37]     , FCC + BCC           , (7.1)       , 590  ,              ,              ,                ,            , (184)
Al0.5CoCrCuFeNiTi          , [37]     , FCC + BCC + Im      , (7.0)       , 636  ,              ,              ,                ,            , 
Al0.5CoCrCuFeNiTi1.2       , [37]     , FCC + BCC + Im      , (6.9)       , 646  ,              ,              ,                ,            , 
Al0.5CoCrCuFeNiTi1.4       , [37]     , FCC + BCC + Im      , (6.8)       , 664  ,              ,              ,                ,            , 
Al0.5CoCrCuFeNiTi1.6       , [37]     , FCC + BCC + Im      , (6.7)       , 657  ,              ,              ,                ,            , 
Al0.5CoCrCuFeNiTi1.8       , [37]     , FCC + BCC + Im      , (6.6)       , 667  ,              ,              ,                ,            , 
Al0.5CoCrCuFeNiTi2         , [37]     , FCC + BCC + Im      , (6.5)       , 696  ,              ,              ,                ,            , 
Al0.5CoCrCuFeNiV0.2        , [38]     , FCC                 , (7.6)       , 204  ,              ,              ,                ,            , (191)
Al0.5CoCrCuFeNiV0.4        , [38]     , FCC + BCC           , (7.5)       , 231  ,              ,              ,                ,            , (189)
Al0.5CoCrCuFeNiV0.6        , [38]     , FCC + BCC + Im      , (7.5)       , 328  ,              ,              ,                ,            , 
Al0.5CoCrCuFeNiV0.8        , [38]     , FCC + BCC + Im      , (7.4)       , 447  ,              ,              ,                ,            , 
Al0.5CoCrCuFeNiV1.0        , [38]     , FCC + BCC + Im      , (7.4)       , 639  ,              ,              ,                ,            , 
Al0.5CoCrCuFeNiV1.2        , [38]     , BCC                 , (7.3)       , 579  ,              ,              ,                ,            , (182)
Al0.5CoCrCuFeNiV1.4        , [38]     , BCC                 , (7.3)       , 577  ,              ,              ,                ,            , (180)
Al0.5CoCrCuFeNiV1.6        , [38]     , BCC                 , (7.2)       , 594  ,              ,              ,                ,            , (179)
Al0.5CoCrCuFeNiV1.8        , [38]     , BCC                 , (7.2)       , 597  ,              ,              ,                ,            , (177)
Al0.5CoCrCuFeNiV2.0        , [38]     , BCC                 , (7.2)       , 587  ,              ,              ,                ,            , (176)
Al0.75CoCrCu0.25FeNiTi0.5  , [25]     , FCC + BCC           , (6.8)       ,      , C            ,          1900,            2697, 12         , 164 (189)
AlCoCrCuNiTi               , [42]     , BCC                 , (6.4)       ,      , C            ,              ,            1495, 8          , 36 (167)
AlCoCrCuNiTiY0.5           , [42]     , Im                  , (6.1)       ,      , C            ,              ,            1025, 3          , 36
AlCoCrCuNiTiY0.8           , [42]     , Im                  , (5.9)       ,      , C            ,              ,            1325, 5          , 38
AlCoCrCuNiTiY              , [42]     , Im                  , (5.8)       ,      , C            ,              ,            1192, 4          , 37
AlCoFeNi                   , [4]      , BCC                 , (6.6)       , 456  , C            ,           964,                ,            , (173)
AlCoFeNiTiVZr              , [27]     , BCC                 , (6.2)       , 790  ,              ,              ,                ,            , (143)
CoCuFeNi                   , [43]     , FCC                 , (8.6)       ,      , T            ,              ,             480, 15         , (188)
CoCuFeNiSn0.02             , [43]     , FCC                 , (8.6)       ,      , T            ,              ,             548, 17         , (187)
CoCuFeNiSn0.04             , [43]     , FCC + Im            , (8.6)       ,      , T            ,              ,             594, 18         , 
CoCuFeNiSn0.05             , [43]     , FCC + Im            , (8.6)       ,      , T            ,              ,             615, 20         , 
CoCuFeNiSn0.07             , [43]     , FCC + Im            , (8.6)       ,      , T            ,              ,             632, 19         , 
CoCuFeNiSn0.1              , [43]     , FCC + Im            , (8.6)       ,      , T            ,              ,             602, 5          , 
CoCuFeNiSn0.2              , [43]     , FCC + Im            , (8.5)       ,      , T            ,              ,             261, 2          , 
CoCuFeNiSn0.5              , [43]     , FCC + Im            , (8.3)       ,      ,              ,              ,                ,            , 
AlCoCuFeNi                 , [39]     , FCC + BCC           , (7.0)       , 536  ,              ,              ,                ,            , (164)
AlCoCuFeNbNi               , [39]     , Im                  , (7.4)       , 578  ,              ,              ,                ,            , 
AlCoCuFeNiSi               , [39]     , FCC + BCC           , (5.9)       , 682  ,              ,              ,                ,            , (145)
AlCoCuFeNiTi               , [39]     , FCC + BCC           , (6.5)       , 626  ,              ,              ,                ,            , (156)
AlCoCuFeNiZr               , [39]     , FCC + BCC + Im      , (6.9)       , 472  ,              ,              ,                ,            , 
CoCuFeMnNi                 , [44]     , FCC                 , (8.4)       , 208 T,              ,              ,             478, 14         , (190)
CoCuFeMnNiSn0.03           , [44]     , FCC                 , (8.4)       , 192 T,              ,              ,             465, 18         , 
CoCuFeMnNiSn0.05           , [44]     , FCC + Im            , (8.4)       , 205 T,              ,              ,             475, 12         , 
CoCuFeMnNiSn0.08           , [44]     , FCC + Im            , (8.3)       , 219 T,              ,              ,             425, 7          , 
CoCuFeMnNiSn0.10           , [44]     , FCC + Im            , (8.3)       , 253 T,              ,              ,             470, 6          , 
CoCuFeMnNiSn0.20           , [44]     , FCC + Im            , (8.3)       , 319 T,              ,              ,             368, 2          , 
CrCuFeMnNi                 , [13]     , FCC + BCC           , (8.1)       , 296  ,              ,              ,                ,            , (204)
CrCuFeMoNi                 , [13]     , FCC                 , (8.7)       , 263  ,              ,              ,                ,            , (230)
AlCrCuFeNi0.6              , [45]     , FCC + BCC           , (6.6)       , 496  ,              ,              ,                ,            , (176)
AlCrCuFeNi0.8              , [45]     , FCC + BCC           , (6.7)       , 486  ,              ,              ,                ,            , (177)
AlCrCuFeNi                 , [45]     , FCC + BCC           , (6.8)       , 495  ,              ,              ,                ,            , (178)
AlCrCuFeNi1.2              , [45]     , FCC + BCC           , (6.8)       , 407  ,              ,              ,                ,            , (179)
AlCrCuFeNi1.4              , [45]     , FCC + BCC           , (6.9)       , 367  ,              ,              ,                ,            , (180)
AlCrCuFeNi2                , [46]     , FCC + BCC           , (7.1)       ,      ,              ,              ,                ,            , (182)
AlCrCuFeNiTi               , [47]     , BCC + Im            , (6.3)       ,      , C            ,              ,            1219,            , 
Al0.2CrCuFeNi2             , [46]     , FCC                 , (8.0)       ,      ,              ,              ,                ,            , (199)
Al0.4CrCuFeNi2             , [46]     , FCC                 , (7.8)       ,      ,              ,              ,                ,            , (194)
Al0.6CrCuFeNi2             , [46]     , FCC                 , (7.5)       ,      ,              ,              ,                ,            , (190)
Al0.8CrCuFeNi2             , [46]     , FCC                 , (7.3)       ,      ,              ,              ,                ,            , (186)
Al1.2CrCuFeNi2             , [46]     , FCC + BCC           , (6.9)       ,      ,              ,              ,                ,            , (178)
AlCrCuFeNi                 , [13]     , FCC + BCC           , (6.8)       , 342  ,              ,              ,                ,            , (178)
Al1.125CuFe0.75NiTi1.125   , [48]     , FCC                 , (5.9)       , 516  , C            ,           980,            1326, 7          , 145 (140)
Al22.5Cu20Fe15Ni20Ti22.5   , [48]     , FCC                 , (5.9)       , 516  , C            ,           980,            1326, 7          , 145 (140)
AlCuFeNiTi                 , [48]     , FCC                 , (6.1)       , 516  , C            ,          1074,            1617, 8          , 146 (145)
