Material                                                     , Process                                    , Sub-process                                                                                                     , Power  , Velocity, powder flowrate, layer thickness, beam D, Hatch spacing, depth of meltpool, width of melt pool, length of melt pool, d/w   , l/w   , 2d_over_w, D_t_ratio, HAZ_depth_um, H_W_ratio, IED_J_per_cm2, L_D_ratio, L_W_ratio, P_over_sqrt_V_W_per_sqrt_mm_s, Rosenthal_depth_um, SED_J_per_mm2, Vs_over_Sb_um, W_h_ratio, area_distribution_R2, aspect_ratio_width_to_depth, balling_percentage, build_layer_height_um, build_to_powder_ratio_percent, cavity_depth_no_powder_um, cavity_depth_with_powder_um, conduction_to_keyhole_transition_normalized_enthalpy, depression_zone_depth_um, depression_zone_width_to_depth, depression_zone_width_um, depth_difference_no_powder_um, depth_difference_with_powder_um, depth_per_energy_mm_per_J, depth_std_um, depth_to_half_width_ratio_gt, dimensionless_depth_d_star, dimensionless_enthalpy_H_star, dimensionless_width_w_star, energy_density_J_per_mm3, experimental_mean_width_um, front_wall_tilt_angle_deg, keyhole_instability_onset_normalized_enthalpy, keyholing_porosity_percentage, length_to_depth, location                                       , martensite_block_avg_diameter_um, melt_pool_depth_no_powder_um, melting_mode               , melting_regime, meltpool_boundary_depth_optical_um, meltpool_cross_section_area_um2, meltpool_depth_no_powder_um, meltpool_depth_um, meltpool_depth_with_powder_um, meltpool_width_um, model                 , morphology        , normalized_enthalpy, note                                                                                                                                                                                                                                                                                                                                                                                                                                 , notes                                                                                                                                     , number_of_parameter_combinations, number_of_tracks, numerical_experimental_difference_percent, overlap_ratio_percent, peak_temperature_K, pore_diameter_mean_um, pore_diameter_range_um, pore_diameter_std_um, powder_height_um, power_range_W, pressure_condition         , ratio_Dper_to_Wper, remelting_depth_um_experiment, remelting_depth_um_simulation, solidification_rate_m_per_s, track_length_mm, vapor_depression_Lh_um, vapor_depression_aspect_ratio, vapor_depression_aspect_ratio_D_over_Lh, vaporization_ratio_eta, velocity_range_mm_per_s, width_per_energy_mm_per_J, width_std_um, width_to_depth, width_to_depth_ratio, width_uncertainty_um, E (J/mm) , E (J/mm3), density , Cp    , k     , melting T, minimum absorptivity, Y (wt%), Zn (wt%), Mg (wt%), Si (wt%), Al (wt%), Sn (wt%), Zr (wt%), W (wt%), Ti (wt%) , V (wt%), Co (wt%), Cu (wt%), Ta (wt%), Nb (wt%), Ni (wt.%), Cr (wt.%), Fe (wt.%), Mn (wt%), Mo (wt.%), paper ID             , paper                                                                                                                                                                                  , dois
AlSi10Mg                                                     , Laser Powder Bed Fusion                    , Single-track laser scan on powder bed with in-situ high-speed x-ray imaging                                     ,  260   ,  600    ,                ,           0.1  , 0.1   ,              ,                  ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                       30,                           0.9 ,                       30,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                        24,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.433  ,          , 2210    , 1098  ,       ,     828  ,                 0.07,        ,    0.007,    0.309,    9.908, Balance ,         ,    0.002,        , 0.009    ,   0.011,         ,    0.002,         ,         , 0.006    , 0.001    , 0.138    ,    0.041,          , 12                   , In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process                       , https://doi.org/10.1016/j.addma.2019.04.021
AlSi10Mg                                                     , Laser Powder Bed Fusion                    , Single-track laser scan on powder bed with in-situ high-speed x-ray imaging                                     ,  312   ,  600    ,                ,           0.1  , 0.1   ,              ,                  ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                      100,                           1.1 ,                      110,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                        20,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.52   ,          , 2210    , 1098  ,       ,     828  ,                 0.07,        ,    0.007,    0.309,    9.908, Balance ,         ,    0.002,        , 0.009    ,   0.011,         ,    0.002,         ,         , 0.006    , 0.001    , 0.138    ,    0.041,          , 12                   , In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process                       , https://doi.org/10.1016/j.addma.2019.04.021
AlSi10Mg                                                     , Laser Powder Bed Fusion                    , Single-track laser scan on powder bed with in-situ high-speed x-ray imaging                                     ,  364   ,  600    ,                ,           0.1  , 0.1   ,              ,                  ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                      190,                           0.39,                       75,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                        14,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.607  ,          , 2210    , 1098  ,       ,     828  ,                 0.07,        ,    0.007,    0.309,    9.908, Balance ,         ,    0.002,        , 0.009    ,   0.011,         ,    0.002,         ,         , 0.006    , 0.001    , 0.138    ,    0.041,          , 12                   , In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process                       , https://doi.org/10.1016/j.addma.2019.04.021
AlSi10Mg                                                     , Laser Powder Bed Fusion                    , Single-track laser scan on powder bed with in-situ high-speed x-ray imaging                                     ,  416   ,  600    ,                ,           0.1  , 0.1   ,              ,                  ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                      270,                           0.28,                       75,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                        13,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.693  ,          , 2210    , 1098  ,       ,     828  ,                 0.07,        ,    0.007,    0.309,    9.908, Balance ,         ,    0.002,        , 0.009    ,   0.011,         ,    0.002,         ,         , 0.006    , 0.001    , 0.138    ,    0.041,          , 12                   , In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process                       , https://doi.org/10.1016/j.addma.2019.04.021
AlSi10Mg                                                     , Laser Powder Bed Fusion                    , Single-track laser scan on powder bed with in-situ high-speed x-ray imaging                                     ,  416   ,  400    ,                ,           0.1  , 0.1   ,              ,                  ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                      400,                           0.2 ,                       80,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                         6,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   1.04   ,          , 2210    , 1098  ,       ,     828  ,                 0.07,        ,    0.007,    0.309,    9.908, Balance ,         ,    0.002,        , 0.009    ,   0.011,         ,    0.002,         ,         , 0.006    , 0.001    , 0.138    ,    0.041,          , 12                   , In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process                       , https://doi.org/10.1016/j.addma.2019.04.021
AlSi10Mg                                                     , Laser Powder Bed Fusion                    , Single-track laser scan on powder bed with in-situ high-speed x-ray imaging                                     ,  416   ,  800    ,                ,           0.1  , 0.1   ,              ,                  ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                      120,                           1.25,                      155,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                        20,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.52   ,          , 2210    , 1098  ,       ,     828  ,                 0.07,        ,    0.007,    0.309,    9.908, Balance ,         ,    0.002,        , 0.009    ,   0.011,         ,    0.002,         ,         , 0.006    , 0.001    , 0.138    ,    0.041,          , 12                   , In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process                       , https://doi.org/10.1016/j.addma.2019.04.021
AlSi10Mg                                                     , Laser Powder Bed Fusion                    , Single-track laser scan on powder bed with in-situ high-speed x-ray imaging                                     ,  416   , 1200    ,                ,           0.1  , 0.1   ,              ,                  ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                       40,                           7.0 ,                      275,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                        33,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.347  ,          , 2210    , 1098  ,       ,     828  ,                 0.07,        ,    0.007,    0.309,    9.908, Balance ,         ,    0.002,        , 0.009    ,   0.011,         ,    0.002,         ,         , 0.006    , 0.001    , 0.138    ,    0.041,          , 12                   , In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process                       , https://doi.org/10.1016/j.addma.2019.04.021
AlSi10Mg                                                     , Laser Powder Bed Fusion                    , Single-track laser scan on powder bed with in-situ high-speed x-ray imaging                                     ,  416   , 1600    ,                ,           0.1  , 0.1   ,              ,                  ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                       40,                           5.0 ,                      210,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                        37,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.26   ,          , 2210    , 1098  ,       ,     828  ,                 0.07,        ,    0.007,    0.309,    9.908, Balance ,         ,    0.002,        , 0.009    ,   0.011,         ,    0.002,         ,         , 0.006    , 0.001    , 0.138    ,    0.041,          , 12                   , In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process                       , https://doi.org/10.1016/j.addma.2019.04.021
Ti-6Al-4V                                                    , Electron Beam Additive Manufacturing (EBAM), Powder Bed Electron Beam Melting (Simulation Study - FE Thermal Modeling)                                       ,  300   ,  700    ,                ,           0.1  , 0.6   ,              ,                  ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    , "Melt pool dimensions vary; length 40-1750 um, width 26-870 um, depth 2.5-326 um across all 64 simulations"                                                                                                                                                                                                                                                                                                                          ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.4286 ,          ,         ,       ,       ,          ,                 0.9 ,        ,         ,         ,         , 6.0     ,         ,         ,        , 90.0     ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , 13                   , Melt Pool Geometry Simulations for Powder-Based Electron Beam Additive Manufacturing                                                                                                   , 
Ti-6Al-4V                                                    , Electron Beam Additive Manufacturing (EBAM), Powder Bed Electron Beam Melting (Simulation Study - FE Thermal Modeling)                                       ,  240   ,  400    ,                ,           0.1  , 0.8   ,              ,                  ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.6    ,          ,         ,       ,       ,          ,                 0.9 ,        ,         ,         ,         , 6.0     ,         ,         ,        , 90.0     ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , 13                   , Melt Pool Geometry Simulations for Powder-Based Electron Beam Additive Manufacturing                                                                                                   , 
Ti-6Al-4V                                                    , Electron Beam Additive Manufacturing (EBAM), Powder Bed Electron Beam Melting (Simulation Study - FE Thermal Modeling)                                       ,  360   , 1000    ,                ,           0.1  , 1.0   ,              ,                  ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.36   ,          ,         ,       ,       ,          ,                 0.9 ,        ,         ,         ,         , 6.0     ,         ,         ,        , 90.0     ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , 13                   , Melt Pool Geometry Simulations for Powder-Based Electron Beam Additive Manufacturing                                                                                                   , 
Ti-6Al-4V                                                    , Electron Beam Additive Manufacturing (EBAM), Powder Bed Electron Beam Melting (Simulation Study - FE Thermal Modeling)                                       ,  120   ,  100    ,                ,           0.1  , 0.4   ,              ,                  ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   1.2    ,          ,         ,       ,       ,          ,                 0.9 ,        ,         ,         ,         , 6.0     ,         ,         ,        , 90.0     ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , 13                   , Melt Pool Geometry Simulations for Powder-Based Electron Beam Additive Manufacturing                                                                                                   , 
Ti-6Al-4V                                                    , Electron Beam Additive Manufacturing (EBAM), Powder Bed Electron Beam Melting (Simulation Study - FE Thermal Modeling)                                       ,  360   , 1000    ,                ,           0.1  , 1.0   ,              ,                  ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.36   ,          ,         ,       ,       ,          ,                 0.9 ,        ,         ,         ,         , 6.0     ,         ,         ,        , 90.0     ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , 13                   , Melt Pool Geometry Simulations for Powder-Based Electron Beam Additive Manufacturing                                                                                                   , 
Ti-6Al-4V                                                    , Electron Beam Additive Manufacturing (EBAM), Powder Bed Electron Beam Melting (Simulation Study - FE Thermal Modeling)                                       ,  360   ,  100    ,                ,           0.1  , 0.4   ,              ,            326.0 ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    , Approximate maximum depth observed across all 64 DOE simulation cases                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   3.6    ,          ,         ,       ,       ,          ,                 0.9 ,        ,         ,         ,         , 6.0     ,         ,         ,        , 90.0     ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , 13                   , Melt Pool Geometry Simulations for Powder-Based Electron Beam Additive Manufacturing                                                                                                   , 
