"Folder", "Composition (atomic)"                                                     , "Type of phases"                                             , "ρ (g/cm³)", "HV"    , "Type of tests", "σY (MPa)", "σmax (MPa)", "ε (%)", "E (GPa)"
"5"     , "FeNiMn"                                                                   , "FCC"                                                        , ""         , ""      , "T"            , "270"     , "660"       , "38"   , ""
"5"     , "FeNiMn"                                                                   , "FCC"                                                        , ""         , ""      , "T"            , "225"     , "590"       , "35"   , ""
"5"     , "FeNiMn"                                                                   , "FCC"                                                        , ""         , ""      , "T"            , "190"     , "500"       , "28"   , ""
"5"     , "FeNiMn"                                                                   , "FCC"                                                        , ""         , ""      , "T"            , "165"     , "430"       , "25"   , ""
"5"     , "NiCoMn"                                                                   , "FCC"                                                        , ""         , ""      , "T"            , "370"     , "870"       , "45"   , ""
"5"     , "NiCoMn"                                                                   , "FCC"                                                        , ""         , ""      , "T"            , "280"     , "710"       , "40"   , ""
"5"     , "NiCoMn"                                                                   , "FCC"                                                        , ""         , ""      , "T"            , "230"     , "620"       , "38"   , ""
"5"     , "NiCoMn"                                                                   , "FCC"                                                        , ""         , ""      , "T"            , "190"     , "530"       , "30"   , ""
"5"     , "NiCoMn"                                                                   , "FCC"                                                        , ""         , ""      , "T"            , "165"     , "460"       , "27"   , ""
"5"     , "FeNiCoMn"                                                                 , "FCC"                                                        , ""         , ""      , "T"            , "300"     , "820"       , "52"   , ""
"5"     , "FeNiCoMn"                                                                 , "FCC"                                                        , ""         , ""      , "T"            , "230"     , "670"       , "45"   , ""
"5"     , "FeNiCoMn"                                                                 , "FCC"                                                        , ""         , ""      , "T"            , "195"     , "580"       , "40"   , ""
"5"     , "FeNiCoMn"                                                                 , "FCC"                                                        , ""         , ""      , "T"            , "160"     , "480"       , "32"   , ""
"5"     , "FeNiCoMn"                                                                 , "FCC"                                                        , ""         , ""      , "T"            , "135"     , "400"       , "27"   , ""
"5"     , "NiCoCrMn"                                                                 , "FCC"                                                        , ""         , ""      , "T"            , "510"     , "1120"      , "50"   , ""
"5"     , "NiCoCrMn"                                                                 , "FCC"                                                        , ""         , ""      , "T"            , "380"     , "930"       , "48"   , ""
"5"     , "NiCoCrMn"                                                                 , "FCC"                                                        , ""         , ""      , "T"            , "305"     , "800"       , "42"   , ""
"5"     , "NiCoCrMn"                                                                 , "FCC"                                                        , ""         , ""      , "T"            , "230"     , "620"       , "38"   , ""
"5"     , "NiCoCrMn"                                                                 , "FCC"                                                        , ""         , ""      , "T"            , "195"     , "530"       , "35"   , ""
"5"     , "FeNiCoCrMn"                                                               , "FCC"                                                        , ""         , ""      , "T"            , "410"     , ""          , ""     , ""
"5"     , "FeNiCoCrMn"                                                               , "FCC"                                                        , ""         , ""      , "T"            , "330"     , ""          , ""     , ""
"5"     , "FeNiCoCrMn"                                                               , "FCC"                                                        , ""         , ""      , "T"            , "260"     , ""          , ""     , ""
"5"     , "FeNiCoCrMn"                                                               , "FCC"                                                        , ""         , ""      , "T"            , "200"     , ""          , ""     , ""
"5"     , "FeNiCoCrMn"                                                               , "FCC"                                                        , ""         , ""      , "T"            , "160"     , ""          , ""     , ""
"6"     , "CoCrFeNi"                                                                 , "FCC"                                                        , ""         , ""      , "T"            , "147"     , "413"       , "48.0" , ""
"6"     , "CoCrFeNiNb0.103"                                                          , "FCC + Laves"                                                , ""         , ""      , "T"            , "317"     , "622"       , "19.2" , ""
"6"     , "CoCrFeNiNb0.155"                                                          , "FCC + Laves"                                                , ""         , ""      , "T"            , "321"     , "744"       , "23.3" , ""
"6"     , "CoCrFeNiNb0.206"                                                          , "FCC + Laves"                                                , ""         , ""      , "T"            , "402"     , "807"       , "8.6"  , ""
"6"     , "CoCrFeNiNb0.309"                                                          , "FCC + Laves"                                                , ""         , ""      , "T"            , "478"     , "879"       , "3.5"  , ""
"6"     , "CoCrFeNiNb0.412"                                                          , "FCC + Laves"                                                , ""         , ""      , "T"            , "637"     , "1004"      , "1.3"  , ""
"7"     , "CoCrFeNi"                                                                 , "FCC"                                                        , ""         , "116.0" , ""             , ""        , ""          , ""     , ""
"7"     , "Al0.25CoCrFeNi"                                                           , "FCC"                                                        , ""         , "110.0" , ""             , ""        , ""          , ""     , ""
"7"     , "Al0.375CoCrFeNi"                                                          , "FCC"                                                        , ""         , "130.8" , ""             , ""        , ""          , ""     , ""
"7"     , "Al0.5CoCrFeNi"                                                            , "FCC + BCC"                                                  , ""         , "159.0" , ""             , ""        , ""          , ""     , ""
"7"     , "Al0.75CoCrFeNi"                                                           , "FCC + BCC"                                                  , ""         , "388.0" , ""             , ""        , ""          , ""     , ""
"7"     , "Al0.875CoCrFeNi"                                                          , "BCC"                                                        , ""         , "538.0" , ""             , ""        , ""          , ""     , ""
"7"     , "AlCoCrFeNi"                                                               , "BCC"                                                        , ""         , "484.0" , ""             , ""        , ""          , ""     , ""
"7"     , "Al1.25CoCrFeNi"                                                           , "BCC"                                                        , ""         , "487.0" , ""             , ""        , ""          , ""     , ""
"7"     , "Al1.5CoCrFeNi"                                                            , "BCC"                                                        , ""         , "484.0" , ""             , ""        , ""          , ""     , ""
"7"     , "Al2CoCrFeNi"                                                              , "BCC"                                                        , ""         , "509.0" , ""             , ""        , ""          , ""     , ""
"7"     , "CoCrFeNi"                                                                 , "FCC"                                                        , ""         , "113.0" , ""             , ""        , ""          , ""     , ""
"7"     , "Al0.25CoCrFeNi"                                                           , "FCC"                                                        , ""         , "113.0" , ""             , ""        , ""          , ""     , ""
"7"     , "Al0.375CoCrFeNi"                                                          , "FCC + BCC"                                                  , ""         , "196.0" , ""             , ""        , ""          , ""     , ""
"7"     , "Al0.5CoCrFeNi"                                                            , "FCC + BCC"                                                  , ""         , "209.0" , ""             , ""        , ""          , ""     , ""
"7"     , "Al0.75CoCrFeNi"                                                           , "FCC + BCC"                                                  , ""         , "280.0" , ""             , ""        , ""          , ""     , ""
"7"     , "Al0.875CoCrFeNi"                                                          , "FCC + BCC"                                                  , ""         , "361.0" , ""             , ""        , ""          , ""     , ""
"7"     , "AlCoCrFeNi"                                                               , "FCC + BCC"                                                  , ""         , "433.0" , ""             , ""        , ""          , ""     , ""
"7"     , "Al1.25CoCrFeNi"                                                           , "BCC + ordered BCC"                                          , ""         , "499.0" , ""             , ""        , ""          , ""     , ""
"7"     , "Al1.5CoCrFeNi"                                                            , "BCC + ordered BCC"                                          , ""         , "517.3" , ""             , ""        , ""          , ""     , ""
"7"     , "Al2CoCrFeNi"                                                              , "BCC + ordered BCC"                                          , ""         , "512.4" , ""             , ""        , ""          , ""     , ""
"7"     , "CoCrFeNi"                                                                 , "FCC"                                                        , ""         , "325.0" , ""             , ""        , ""          , ""     , ""
"7"     , "Al0.25CoCrFeNi"                                                           , "FCC"                                                        , ""         , "346.0" , ""             , ""        , ""          , ""     , ""
"7"     , "Al0.375CoCrFeNi"                                                          , "FCC + BCC"                                                  , ""         , "360.0" , ""             , ""        , ""          , ""     , ""
"7"     , "Al0.5CoCrFeNi"                                                            , "FCC + BCC"                                                  , ""         , "368.0" , ""             , ""        , ""          , ""     , ""
"7"     , "Al0.75CoCrFeNi"                                                           , "FCC + BCC"                                                  , ""         , "434.0" , ""             , ""        , ""          , ""     , ""
"7"     , "Al0.875CoCrFeNi"                                                          , "FCC + BCC"                                                  , ""         , "497.0" , ""             , ""        , ""          , ""     , ""
"8"     , "CoCrFeMo0.5Ni"                                                            , "FCC + sigma"                                                , ""         , "220"   , ""             , ""        , ""          , ""     , ""
"8"     , "Al0.5CoCrFeMo0.5Ni"                                                       , "FCC + sigma"                                                , ""         , "440"   , ""             , ""        , ""          , ""     , ""
"8"     , "AlCoCrFeMo0.5Ni"                                                          , "B2 + sigma"                                                 , ""         , "720"   , ""             , ""        , ""          , ""     , ""
"8"     , "Al1.5CoCrFeMo0.5Ni"                                                       , "B2 + sigma"                                                 , ""         , "665"   , ""             , ""        , ""          , ""     , ""
"8"     , "Al2CoCrFeMo0.5Ni"                                                         , "BCC1 (B2) + BCC2"                                           , ""         , "615"   , ""             , ""        , ""          , ""     , ""
"9"     , "CoCrFeNiTi"                                                               , "FCC"                                                        , ""         , ""      , "C"            , ""        , "2020"      , "9.0"  , "134.6"
"9"     , "CoCrFeNiTiAl0.5"                                                          , "BCC1 + BCC2 + Laves"                                        , ""         , ""      , "C"            , ""        , "1600"      , "9.9"  , "106.8"
"9"     , "CoCrFeNiTiAl"                                                             , "BCC1 + BCC2 + Laves"                                        , ""         , ""      , "C"            , ""        , "2280"      , "6.4"  , "147.6"
"9"     , "CoCrFeNiTiAl1.5"                                                          , "BCC1 + BCC2"                                                , ""         , ""      , "C"            , ""        , "2110"      , "9.8"  , "133.4"
"9"     , "CoCrFeNiTiAl2"                                                            , "BCC1 + BCC2"                                                , ""         , ""      , "C"            , ""        , "1030"      , "5.2"  , "93.5"
"10"    , "Co1.5CrFeNi1.5Ti0.5"                                                      , "FCC + eta-(Ni;Co)3Ti (HCP; D024)"                           , ""         , "509"   , ""             , ""        , ""          , ""     , ""
"10"    , "Al0.2Co1.5CrFeNi1.5Ti0.5"                                                 , "FCC"                                                        , ""         , "487"   , ""             , ""        , ""          , ""     , ""
"10"    , "Co1.5CrFeNi1.5Ti"                                                         , "FCC + eta-(Ni;Co)3Ti (HCP; D024)"                           , ""         , "654"   , ""             , ""        , ""          , ""     , ""
"10"    , "Al0.2Co1.5CrFeNi1.5Ti"                                                    , "FCC + eta-(Ni;Co)3Ti (HCP; D024)"                           , ""         , "717"   , ""             , ""        , ""          , ""     , ""
"11"    , "FeNiCrCo0.3Al0.7"                                                         , "BCC (A2) + BCC (B2) + FCC"                                  , ""         , "624"   , "C"            , "2033"    , "2635"      , "8.12" , ""
"11"    , "FeNiCrCoAl"                                                               , "BCC + FCC"                                                  , ""         , ""      , "C"            , "1251"    , "2004"      , "32.7" , ""
"11"    , "FeNiCrCoAl0.25"                                                           , "FCC"                                                        , ""         , "110"   , ""             , ""        , ""          , ""     , ""
"11"    , "FeNiCrCoAl0.5"                                                            , "BCC + FCC"                                                  , ""         , "159"   , ""             , ""        , ""          , ""     , ""
"11"    , "FeNiCrCoAl0.75"                                                           , "BCC + FCC"                                                  , ""         , "388"   , ""             , ""        , ""          , ""     , ""
"11"    , "FeNiCrCoAl0.875"                                                          , "BCC"                                                        , ""         , "538"   , ""             , ""        , ""          , ""     , ""
"11"    , "FeNiCrCoAl"                                                               , "BCC"                                                        , ""         , "484"   , ""             , ""        , ""          , ""     , ""
"11"    , "FeNiCrCoAl2"                                                              , "BCC"                                                        , ""         , "509"   , ""             , ""        , ""          , ""     , ""
"13"    , "FeNiCrCuCo"                                                               , "FCC"                                                        , ""         , "286"   , ""             , ""        , ""          , ""     , ""
"13"    , "FeNiCrCuMo"                                                               , "FCC"                                                        , ""         , "263"   , ""             , ""        , ""          , ""     , ""
"13"    , "FeNiCrCuAl"                                                               , "FCC + BCC"                                                  , ""         , "342"   , ""             , ""        , ""          , ""     , ""
"13"    , "FeNiCrCuMn"                                                               , "FCC + BCC"                                                  , ""         , "296"   , ""             , ""        , ""          , ""     , ""
"13"    , "FeNiCrCoAl"                                                               , "BCC"                                                        , ""         , "395"   , ""             , ""        , ""          , ""     , ""
"13"    , "FeNiCrCoAl1.5"                                                            , "BCC"                                                        , ""         , "402"   , ""             , ""        , ""          , ""     , ""
"13"    , "FeNiCrCoAl2"                                                              , "BCC"                                                        , ""         , "432"   , ""             , ""        , ""          , ""     , ""
"13"    , "FeNiCrCoAl2.5"                                                            , "BCC"                                                        , ""         , "487"   , ""             , ""        , ""          , ""     , ""
"13"    , "FeNiCrCoAl3"                                                              , "BCC"                                                        , ""         , "506"   , ""             , ""        , ""          , ""     , ""
"13"    , "FeNiCrCuZr"                                                               , "BCC + compounds"                                            , ""         , "566"   , ""             , ""        , ""          , ""     , ""
"14"    , "AlCrFeCoNi"                                                               , "BCC"                                                        , ""         , ""      , "C"            , "1250.96" , "2004.23"   , "32.7" , ""
"14"    , "CrFeCoNiCuTi"                                                             , ""                                                           , ""         , ""      , "C"            , "1272"    , "1272"      , "1.6"  , ""
"14"    , "AlCrMnFeCoNiCuTiV"                                                        , ""                                                           , ""         , ""      , "C"            , "1862"    , "2431"      , "0.95" , ""
"14"    , "CrFeCoNiCuTi0.5"                                                          , ""                                                           , ""         , ""      , "C"            , "700"     , "1650"      , "21.26", ""
"15"    , "AlCoCrFeNi"                                                               , "BCC"                                                        , ""         , ""      , "C"            , "1051"    , ""          , ""     , ""
"15"    , "AlCoCrFeNiMo0.1"                                                          , "BCC"                                                        , ""         , ""      , "C"            , "1804"    , "2280"      , "9.1"  , ""
"15"    , "AlCoCrFeNiMo0.2"                                                          , "BCC + sigma"                                                , ""         , ""      , "C"            , "2456"    , "2953"      , "3.4"  , ""
"15"    , "AlCoCrFeNiMo0.3"                                                          , "BCC + sigma"                                                , ""         , ""      , "C"            , "2649"    , "3208"      , "3.3"  , ""
"15"    , "AlCoCrFeNiMo0.4"                                                          , "BCC + sigma"                                                , ""         , ""      , "C"            , "2670"    , "3161"      , "3.0"  , ""
"15"    , "AlCoCrFeNiMo0.5"                                                          , "BCC + sigma"                                                , ""         , ""      , "C"            , "2757"    , "3036"      , "2.5"  , ""
"16"    , "AlCoCrFeNi"                                                               , "BCC"                                                        , ""         , ""      , "C"            , "1110"    , ""          , ""     , ""
"16"    , "AlCoCrFeNiSi0.2"                                                          , "BCC"                                                        , ""         , ""      , "C"            , "1265"    , "2173"      , "13.76", ""
"16"    , "AlCoCrFeNiSi0.4"                                                          , "BCC"                                                        , ""         , ""      , "C"            , "1481"    , "2444"      , "13.38", ""
"16"    , "AlCoCrFeNiSi0.6"                                                          , "BCC"                                                        , ""         , ""      , "C"            , "1834"    , "2195"      , "2.56" , ""
"16"    , "AlCoCrFeNiSi0.8"                                                          , "BCC + delta"                                                , ""         , ""      , "C"            , "2179"    , "2664"      , "1.77" , ""
"16"    , "AlCoCrFeNiSi1.0"                                                          , "BCC + delta"                                                , ""         , ""      , "C"            , "2411"    , "2950"      , "1.17" , ""
"17"    , "AlCoCrFeNi"                                                               , "BCC"                                                        , ""         , ""      , "C"            , "1138"    , ""          , ""     , "125.1"
"17"    , "AlCoCrFeNiC0.1"                                                           , "BCC + carbide (epsilon phase)"                              , ""         , ""      , "C"            , "957"     , "2550"      , "10.52", "213.2"
"17"    , "AlCoCrFeNiC0.2"                                                           , "BCC + carbide (epsilon phase)"                              , ""         , ""      , "C"            , "906"     , "2386"      , "8.68" , "150.9"
"17"    , "AlCoCrFeNiC0.3"                                                           , "BCC + carbide (epsilon phase)"                              , ""         , ""      , "C"            , "867"     , "2178"      , "7.82" , "137.2"
"17"    , "AlCoCrFeNiC0.4"                                                           , "BCC + carbide (epsilon phase)"                              , ""         , ""      , "C"            , "1056"    , "2375"      , "6.67" , "156.1"
"17"    , "AlCoCrFeNiC0.5"                                                           , "BCC + carbide (epsilon phase)"                              , ""         , ""      , "C"            , "1060"    , "2250"      , "5.6"  , "180.8"
"17"    , "AlCoCrFeNiC1.0"                                                           , "BCC + carbide (epsilon phase) + graphite"                   , ""         , ""      , "C"            , "1251"    , "2166"      , "7.04" , "75.1"
"17"    , "AlCoCrFeNiC1.5"                                                           , "BCC + carbide (epsilon phase) + graphite"                   , ""         , ""      , "C"            , "1255"    , "2083"      , "5.54" , "72.5"
"19"    , "AlCoCrFeNi"                                                               , "BCC"                                                        , ""         , ""      , "C"            , "1051"    , ""          , ""     , ""
"19"    , "AlCoCrFeNiMo0.1"                                                          , "BCC"                                                        , ""         , ""      , "C"            , "1804"    , "2280"      , "9.1"  , ""
"19"    , "AlCoCrFeNiMo0.2"                                                          , "BCC + sigma"                                                , ""         , ""      , "C"            , "2456"    , "2953"      , "3.4"  , ""
"19"    , "AlCoCrFeNiMo0.3"                                                          , "BCC + sigma"                                                , ""         , ""      , "C"            , "2649"    , "3208"      , "3.3"  , ""
"19"    , "AlCoCrFeNiMo0.4"                                                          , "BCC + sigma"                                                , ""         , ""      , "C"            , "2670"    , "3161"      , "3.0"  , ""
"19"    , "AlCoCrFeNiMo0.5"                                                          , "BCC + sigma"                                                , ""         , ""      , "C"            , "2757"    , "3036"      , "2.5"  , ""
"20"    , "AlCoCrFeNi"                                                               , "BCC"                                                        , ""         , "520"   , "C"            , "1373"    , "3531"      , "24.5" , ""
"20"    , "AlCoCrFeNb0.1Ni"                                                          , "BCC"                                                        , ""         , "569"   , "C"            , "1641"    , "3285"      , "17.2" , ""
"20"    , "AlCoCrFeNb0.25Ni"                                                         , "BCC + Laves"                                                , ""         , "668"   , "C"            , "1959"    , "3008"      , "10.5" , ""
"20"    , "AlCoCrFeNb0.5Ni"                                                          , "BCC + Laves"                                                , ""         , "747"   , "C"            , "2473"    , "3170"      , "4.1"  , ""
"20"    , "AlCoCrFeNb0.75Ni"                                                         , "Laves + BCC"                                                , ""         , ""      , "C"            , ""        , ""          , ""     , ""
"21"    , "AlCo0.5CrFeMo0.5Ni"                                                       , "BCC + sigma"                                                , ""         , "788"   , ""             , ""        , ""          , ""     , ""
"21"    , "AlCo1.0CrFeMo0.5Ni"                                                       , "BCC + sigma"                                                , ""         , "770"   , ""             , ""        , ""          , ""     , ""
"21"    , "AlCo1.5CrFeMo0.5Ni"                                                       , "BCC + sigma"                                                , ""         , "711"   , ""             , ""        , ""          , ""     , ""
"21"    , "AlCo2.0CrFeMo0.5Ni"                                                       , "BCC + FCC + sigma"                                          , ""         , "596"   , ""             , ""        , ""          , ""     , ""
"22"    , "AlCoCrFe0.6Mo0.5Ni"                                                       , "BCC + sigma"                                                , ""         , "755"   , ""             , ""        , ""          , ""     , ""
"22"    , "AlCoCrFe1.0Mo0.5Ni"                                                       , "BCC + sigma"                                                , ""         , "730"   , ""             , ""        , ""          , ""     , ""
"22"    , "AlCoCrFe1.5Mo0.5Ni"                                                       , "BCC + sigma"                                                , ""         , "640"   , ""             , ""        , ""          , ""     , ""
"22"    , "AlCoCrFe2.0Mo0.5Ni"                                                       , "BCC + sigma"                                                , ""         , "640"   , ""             , ""        , ""          , ""     , ""
"23"    , "AlCoCrFeMo0.5"                                                            , "B2 + sigma"                                                 , ""         , "904"   , ""             , ""        , ""          , ""     , ""
"23"    , "AlCoCrFeMo0.5Ni0.5"                                                       , "B2 + sigma"                                                 , ""         , "770"   , ""             , ""        , ""          , ""     , ""
"23"    , "AlCoCrFeMo0.5Ni"                                                          , "B2 + sigma"                                                 , ""         , "770"   , ""             , ""        , ""          , ""     , ""
"23"    , "AlCoCrFeMo0.5Ni1.5"                                                       , "B2 + FCC + sigma"                                           , ""         , "627"   , ""             , ""        , ""          , ""     , ""
"23"    , "AlCoCrFeMo0.5Ni2"                                                         , "B2 + FCC + sigma"                                           , ""         , "404"   , ""             , ""        , ""          , ""     , ""
"24"    , "AlCoCrFeNi"                                                               , "BCC"                                                        , ""         , ""      , "C"            , "1110"    , ""          , ""     , ""
"24"    , "AlCoCrFeNiSi0.2"                                                          , "BCC"                                                        , ""         , ""      , "C"            , "1265"    , "2173"      , "13.76", ""
"24"    , "AlCoCrFeNiSi0.4"                                                          , "BCC"                                                        , ""         , ""      , "C"            , "1481"    , "2444"      , "13.38", ""
"24"    , "AlCoCrFeNiSi0.6"                                                          , "BCC"                                                        , ""         , ""      , "C"            , "1834"    , "2195"      , "2.56" , ""
"24"    , "AlCoCrFeNiSi0.8"                                                          , "BCC + delta"                                                , ""         , ""      , "C"            , "2179"    , "2664"      , "1.77" , ""
"24"    , "AlCoCrFeNiSi1.0"                                                          , "BCC + delta"                                                , ""         , ""      , "C"            , "2411"    , "2950"      , "1.17" , ""
"25"    , "Ti0.5CrFeCoNiCu"                                                          , "FCC"                                                        , ""         , ""      , "C"            , "700"     , "1650"      , "28.7" , "92.73"
"25"    , "Ti0.5CrFeCoNiAl0.25Cu0.75"                                                , "FCC"                                                        , ""         , ""      , "C"            , "750"     , "1970"      , "38.5" , "102.85"
"25"    , "Ti0.5CrFeCoNiAl0.5Cu0.5"                                                  , "FCC + BCC"                                                  , ""         , ""      , "C"            , "1580"    , "2389"      , "17.4" , "160.54"
"25"    , "Ti0.5CrFeCoNiAl0.75Cu0.25"                                                , "BCC1 + BCC2"                                                , ""         , ""      , "C"            , "1900"    , "2697"      , "12.0" , "164.14"
"25"    , "Ti0.5CrFeCoNiAl"                                                          , "BCC"                                                        , ""         , ""      , "C"            , "2040"    , "3135"      , "24.2" , "72.68"
"26"    , "AlCoCrFeNi"                                                               , "BCC solid solution"                                         , ""         , ""      , "C"            , "1500"    , "2830"      , "26.9" , "127.0"
"26"    , "AlCoCrFeNiTi0.5"                                                          , "BCC solid solution"                                         , ""         , ""      , "C"            , "2260"    , "3140"      , "23.3" , "177.7"
"26"    , "AlCoCrFeNiTi"                                                             , "BCC solid solution"                                         , ""         , ""      , "C"            , "1860"    , "2580"      , "8.8"  , "90.1"
"26"    , "AlCoCrFeNiTi1.5"                                                          , "BCC + Laves"                                                , ""         , ""      , "C"            , "2220"    , "2720"      , "5.3"  , "159.8"
"26"    , "Mg81Cu9.3Y4.7Zn5"                                                         , "BMG + in situ LOS"                                          , ""         , ""      , "C"            , "550"     , "1160"      , "18.5" , "19.2"
"26"    , "Ti60Cu14Ni12Sn4Nb10"                                                      , "Nanostructure + in situ BCC dendrite"                       , ""         , ""      , "C"            , "1310"    , "2400"      , "14.5" , "66.1"
"26"    , "Zr56.2Ti13.8Nb5Cu6.9Ni5.6Be12.5"                                          , "BMG + in situ BCC dendrite"                                 , ""         , ""      , "C"            , "1300"    , "1700"      , "6.8"  , "110.0"
"26"    , "Cu48Zr48Al4"                                                              , "BMG + CuZr phase"                                           , ""         , ""      , "C"            , "1200"    , "1880"      , "5.3"  , "102.8"
"26"    , "Ti40Zr25Ni3Cu12Be20"                                                      , "BMG"                                                        , ""         , ""      , "C"            , "1680"    , "1780"      , "3.2"  , "90.0"
"26"    , "Zr41.2Ti13.8Cu12.5Ni10Be22.5"                                             , "BMG"                                                        , ""         , ""      , "C"            , "1640"    , "1760"      , "0.3"  , "96.3"
"26"    , "Co43Fe20Ta5.5B31.5"                                                       , "BMG"                                                        , ""         , ""      , "C"            , "5190"    , "5190"      , ""     , "268.0"
"27"    , "CuTiVFeNiZr"                                                              , "BCC + amorphous"                                            , ""         , "590"   , ""             , ""        , ""          , ""     , ""
"27"    , "AlTiVFeNiZr"                                                              , "BCC + amorphous"                                            , ""         , "800"   , ""             , ""        , ""          , ""     , ""
"27"    , "MoTiVFeNiZr"                                                              , "BCC + amorphous"                                            , ""         , "740"   , ""             , ""        , ""          , ""     , ""
"27"    , "CuTiVFeNiZrCo"                                                            , "BCC + amorphous"                                            , ""         , "630"   , ""             , ""        , ""          , ""     , ""
"27"    , "AlTiVFeNiZrCo"                                                            , "BCC + amorphous"                                            , ""         , "790"   , ""             , ""        , ""          , ""     , ""
"27"    , "MoTiVFeNiZrCo"                                                            , "BCC + amorphous"                                            , ""         , "790"   , ""             , ""        , ""          , ""     , ""
"27"    , "CuTiVFeNiZrCoCr"                                                          , "BCC + amorphous"                                            , ""         , "680"   , ""             , ""        , ""          , ""     , ""
"27"    , "AlTiVFeNiZrCoCr"                                                          , "BCC + amorphous"                                            , ""         , "780"   , ""             , ""        , ""          , ""     , ""
"27"    , "MoTiVFeNiZrCoCr"                                                          , "BCC + amorphous"                                            , ""         , "850"   , ""             , ""        , ""          , ""     , ""
"27"    , "CuCoNiCrFe"                                                               , "FCC"                                                        , ""         , "133"   , ""             , ""        , ""          , ""     , ""
"27"    , "CuCoNiCrAl0.5Fe"                                                          , "FCC"                                                        , ""         , "120"   , "C"            , "400"     , ""          , ""     , "114"
"27"    , "CuCoNiCrAl0.5Fe"                                                          , "FCC"                                                        , ""         , ""      , "C"            , "400"     , ""          , ""     , ""
"27"    , "CuCoNiCrAl0.5Fe"                                                          , "FCC"                                                        , ""         , ""      , "C"            , "400"     , ""          , ""     , ""
"27"    , "CuCoNiCrAl0.5Fe"                                                          , "FCC"                                                        , ""         , ""      , "C"            , "350"     , ""          , ""     , ""
"27"    , "CuCoNiCrAl0.5Fe"                                                          , "FCC"                                                        , ""         , ""      , "C"            , "200"     , ""          , ""     , ""
"27"    , "CuCoNiCrAl0.5Fe"                                                          , "FCC"                                                        , ""         , ""      , "C"            , "100"     , ""          , ""     , ""
"27"    , "CuCoNiCrAl0.5Fe"                                                          , "FCC"                                                        , ""         , ""      , "C"            , "50"      , ""          , ""     , ""
"27"    , "CuCoNiCrAl0.8Fe"                                                          , "FCC + BCC"                                                  , ""         , "200"   , ""             , ""        , ""          , ""     , "145"
