Material,Process,Sub-process,Power,Velocity,powder flowrate,layer thickness,beam D,Hatch spacing,depth of meltpool,width of melt pool,length of melt pool,d/w,l/w,L_over_D,H_over_W,vaporization_ratio_eta,build_to_powder_ratio_percent,normalized_enthalpy_deltaH_over_hs,conduction_to_keyhole_transition_normalized_enthalpy_deltaH_over_hs,meltpool_aspect_ratio_width_to_depth,D_over_t,L_over_W,W_over_h,E (J/mm),E (J/mm3),density,Cp,k,melting T,minimum absorptivity,Y (wt%),Zn (wt%),Mg (wt%),Si (wt%),Al (wt%),Sn (wt%),Zr (wt%),W (wt%),Ti (wt%),V (wt%),Co (wt%),Cu (wt%),Ta (wt%),Nb (wt%),Ni (wt.%),Cr (wt.%),Fe (wt.%),Mn (wt%),Mo (wt.%),paper ID,paper,Dois
Ti-6Al-4V,Powder bed fusion,Laser powder bed fusion (LPBF) on EOS M290,280,1200,,0.03,0.1,0.04,84,168,,0.5,,0.36,0.24,,,,,,,,,0.23333333333333334,194,4430,526,,,0.48,,,,,,,,,,,,,,,,,,,,1,Defect structure process maps for laser powder bed fusion additive manufacturing,
Ti-6Al-4V,Powder bed fusion,Laser powder bed fusion (LPBF) on EOS M290,370,1000,,0.03,0.1,0.24,105,210,,0.5,,0.29,1.14,,,,,,,,,0.37,51,4430,526,,,0.48,,,,,,,,,,,,,,,,,,,,1,Defect structure process maps for laser powder bed fusion additive manufacturing,
Invar 36 (Fe-36Ni),laser powder bed fusion (LPBF),"Single-track laser glazing experiments (no powder) and thermal FEA to study steady-state melt pool geometry; additional multiple-pass (bidirectional, reversing each pass) experiments with 80 µm hatch spacing to probe transient/pass-to-pass effects.",200,1600,,,0.07,,,105.1,,,,,,,,,,,,,,0.125,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,,,,file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Invar 36 (Fe-36Ni),laser powder bed fusion (LPBF),"Single-track laser glazing experiments (no powder) and thermal FEA to study steady-state melt pool geometry; additional multiple-pass (bidirectional, reversing each pass) experiments with 80 µm hatch spacing to probe transient/pass-to-pass effects.",200,2000,,,0.07,,,100.782,,,,,,,,,,,,,,0.1,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,,,,file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Invar 36 (Fe-36Ni),laser powder bed fusion (LPBF),"Single-track laser glazing experiments (no powder) and thermal FEA to study steady-state melt pool geometry; additional multiple-pass (bidirectional, reversing each pass) experiments with 80 µm hatch spacing to probe transient/pass-to-pass effects.",200,2600,,,0.07,,,92.495,,,,,,,,,,,,,,0.0769231,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,,,,file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Invar 36 (Fe-36Ni),laser powder bed fusion (LPBF),"Single-track laser glazing experiments (no powder) and thermal FEA to study steady-state melt pool geometry; additional multiple-pass (bidirectional, reversing each pass) experiments with 80 µm hatch spacing to probe transient/pass-to-pass effects.",250,1600,,,0.07,,,115.641,,,,,,,,,,,,,,0.15625,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,,,,file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Invar 36 (Fe-36Ni),laser powder bed fusion (LPBF),"Single-track laser glazing experiments (no powder) and thermal FEA to study steady-state melt pool geometry; additional multiple-pass (bidirectional, reversing each pass) experiments with 80 µm hatch spacing to probe transient/pass-to-pass effects.",250,2000,,,0.07,,,109.657,,,,,,,,,,,,,,0.125,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,,,,file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Invar 36 (Fe-36Ni),laser powder bed fusion (LPBF),"Single-track laser glazing experiments (no powder) and thermal FEA to study steady-state melt pool geometry; additional multiple-pass (bidirectional, reversing each pass) experiments with 80 µm hatch spacing to probe transient/pass-to-pass effects.",250,2600,,,0.07,,,102.964,,,,,,,,,,,,,,0.0961538,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,,,,file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Invar 36 (Fe-36Ni),laser powder bed fusion (LPBF),"Single-track laser glazing experiments (no powder) and thermal FEA to study steady-state melt pool geometry; additional multiple-pass (bidirectional, reversing each pass) experiments with 80 µm hatch spacing to probe transient/pass-to-pass effects.",300,1600,,,0.07,,,132.202,,,,,,,,,,,,,,0.1875,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,,,,file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Invar 36 (Fe-36Ni),laser powder bed fusion (LPBF),"Single-track laser glazing experiments (no powder) and thermal FEA to study steady-state melt pool geometry; additional multiple-pass (bidirectional, reversing each pass) experiments with 80 µm hatch spacing to probe transient/pass-to-pass effects.",300,2000,,,0.07,,,118.195,,,,,,,,,,,,,,0.15,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,,,,file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Invar 36 (Fe-36Ni),laser powder bed fusion (LPBF),"Single-track laser glazing experiments (no powder) and thermal FEA to study steady-state melt pool geometry; additional multiple-pass (bidirectional, reversing each pass) experiments with 80 µm hatch spacing to probe transient/pass-to-pass effects.",300,2600,,,0.07,,,112.338,,,,,,,,,,,,,,0.1153846,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,,,,file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Invar 36 (Fe-36Ni),laser powder bed fusion (LPBF),"Single-track laser glazing experiments (no powder) and thermal FEA to study steady-state melt pool geometry; additional multiple-pass (bidirectional, reversing each pass) experiments with 80 µm hatch spacing to probe transient/pass-to-pass effects.",200,1600,,,0.07,0.08,,,,,,,,,,,,,,,,0.125,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,,,,file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Invar 36 (Fe-36Ni),laser powder bed fusion (LPBF),"Single-track laser glazing experiments (no powder) and thermal FEA to study steady-state melt pool geometry; additional multiple-pass (bidirectional, reversing each pass) experiments with 80 µm hatch spacing to probe transient/pass-to-pass effects.",250,1600,,,0.07,0.08,,,,,,,,,,,,,,,,0.15625,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,,,,file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Invar 36 (Fe-36Ni),laser powder bed fusion (LPBF),"Single-track laser glazing experiments (no powder) and thermal FEA to study steady-state melt pool geometry; additional multiple-pass (bidirectional, reversing each pass) experiments with 80 µm hatch spacing to probe transient/pass-to-pass effects.",300,1600,,,0.07,0.08,,,,,,,,,,,,,,,,0.1875,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,,,,file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Invar 36 (Fe-36Ni),laser powder bed fusion (LPBF),"Single-track laser glazing experiments (no powder) and thermal FEA to study steady-state melt pool geometry; additional multiple-pass (bidirectional, reversing each pass) experiments with 80 µm hatch spacing to probe transient/pass-to-pass effects.",200,1800,,,0.07,0.08,,,,,,,,,,,,,,,,0.1111111,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,,,,file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Invar 36 (Fe-36Ni),laser powder bed fusion (LPBF),"Single-track laser glazing experiments (no powder) and thermal FEA to study steady-state melt pool geometry; additional multiple-pass (bidirectional, reversing each pass) experiments with 80 µm hatch spacing to probe transient/pass-to-pass effects.",250,1800,,,0.07,0.08,,,,,,,,,,,,,,,,0.1388889,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,,,,file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Invar 36 (Fe-36Ni),laser powder bed fusion (LPBF),"Single-track laser glazing experiments (no powder) and thermal FEA to study steady-state melt pool geometry; additional multiple-pass (bidirectional, reversing each pass) experiments with 80 µm hatch spacing to probe transient/pass-to-pass effects.",300,1800,,,0.07,0.08,,,,,,,,,,,,,,,,0.1666667,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,,,,file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,75,800,,0.04,,,,,,,,,,,,,,,,,,0.09375,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,75,1500,,0.04,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,75,2200,,0.04,,,,,,,,,,,,,,,,,,0.03409090909090909,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,150,800,,0.04,,,,,,,,,,,,,,,,,,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,150,1500,,0.04,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,150,2200,,0.04,,,,,,,,,,,,,,,,,,0.06818181818181818,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,225,800,,0.04,,,,,,,,,,,,,,,,,,0.28125,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,225,1500,,0.04,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,225,2200,,0.04,,,,,,,,,,,,,,,,,,0.10227272727272728,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,300,800,,0.04,,,,,,,,,,,,,,,,,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,300,1500,,0.04,,,115,142,,0.8098591549295775,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,300,2200,,0.04,,,,,,,,,,,,,,,,,,0.13636363636363635,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,75,800,,0.04,,,,,,,,,,,,,,,,,,0.09375,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,75,1200,,0.04,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,75,1600,,0.04,,,,,,,,,,,,,,,,,,0.046875,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,75,2000,,0.04,,,,,,,,,,,,,,,,,,0.0375,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,120,800,,0.04,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,120,1200,,0.04,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,120,1600,,0.04,,,,,,,,,,,,,,,,,,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,120,2000,,0.04,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,165,800,,0.04,,,73,112,,0.6517857142857143,,,,,,,,,,,,0.20625,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,165,1200,,0.04,,,,,,,,,,,,,,,,,,0.1375,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,165,1600,,0.04,,,,,,,,,,,,,,,,,,0.103125,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,165,2000,,0.04,,,,,,,,,,,,,,,,,,0.0825,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,225,800,,0.04,,,,,,,,,,,,,,,,,,0.28125,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,225,2000,,0.04,,,,,,,,,,,,,,,,,,0.1125,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,285,800,,0.04,,,,,,,,,,,,,,,,,,0.35625,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,285,2000,,0.04,,,,,,,,,,,,,,,,,,0.1425,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,330,800,,0.04,,,,,,,,,,,,,,,,,,0.4125,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,330,2000,,0.04,,,,,,,,,,,,,,,,,,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,375,800,,0.04,,,,,,,,,,,,,,,,,,0.46875,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718,Laser Powder Bed Fusion (L-PBF),Selective Laser Melting (SLM) using SLM® 500 system,375,2000,,0.04,,,,,,,,,,,,,,,,,,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,file11,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
AlSi10Mg,Laser Powder Bed Fusion (LPBF),Single-track laser scanning on powder bed with in-situ high-speed high-energy x-ray imaging,104,100,,0.1,0.1,,,,,,,,,,,,,,,,,1.04,,2210,1098,,828.15,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion (LPBF),Single-track laser scanning on powder bed with in-situ high-speed high-energy x-ray imaging,208,200,,0.1,0.1,,,,,,,,,,,,,,,,,1.04,,2210,1098,,828.15,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion (LPBF),Single-track laser scanning on powder bed with in-situ high-speed high-energy x-ray imaging,312,300,,0.1,0.1,,,,,,,,,,,,,,,,,1.04,,2210,1098,,828.15,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion (LPBF),Single-track laser scanning on powder bed with in-situ high-speed high-energy x-ray imaging,416,400,,0.1,0.1,,,,,,,,,,,,,,,,,1.04,,2210,1098,,828.15,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion (LPBF),Single-track laser scanning on powder bed with in-situ high-speed high-energy x-ray imaging,520,500,,0.1,0.1,,,,,,,,,,,,,,,,,1.04,,2210,1098,,828.15,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion (LPBF),Single-track laser scanning on powder bed with in-situ high-speed high-energy x-ray imaging,104,200,,0.1,0.1,,,,,,,,,,,,,,,,,0.52,,2210,1098,,828.15,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion (LPBF),Single-track laser scanning on powder bed with in-situ high-speed high-energy x-ray imaging,208,400,,0.1,0.1,,,,,,,,,,,,,,,,,0.52,,2210,1098,,828.15,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion (LPBF),Single-track laser scanning on powder bed with in-situ high-speed high-energy x-ray imaging,312,600,,0.1,0.1,,,,,,,,,,,,,,,,,0.52,,2210,1098,,828.15,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion (LPBF),Single-track laser scanning on powder bed with in-situ high-speed high-energy x-ray imaging,416,800,,0.1,0.1,,,,,,,,,,,,,,,,,0.52,,2210,1098,,828.15,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion (LPBF),Single-track laser scanning on powder bed with in-situ high-speed high-energy x-ray imaging,520,1000,,0.1,0.1,,,,,,,,,,,,,,,,,0.52,,2210,1098,,828.15,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion (LPBF),Single-track laser scanning on powder bed with in-situ high-speed high-energy x-ray imaging,104,400,,0.1,0.1,,,,,,,,,,,,,,,,,0.26,,2210,1098,,828.15,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion (LPBF),Single-track laser scanning on powder bed with in-situ high-speed high-energy x-ray imaging,208,800,,0.1,0.1,,,,,,,,,,,,,,,,,0.26,,2210,1098,,828.15,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion (LPBF),Single-track laser scanning on powder bed with in-situ high-speed high-energy x-ray imaging,312,1200,,0.1,0.1,,,,,,,,,,,,,,,,,0.26,,2210,1098,,828.15,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
AlSi10Mg,Laser Powder Bed Fusion (LPBF),Single-track laser scanning on powder bed with in-situ high-speed high-energy x-ray imaging,416,1600,,0.1,0.1,,,,,,,,,,,,,,,,,0.26,,2210,1098,,828.15,,,0.007,0.309,9.908,,,0.002,,0.009,0.011,,0.002,,,0.006,0.001,0.138,0.041,,file12,In-situ characterization and quantification of melt pool variation under constant input energy density in laser powder bed fusion additive manufacturing process,10.1016/j.addma.2019.04.021
