Composition (atomic)                                                                                      , Type of phases                                                                      , ρ represents the density (in g/cm^3), HV is the hardness in Vickers, "Type of tests, C and T stands for compression and tension"    , σY is the Yield strength (MPa), σmax is the ultimate strength (MPa), ε is the elongation (in percentage), E is the Young's modulus (GPa)
Al0.5Co0.5Cr0.5FeMo0.25Ni0.5                                                                              , duplex BCC + sigma                                                                  ,                                     ,                        635   ,                                                                ,                               ,                                    ,                                    ,                           
AlCoCrFeMo0.5                                                                                             , B2; sigma                                                                           ,                                     ,                        904   ,                                                                ,                               ,                                    ,                                    ,                           
AlCoCrFeMo0.5Ni0.5                                                                                        , B2; sigma                                                                           ,                                     ,                        770   ,                                                                ,                               ,                                    ,                                    ,                           
AlCoCrFeMo0.5Ni                                                                                           , B2; sigma                                                                           ,                                     ,                        770   ,                                                                ,                               ,                                    ,                                    ,                           
AlCoCrFeMo0.5Ni1.5                                                                                        , B2; FCC; sigma                                                                      ,                                     ,                        627   ,                                                                ,                               ,                                    ,                                    ,                           
AlCoCrFeMo0.5Ni2                                                                                          , B2; FCC; sigma                                                                      ,                                     ,                        404   ,                                                                ,                               ,                                    ,                                    ,                           
AlCoCrFeNi                                                                                                , BCC solid solution                                                                  ,                                     ,                              , C                                                              ,                        1110   ,                                    ,                               24.0 ,                           
AlCoCrFeNiSi0.2                                                                                           , Mainly BCC solid solution with nanoscale cellular precipitates                      ,                                     ,                              , C                                                              ,                        1265   ,                             2173   ,                               13.76,                           
AlCoCrFeNiSi0.4                                                                                           , Mainly BCC solid solution                                                           ,                                     ,                              , C                                                              ,                        1481   ,                             2444   ,                               13.38,                           
AlCoCrFeNiSi0.6                                                                                           , Mainly BCC solid solution with grain-boundary delta phase                           ,                                     ,                              , C                                                              ,                        1834   ,                             2195   ,                                2.56,                           
AlCoCrFeNiSi0.8                                                                                           , Mainly BCC solid solution with delta phase                                          ,                                     ,                              , C                                                              ,                        2179   ,                             2664   ,                                1.77,                           
AlCoCrFeNiSi                                                                                              , Mainly BCC solid solution with delta phase                                          ,                                     ,                              , C                                                              ,                        2411   ,                             2950   ,                                1.17,                           
Ti0.5CrFeCoNiCu                                                                                           , FCC solid solution                                                                  ,                                     ,                              , C                                                              ,                         700   ,                             1650   ,                               28.7 ,                         92.73
Ti0.5CrFeCoNiAl0.25Cu0.75                                                                                 , FCC solid solution                                                                  ,                                     ,                              , C                                                              ,                         750   ,                             1970   ,                               38.5 ,                        102.85
Ti0.5CrFeCoNiAl0.5Cu0.5                                                                                   , FCC + BCC                                                                           ,                                     ,                              , C                                                              ,                        1580   ,                             2389   ,                               17.4 ,                        160.54
Ti0.5CrFeCoNiAl0.75Cu0.25                                                                                 , BCC (two BCC phases with different lattice parameters)                              ,                                     ,                              , C                                                              ,                        1900   ,                             2697   ,                               12   ,                        164.14
Ti0.5CrFeCoNiAl                                                                                           ,                                                                                     ,                                     ,                              , C                                                              ,                        2040   ,                             3135   ,                               24.2 ,                         72.68
AlCoCrFeNi                                                                                                , bcc solid solution                                                                  ,                                     ,                              , C                                                              ,                        1500   ,                             2830   ,                               26.9 ,                        127.0
AlCoCrFeNiTi0.5                                                                                           , bcc solid solution                                                                  ,                                     ,                              , C                                                              ,                        2260   ,                             3140   ,                               23.3 ,                        177.7
AlCoCrFeNiTi1                                                                                             , bcc solid solution                                                                  ,                                     ,                              , C                                                              ,                        1860   ,                             2580   ,                                8.8 ,                         90.1
AlCoCrFeNiTi1.5                                                                                           , bcc+Laves                                                                           ,                                     ,                              , C                                                              ,                        2220   ,                             2720   ,                                5.3 ,                        159.8
Mg81Cu9.3Y4.7Zn5                                                                                          , BMG+in situ LOS                                                                     ,                                     ,                              , C                                                              ,                         550   ,                             1160   ,                               18.5 ,                         19.2
Ti60Cu14Ni12Sn4Nb10                                                                                       , Nanostructure+in situ; BCC dendrite; BMG+in situ BCC                                ,                                     ,                              , C                                                              ,                        1310   ,                             2400   ,                               14.5 ,                         66.1
Zr56.2Ti13.8Nb5Cu6.9Ni5.6Be12.5                                                                           , dendrite                                                                            ,                                     ,                              , C                                                              ,                        1300   ,                             1700   ,                                6.8 ,                        110.0
Cu48Zr48Al4                                                                                               , BMG+CuZr phase                                                                      ,                                     ,                              , C                                                              ,                        1200   ,                             1880   ,                                5.3 ,                        102.8
Ti40Zr25Ni3Cu12Be20                                                                                       , BMG                                                                                 ,                                     ,                              , C                                                              ,                        1680   ,                             1780   ,                                3.2 ,                         90.0
Zr41.2Ti13.8Cu12.5Ni10Be22.5                                                                              , BMG                                                                                 ,                                     ,                              , C                                                              ,                        1640   ,                             1760   ,                                0.3 ,                         96.3
Co43Fe20Ta5.5B31.5                                                                                        , BMG                                                                                 ,                                     ,                              , C                                                              ,                        5190   ,                             5190   ,                                    ,                        268.0
CuCoNiCrAl0.5Fe                                                                                           , fcc                                                                                 ,                                     ,                              , T                                                              ,                               ,                                    ,                                    ,                        114
CuCoNiCrAl0.8Fe                                                                                           ,                                                                                     ,                                     ,                              , T                                                              ,                               ,                                    ,                                    ,                        145
CuCoNiCrAl1.0Fe                                                                                           ,                                                                                     ,                                     ,                              , T                                                              ,                               ,                                    ,                                    ,                        163
Al0.00Cr0.20Fe0.20Co0.20Ni0.20Mn0.20                                                                      , single fcc                                                                          ,                                     ,                              , T                                                              ,                         209   ,                              496   ,                               61.7 ,                           
Al0.07Cr0.186Fe0.186Co0.186Ni0.186Mn0.186                                                                 , single fcc                                                                          ,                                     ,                              , T                                                              ,                         242   ,                              529   ,                               47.2 ,                           
Al0.11Cr0.178Fe0.178Co0.178Ni0.178Mn0.178                                                                 , "fcc + bcc duplex (reported ~74.6% fcc, ~25.4% bcc)"                                ,                                     ,                              , T                                                              ,                         832   ,                             1174   ,                                7.7 ,                           
CoCrFeMnNi                                                                                                , FCC                                                                                 ,                                     ,                              , C                                                              ,                         230   ,                                    ,                                    ,                           
CoCrFeMnNiV0.25                                                                                           , FCC + sigma (minor)                                                                 ,                                     ,                              , C                                                              ,                         200   ,                                    ,                                    ,                           
CoCrFeMnNiV0.5                                                                                            , FCC + tetragonal (sigma)                                                            ,                                     ,                              , C                                                              ,                         620   ,                                    ,                                    ,                           
CoCrFeMnNiV0.75                                                                                           , FCC + tetragonal (sigma)                                                            ,                                     ,                              , C                                                              ,                         740   ,                             1325   ,                                7.8 ,                           
CoCrFeMnNiV                                                                                               , FCC + tetragonal (sigma)                                                            ,                                     ,                              , C                                                              ,                        1660   ,                             1845   ,                                0.5 ,                           
AlCrFeNi                                                                                                  , BCC1 (AlNi-type intermetallic) + BCC2 (FeCr-type solid solution)                    ,                                     ,                              , C                                                              ,                        1406.2 ,                             2926.5 ,                               28.5 ,                           
AlCrFeNiMo0.2                                                                                             , BCC1 (AlNi-type intermetallic) + BCC2 (FeCr-type solid solution)                    ,                                     ,                              , C                                                              ,                        1487.4 ,                             3222   ,                               28.7 ,                           
AlCrFeNiMo0.5                                                                                             , BCC1 (AlNi-type intermetallic) + BCC2 (FeCr-type solid solution)                    ,                                     ,                              , C                                                              ,                        1748.6 ,                             2643.5 ,                               12.6 ,                           
AlCrFeNiMo0.8                                                                                             , BCC1 + sigma (FeCrMo-type)                                                          ,                                     ,                              , C                                                              ,                        1512.5 ,                             1512.5 ,                                0   ,                           
CoCrCuFeNi                                                                                                , single FCC solid solution                                                           ,                                     ,                              , C                                                              ,                         230   ,                              888   ,                               50.2 ,                         55.6
CoCrCuFeNiTi0.5                                                                                           , single FCC solid solution                                                           ,                                     ,                              , C                                                              ,                         700   ,                             1650   ,                               21.6 ,                         98.6
CoCrCuFeNiTi0.8                                                                                           , primary FCC solid solution + eutectic (FCC + Fe2Ti-type Laves) + amorphous fraction ,                                     ,                              , C                                                              ,                        1042   ,                             1848   ,                                2.11,                        128.3
CoCrCuFeNiTi                                                                                              , primary FCC solid solution + eutectic (FCC + Fe2Ti-type Laves) + amorphous fraction ,                                     ,                              , C                                                              ,                        1272   ,                             1272   ,                                0   ,                         76.5
Al0.5CoCrCuFeNi                                                                                           , FCC                                                                                 ,                                     ,                        223.6 ,                                                                ,                               ,                                    ,                                    ,                           
Al0.5CoCrCuFeNiTi0.2                                                                                      , FCC                                                                                 ,                                     ,                        272.0 ,                                                                ,                               ,                                    ,                                    ,                           
Al0.5CoCrCuFeNiTi0.4                                                                                      , "FCC + BCC (β1, β2)"                                                                ,                                     ,                        320.5 ,                                                                ,                               ,                                    ,                                    ,                           
Al0.5CoCrCuFeNiTi0.6                                                                                      , "FCC + BCC (β1, β2)"                                                                ,                                     ,                        457.0 ,                                                                ,                               ,                                    ,                                    ,                           
Al0.5CoCrCuFeNiTi0.8                                                                                      , "FCC + BCC (β1, β2) + CoCr-like"                                                    ,                                     ,                        578.1 ,                                                                ,                               ,                                    ,                                    ,                           
Al0.5CoCrCuFeNiTi1.0                                                                                      , "FCC + BCC (β1, β2) + CoCr-like"                                                    ,                                     ,                        634.7 ,                                                                ,                               ,                                    ,                                    ,                           
