Material,Process,Sub-process,Power,Velocity,powder flowrate,layer thickness,beam D,Hatch spacing,depth of meltpool,width of melt pool,length of melt pool,d/w,l/w,D_over_t,H_over_W,L_over_D,PDAS_um_experiment_near_0_15,PDAS_um_predicted,PDAS_um_prediction_near_0_15,PDAS_um_prediction_site_D,PDAS_um_prediction_site_E,PDAS_um_prediction_site_F,PDAS_um_prediction_site_J,PDAS_um_reference_experiment,PDAS_um_site_D,PDAS_um_site_E,PDAS_um_site_F,PDAS_um_site_J,PRF_kHz,P_over_sqrtV_W_per_sqrt_mm_per_s,Pv_minus_half_W_mm_minus_1_2_s_1_2,W_over_h,absorptivity,alloy,approx_from_plot,beam_profile,beam_radius_um_reported,build_layer_height_um,build_to_powder_ratio_percent,cavity_minus_meltpool_depth_um,coating_height_um,conduction_to_transition_AR_boundary,conduction_to_transition_recoil_force_mN_approx,constant_Ax_um2,constant_Ax_um2_curves,constant_l_over_d,constant_l_over_d_curves,cooling_rate_K_per_s,critical_depression_width_top_um_for_spot_size,critical_power_density_threshold_MW_per_cm2,crossflow_direction,crossflow_m_per_s,data_origin,depression_and_absorptivity_source,depression_zone_depth_um,depression_zone_width_to_depth,depression_zone_width_um,depth_decrease_slope_um_per_mm,depth_note,depth_vs_height_trend,design,diameter_um_series,dimensionless_enthalpy_H_star,experimental_remelting_depth_um,factor_levels,fixed_parameters,front_wall_tilt_deg,geometry,geometry_basis,ied_J_per_cm2,intercellular_Al_at_percent,keyhole_recoil_force_mN_approx,laser_mode,laser_wavelength_nm,length_definition,length_to_depth,machine,material,melting_mode,melting_regime,meltpool_dimensions_source,meltpool_geometry_source,normalized_enthalpy_DeltaH_over_hs,note,noted_model_offset_um,numerical_steady_state_width_um,oxygen_ppm,partition_coefficient_kLPBF,point_distance_um,porosity_percent,powder_condition,powder_to_no_powder_depth_ratio,powder_to_no_powder_width_ratio,power_series_W_approx_from_plot,preheat_temperature_C,pressure_Pa,pressure_condition,pressure_kPa,pulse_duration_us,rear_wall_feature,reported_areal_energy_density_J_per_mm2,reported_aspect_ratio_D_over_Lh,reported_aspect_ratio_width_to_depth,reported_cross_section_area_um2,reported_meltpool_aspect_ratio_transition_value,reported_meltpool_ranges_um,reported_stable_speed_window_m_per_s,ripple_angle_deg_experimental_range,rosenthal_model_depth_um,rubenchik_model_depth_um,scan_pattern,scan_strategy,scan_strategy_rotation_deg,secondary_depression_depth_um,secondary_depression_offset_from_primary_um,secondary_depression_present,site_xprime_um,site_zprime_um,source,source_figure,specific_energy_density_J_per_mm2,stability_cmp_over_lmp,stability_regime,substrate_condition,surface_condition,table_unit_label,temperature_gradient_K_per_m,thermal_gradient_K_per_mm,top_boundary,track_location,transition_region_recoil_force_mN_range,transition_to_keyhole_AR_boundary,tuning_fork_ids_used,two_depth_to_width,type_II_depth_std_dev_um,type_II_depth_um,type_II_width_std_dev_um,type_II_width_um,type_I_depth_std_dev_um,type_I_depth_um,type_I_width_std_dev_um,type_I_width_um,value_basis,vapor_cavity_depth_um,vaporized_to_molten_volume_ratio_eta,velocity_series_mm_per_s,width_difference_percent,width_to_depth,E (J/mm),E (J/mm3),density,Cp,k,melting T,minimum absorptivity,Y (wt%),Zn (wt%),Mg (wt%),Si (wt%),Al (wt%),Sn (wt%),Zr (wt%),W (wt%),Ti (wt%),V (wt%),Co (wt%),Cu (wt%),Ta (wt%),Nb (wt%),Ni (wt.%),Cr (wt.%),Fe (wt.%),Mn (wt%),Mo (wt.%),paper ID,paper,Dois
Invar 36 (Fe-36Ni),Laser powder bed fusion (LPBF),Single-pass laser glazing tracks with additional multiple-pass bidirectional transient scans,250,1600,,,70,,,115.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.841,,0.15625,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,64,,,10/file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Invar 36 (Fe-36Ni),Laser powder bed fusion (LPBF),Single-pass laser glazing tracks with additional multiple-pass bidirectional transient scans,250,2000,,,70,,,109.657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0004,,0.125,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,64,,,10/file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Invar 36 (Fe-36Ni),Laser powder bed fusion (LPBF),Single-pass laser glazing tracks with additional multiple-pass bidirectional transient scans,250,2600,,,70,,,102.964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.2362,,0.0961538462,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,64,,,10/file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Invar 36 (Fe-36Ni),Laser powder bed fusion (LPBF),Single-pass laser glazing tracks with additional multiple-pass bidirectional transient scans,300,1600,,,70,,,132.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2163,,0.1875,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,64,,,10/file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Invar 36 (Fe-36Ni),Laser powder bed fusion (LPBF),Single-pass laser glazing tracks with additional multiple-pass bidirectional transient scans,300,2000,,,70,,,118.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5864,,0.15,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,64,,,10/file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Invar 36 (Fe-36Ni),Laser powder bed fusion (LPBF),Single-pass laser glazing tracks with additional multiple-pass bidirectional transient scans,300,2600,,,70,,,112.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.808,,0.1153846154,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,64,,,10/file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Inconel 718 (IN 718),Laser Powder Bed Fusion (L-PBF),"Single-track laser deposition with powder on AM pad, and multilayer cube fabrication with bidirectional 0-90 deg scan rotation",75,800,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09375,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718 (IN 718),Laser Powder Bed Fusion (L-PBF),"Single-track laser deposition with powder on AM pad, and multilayer cube fabrication with bidirectional 0-90 deg scan rotation",75,1500,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718 (IN 718),Laser Powder Bed Fusion (L-PBF),"Single-track laser deposition with powder on AM pad, and multilayer cube fabrication with bidirectional 0-90 deg scan rotation",75,2200,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0340909091,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718 (IN 718),Laser Powder Bed Fusion (L-PBF),"Single-track laser deposition with powder on AM pad, and multilayer cube fabrication with bidirectional 0-90 deg scan rotation",150,800,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718 (IN 718),Laser Powder Bed Fusion (L-PBF),"Single-track laser deposition with powder on AM pad, and multilayer cube fabrication with bidirectional 0-90 deg scan rotation",150,1500,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718 (IN 718),Laser Powder Bed Fusion (L-PBF),"Single-track laser deposition with powder on AM pad, and multilayer cube fabrication with bidirectional 0-90 deg scan rotation",150,2200,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0681818182,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718 (IN 718),Laser Powder Bed Fusion (L-PBF),"Single-track laser deposition with powder on AM pad, and multilayer cube fabrication with bidirectional 0-90 deg scan rotation",225,800,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28125,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718 (IN 718),Laser Powder Bed Fusion (L-PBF),"Single-track laser deposition with powder on AM pad, and multilayer cube fabrication with bidirectional 0-90 deg scan rotation",225,1500,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718 (IN 718),Laser Powder Bed Fusion (L-PBF),"Single-track laser deposition with powder on AM pad, and multilayer cube fabrication with bidirectional 0-90 deg scan rotation",225,2200,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1022727273,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718 (IN 718),Laser Powder Bed Fusion (L-PBF),"Single-track laser deposition with powder on AM pad, and multilayer cube fabrication with bidirectional 0-90 deg scan rotation",300,800,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718 (IN 718),Laser Powder Bed Fusion (L-PBF),"Single-track laser deposition with powder on AM pad, and multilayer cube fabrication with bidirectional 0-90 deg scan rotation",300,1500,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718 (IN 718),Laser Powder Bed Fusion (L-PBF),"Single-track laser deposition with powder on AM pad, and multilayer cube fabrication with bidirectional 0-90 deg scan rotation",300,2200,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
Inconel 718 (IN 718),Laser Powder Bed Fusion (L-PBF),"Single-track laser deposition with powder on AM pad, and multilayer cube fabrication with bidirectional 0-90 deg scan rotation",75,800,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09375,,,,,,,,,,,,,,,,,,,,,,,,,,,Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,
