original_row,reconstructed_row,match_basis,original_material,reconstructed_material,original_material_canonical,reconstructed_material_canonical,material_match_after_normalization,power_norm,velocity_norm,layer_thickness_norm,original_paper_id,reconstructed_paper_id,original_full_key_group_size,reconstructed_full_key_group_size,original_fallback_key_group_size,reconstructed_fallback_key_group_size
18,272,material_power_velocity_layer_paper_id,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,100,750,30,2,2/file2,1,1,1,1
19,273,material_power_velocity_layer_paper_id,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,100,1000,30,2,2/file2,1,1,2,2
20,274,material_power_velocity_layer_paper_id,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,100,1200,30,2,2/file2,1,1,2,2
21,275,material_power_velocity_layer_paper_id,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,150,500,30,2,2/file2,1,1,2,1
22,276,material_power_velocity_layer_paper_id,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,150,750,30,2,2/file2,1,1,1,1
23,277,material_power_velocity_layer_paper_id,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,150,1000,30,2,2/file2,1,1,1,1
24,278,material_power_velocity_layer_paper_id,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,150,1200,30,2,2/file2,1,1,2,1
25,279,material_power_velocity_layer_paper_id,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,195,500,30,2,2/file2,1,1,1,1
26,280,material_power_velocity_layer_paper_id,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,195,750,30,2,2/file2,1,1,1,1
27,281,material_power_velocity_layer_paper_id,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,195,1000,30,2,2/file2,1,1,1,1
28,282,material_power_velocity_layer_paper_id,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,195,1200,30,2,2/file2,1,1,1,1
29,450,material_power_velocity_layer_paper_id,AlSi10Mg,AlSi10Mg aluminum alloy,alsi10mg,alsi10mg,yes,100,150,60,3,3/file3,1,1,1,1
30,451,material_power_velocity_layer_paper_id,AlSi10Mg,AlSi10Mg aluminum alloy,alsi10mg,alsi10mg,yes,100,200,60,3,3/file3,1,1,1,1
31,452,material_power_velocity_layer_paper_id,AlSi10Mg,AlSi10Mg aluminum alloy,alsi10mg,alsi10mg,yes,100,250,60,3,3/file3,1,1,1,1
32,453,material_power_velocity_layer_paper_id,AlSi10Mg,AlSi10Mg aluminum alloy,alsi10mg,alsi10mg,yes,100,300,60,3,3/file3,1,1,1,1
33,454,material_power_velocity_layer_paper_id,AlSi10Mg,AlSi10Mg aluminum alloy,alsi10mg,alsi10mg,yes,100,350,60,3,3/file3,1,1,1,1
34,455,material_power_velocity_layer_paper_id,AlSi10Mg,AlSi10Mg aluminum alloy,alsi10mg,alsi10mg,yes,100,400,60,3,3/file3,1,1,1,1
40,615,material_power_velocity_layer_paper_id,IN625,Nickel alloy 625 (Inconel 625),in625,in625,yes,169,875,20,5,5/file5,1,1,1,1
41,616,material_power_velocity_layer_paper_id,IN625,Nickel alloy 625 (Inconel 625),in625,in625,yes,195,875,20,5,5/file5,1,1,1,1
42,617,material_power_velocity_layer_paper_id,IN625,Nickel alloy 625 (Inconel 625),in625,in625,yes,182,875,20,5,5/file5,2,2,2,2
44,619,material_power_velocity_layer_paper_id,IN625,Nickel alloy 625 (Inconel 625),in625,in625,yes,195,800,20,5,5/file5,3,3,4,4
45,618,material_power_velocity_layer_paper_id,IN625,Nickel alloy 625 (Inconel 625),in625,in625,yes,182,725,20,5,5/file5,1,2,1,2
46,621,material_power_velocity_layer_paper_id,IN625,Nickel alloy 625 (Inconel 625),in625,in625,yes,182,800,20,5,5/file5,2,3,2,3
47,623,material_power_velocity_layer_paper_id,IN625,Nickel alloy 625 (Inconel 625),in625,in625,yes,195,725,20,5,5/file5,1,1,1,1
48,622,material_power_velocity_layer_paper_id,IN625,Nickel alloy 625 (Inconel 625),in625,in625,yes,182,800,20,5,5/file5,2,3,2,3
49,625,material_power_velocity_layer_paper_id,IN625,Nickel alloy 625 (Inconel 625),in625,in625,yes,182,875,20,5,5/file5,2,2,2,2
50,626,material_power_velocity_layer_paper_id,IN625,Nickel alloy 625 (Inconel 625),in625,in625,yes,169,725,20,5,5/file5,1,1,1,1
51,627,material_power_velocity_layer_paper_id,IN625,Nickel alloy 625 (Inconel 625),in625,in625,yes,169,800,20,5,5/file5,2,2,2,2
52,628,material_power_velocity_layer_paper_id,IN625,Nickel alloy 625 (Inconel 625),in625,in625,yes,169,800,20,5,5/file5,2,2,2,2
53,629,material_power_velocity_layer_paper_id,IN625,Nickel alloy 625 (Inconel 625),in625,in625,yes,195,800,20,5,5/file5,3,3,4,4
54,630,material_power_velocity_layer_paper_id,IN625,Nickel alloy 625 (Inconel 625),in625,in625,yes,195,800,20,5,5/file5,3,3,4,4
55,631,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,160,2800,40,6,6/file6,6,6,6,6
56,632,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,160,2800,40,6,6/file6,6,6,6,6
57,633,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,160,2800,40,6,6/file6,6,6,6,6
58,634,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,160,2800,40,6,6/file6,6,6,6,6
59,635,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,160,2800,40,6,6/file6,6,6,6,6
60,636,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,160,2800,40,6,6/file6,6,6,6,6
61,637,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,225,1940,40,6,6/file6,7,7,7,7
62,638,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,225,1940,40,6,6/file6,7,7,7,7
63,639,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,225,1940,40,6,6/file6,7,7,7,7
64,640,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,225,1940,40,6,6/file6,7,7,7,7
65,641,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,225,1940,40,6,6/file6,7,7,7,7
66,642,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,225,1940,40,6,6/file6,7,7,7,7
67,643,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,225,1940,40,6,6/file6,7,7,7,7
68,644,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,350,1680,40,6,6/file6,7,7,7,7
69,645,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,350,1680,40,6,6/file6,7,7,7,7
70,646,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,350,1680,40,6,6/file6,7,7,7,7
71,647,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,350,1680,40,6,6/file6,7,7,7,7
72,648,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,350,1680,40,6,6/file6,7,7,7,7
73,649,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,350,1680,40,6,6/file6,7,7,7,7
74,650,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,350,1680,40,6,6/file6,7,7,7,7
75,651,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,350,1180,40,6,6/file6,7,7,7,7
76,652,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,350,1180,40,6,6/file6,7,7,7,7
77,653,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,350,1180,40,6,6/file6,7,7,7,7
78,654,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,350,1180,40,6,6/file6,7,7,7,7
79,655,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,350,1180,40,6,6/file6,7,7,7,7
80,656,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,350,1180,40,6,6/file6,7,7,7,7
81,657,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,350,1180,40,6,6/file6,7,7,7,7
82,658,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,345,1060,40,6,6/file6,7,7,7,7
83,659,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,345,1060,40,6,6/file6,7,7,7,7
84,660,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,345,1060,40,6,6/file6,7,7,7,7
85,661,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,345,1060,40,6,6/file6,7,7,7,7
86,662,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,345,1060,40,6,6/file6,7,7,7,7
87,663,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,345,1060,40,6,6/file6,7,7,7,7
88,664,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,345,1060,40,6,6/file6,7,7,7,7
89,665,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,350,800,40,6,6/file6,6,6,6,6
90,666,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,350,800,40,6,6/file6,6,6,6,6
91,667,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,350,800,40,6,6/file6,6,6,6,6
92,668,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,350,800,40,6,6/file6,6,6,6,6
93,669,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,350,800,40,6,6/file6,6,6,6,6
94,670,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,350,800,40,6,6/file6,6,6,6,6
95,671,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,340,560,40,6,6/file6,5,5,5,5
96,672,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,340,560,40,6,6/file6,5,5,5,5
97,673,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,340,560,40,6,6/file6,5,5,5,5
98,674,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,340,560,40,6,6/file6,5,5,5,5
99,675,material_power_velocity_layer_paper_id,IN625,IN625,in625,in625,yes,340,560,40,6,6/file6,5,5,5,5
100,676,material_power_velocity_layer_paper_id,TiC/Inconel 718,TiC/Inconel 718 composite powder (TiC:Inconel 718 = 0.25:0.75 by weight),in718,in718,yes,75,100,50,7,7/file7,1,1,3,1
101,677,material_power_velocity_layer_paper_id,TiC/Inconel 718,TiC/Inconel 718 composite powder (TiC:Inconel 718 = 0.25:0.75 by weight),in718,in718,yes,100,100,50,7,7/file7,1,1,3,1
102,678,material_power_velocity_layer_paper_id,TiC/Inconel 718,TiC/Inconel 718 composite powder (TiC:Inconel 718 = 0.25:0.75 by weight),in718,in718,yes,125,100,50,7,7/file7,2,1,4,1
103,679,material_power_velocity_layer_paper_id,TiC/Inconel 718,TiC/Inconel 718 composite powder (TiC:Inconel 718 = 0.25:0.75 by weight),in718,in718,yes,150,100,50,7,7/file7,1,1,4,1
104,680,material_power_velocity_layer_paper_id,TiC/Inconel 718,TiC/Inconel 718 composite powder (TiC:Inconel 718 = 0.25:0.75 by weight),in718,in718,yes,125,50,50,7,7/file7,1,1,1,1
106,681,material_power_velocity_layer_paper_id,TiC/Inconel 718,TiC/Inconel 718 composite powder (TiC:Inconel 718 = 0.25:0.75 by weight),in718,in718,yes,125,200,50,7,7/file7,1,1,2,1
107,682,material_power_velocity_layer_paper_id,TiC/Inconel 718,TiC/Inconel 718 composite powder (TiC:Inconel 718 = 0.25:0.75 by weight),in718,in718,yes,125,300,50,7,7/file7,1,1,2,1
109,489,power_velocity_layer_only,Hastelloy X,Inconel 718 powder,hastelloyx,in718,no,150,700,20,8,S0168-874X(17)30520-6,1,1,1,1
110,481,power_velocity_layer_only,Hastelloy X,Hastelloy X,hastelloyx,hastelloyx,yes,150,1000,20,8,file31,1,1,2,1
111,483,power_velocity_layer_only,Hastelloy X,Hastelloy X,hastelloyx,hastelloyx,yes,200,800,20,8,file31,1,1,2,1
113,484,power_velocity_layer_only,Hastelloy X,Hastelloy X,hastelloyx,hastelloyx,yes,200,1300,20,8,file31,1,1,2,1
114,482,power_velocity_layer_only,Hastelloy X,Hastelloy X,hastelloyx,hastelloyx,yes,250,1000,20,8,file31,1,1,2,1
117,494,power_velocity_layer_only,Hastelloy X,Inconel 718 powder,hastelloyx,in718,no,300,1200,20,8,S0168-874X(17)30520-6,1,1,1,1
124,551,power_velocity_layer_only,Hastelloy X,IN718 and MS1,hastelloyx,in718,no,200,1000,40,8,file37,1,2,2,2
126,555,power_velocity_layer_only,Hastelloy X,IN718 and MS1,hastelloyx,in718,no,250,1000,40,8,file37,1,2,3,2
127,580,power_velocity_layer_only,Hastelloy X,IN718 and MS1,hastelloyx,in718,no,250,1200,40,8,file37,1,1,2,1
130,34,power_velocity_layer_only,Hastelloy X,Inconel 718 (IN 718),hastelloyx,in718,no,300,1500,40,8,,1,1,2,1
145,703,material_power_velocity_layer_paper_id,IN718,Inconel 718,in718,in718,yes,150,200,70,9,9/file9,1,1,1,1
167,15,material_power_velocity_layer_paper_id,Invar36,Invar 36 (Fe-36Ni),invar36,invar36,yes,200,1600,,10,10/file10,1,1,2,1
168,16,material_power_velocity_layer_paper_id,Invar36,Invar 36 (Fe-36Ni),invar36,invar36,yes,200,2000,,10,10/file10,1,1,2,1
169,17,material_power_velocity_layer_paper_id,Invar36,Invar 36 (Fe-36Ni),invar36,invar36,yes,200,2600,,10,10/file10,1,1,2,1
170,18,material_power_velocity_layer_paper_id,Invar36,Invar 36 (Fe-36Ni),invar36,invar36,yes,250,1600,,10,10/file10,1,1,2,2
171,19,material_power_velocity_layer_paper_id,Invar36,Invar 36 (Fe-36Ni),invar36,invar36,yes,250,2000,,10,10/file10,1,1,2,1
172,20,material_power_velocity_layer_paper_id,Invar36,Invar 36 (Fe-36Ni),invar36,invar36,yes,250,2600,,10,10/file10,1,1,2,1
173,21,material_power_velocity_layer_paper_id,Invar36,Invar 36 (Fe-36Ni),invar36,invar36,yes,300,1600,,10,10/file10,1,1,2,1
174,22,material_power_velocity_layer_paper_id,Invar36,Invar 36 (Fe-36Ni),invar36,invar36,yes,300,2000,,10,10/file10,1,1,3,2
175,23,material_power_velocity_layer_paper_id,Invar36,Invar 36 (Fe-36Ni),invar36,invar36,yes,300,2600,,10,10/file10,1,1,2,1
176,24,power_velocity_layer_only,IN718,Inconel 718 (IN 718),in718,in718,yes,75,800,40,11,,1,2,1,2
177,25,power_velocity_layer_only,IN718,Inconel 718 (IN 718),in718,in718,yes,75,1500,40,11,,1,1,1,1
178,26,power_velocity_layer_only,IN718,Inconel 718 (IN 718),in718,in718,yes,75,2200,40,11,,1,1,1,1
179,27,power_velocity_layer_only,IN718,Inconel 718 (IN 718),in718,in718,yes,150,800,40,11,,1,1,2,1
180,28,power_velocity_layer_only,IN718,Inconel 718 (IN 718),in718,in718,yes,150,1500,40,11,,1,1,1,1
181,29,power_velocity_layer_only,IN718,Inconel 718 (IN 718),in718,in718,yes,150,2200,40,11,,1,1,1,1
182,30,power_velocity_layer_only,IN718,Inconel 718 (IN 718),in718,in718,yes,225,800,40,11,,1,2,1,2
183,31,power_velocity_layer_only,IN718,Inconel 718 (IN 718),in718,in718,yes,225,1500,40,11,,1,1,1,1
184,32,power_velocity_layer_only,IN718,Inconel 718 (IN 718),in718,in718,yes,225,2200,40,11,,1,1,1,1
185,33,power_velocity_layer_only,IN718,Inconel 718 (IN 718),in718,in718,yes,300,800,40,11,,1,1,1,1
187,35,power_velocity_layer_only,IN718,Inconel 718 (IN 718),in718,in718,yes,300,2200,40,11,,1,1,2,1
188,67,power_velocity_layer_only,AlSi10Mg,AlSi10Mg,alsi10mg,alsi10mg,yes,208,800,100,12,,1,1,1,1
189,68,power_velocity_layer_only,AlSi10Mg,AlSi10Mg,alsi10mg,alsi10mg,yes,312,1200,100,12,,1,1,1,1
190,69,power_velocity_layer_only,AlSi10Mg,AlSi10Mg,alsi10mg,alsi10mg,yes,416,1600,100,12,,1,1,1,1
191,70,power_velocity_layer_only,AlSi10Mg,AlSi10Mg,alsi10mg,alsi10mg,yes,520,2000,100,12,,1,1,1,1
192,61,power_velocity_layer_only,AlSi10Mg,AlSi10Mg,alsi10mg,alsi10mg,yes,104,200,100,12,,1,1,1,1
193,62,power_velocity_layer_only,AlSi10Mg,AlSi10Mg,alsi10mg,alsi10mg,yes,208,400,100,12,,1,1,1,1
194,63,power_velocity_layer_only,AlSi10Mg,AlSi10Mg,alsi10mg,alsi10mg,yes,312,600,100,12,,1,1,1,1
195,64,power_velocity_layer_only,AlSi10Mg,AlSi10Mg,alsi10mg,alsi10mg,yes,416,800,100,12,,1,1,1,1
196,65,power_velocity_layer_only,AlSi10Mg,AlSi10Mg,alsi10mg,alsi10mg,yes,520,1000,100,12,,1,1,1,1
197,56,power_velocity_layer_only,AlSi10Mg,AlSi10Mg,alsi10mg,alsi10mg,yes,104,100,100,12,,1,1,1,1
198,57,power_velocity_layer_only,AlSi10Mg,AlSi10Mg,alsi10mg,alsi10mg,yes,208,200,100,12,,1,1,1,1
199,58,power_velocity_layer_only,AlSi10Mg,AlSi10Mg,alsi10mg,alsi10mg,yes,312,300,100,12,,1,1,1,1
200,59,power_velocity_layer_only,AlSi10Mg,AlSi10Mg,alsi10mg,alsi10mg,yes,416,400,100,12,,1,1,1,1
201,60,power_velocity_layer_only,AlSi10Mg,AlSi10Mg,alsi10mg,alsi10mg,yes,520,500,100,12,,1,1,1,1
222,93,power_velocity_layer_only,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,240,400,100,13,file13,4,1,4,1
242,92,power_velocity_layer_only,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,300,700,100,13,file13,4,1,4,1
262,94,power_velocity_layer_only,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,360,1000,100,13,file13,4,1,4,1
266,97,power_velocity_layer_only,SS316L,SS316L and IN738LC,ss316l,ss316l,yes,200,850,30,14,,1,1,1,1
267,98,power_velocity_layer_only,SS316L,SS316L and IN738LC,ss316l,ss316l,yes,200,1000,30,14,,1,2,2,2
268,99,power_velocity_layer_only,SS316L,SS316L and IN738LC,ss316l,ss316l,yes,200,1150,30,14,,1,1,1,1
269,100,power_velocity_layer_only,SS316L,SS316L and IN738LC,ss316l,ss316l,yes,200,1300,30,14,,1,1,1,1
270,101,power_velocity_layer_only,SS316L,SS316L and IN738LC,ss316l,ss316l,yes,200,1450,30,14,,1,1,1,1
271,102,power_velocity_layer_only,SS316L,SS316L and IN738LC,ss316l,ss316l,yes,200,1600,30,14,,1,1,1,1
272,103,power_velocity_layer_only,IN738LC,SS316L and IN738LC,in738lc,ss316l,no,200,600,30,14,,1,2,3,2
273,104,power_velocity_layer_only,IN738LC,SS316L and IN738LC,in738lc,ss316l,no,200,750,30,14,,1,1,2,1
274,105,power_velocity_layer_only,IN738LC,SS316L and IN738LC,in738lc,ss316l,no,200,900,30,14,,1,2,2,2
275,106,power_velocity_layer_only,IN738LC,SS316L and IN738LC,in738lc,ss316l,no,200,1050,30,14,,1,1,1,1
276,107,power_velocity_layer_only,IN738LC,SS316L and IN738LC,in738lc,ss316l,no,200,1200,30,14,,1,1,2,1
326,123,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,100,150,75,16,,1,1,1,1
327,124,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,100,200,75,16,,1,1,1,1
328,125,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,100,300,75,16,,1,1,1,1
329,126,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,200,300,75,16,,1,1,1,1
330,127,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,200,400,75,16,,1,1,1,1
331,128,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,200,600,75,16,,1,1,1,1
354,145,power_velocity_layer_only,SS316L,Stainless steel 316L (powder on SS316L substrate),ss316l,ss316l,yes,50,220,50,19,,1,1,2,1
374,596,power_velocity_layer_only,SS316L,304L stainless steel powder,ss316l,304l,no,120,250,50,19,file39,1,1,1,1
382,597,power_velocity_layer_only,SS316L,304L stainless steel powder,ss316l,304l,no,150,250,50,19,file39,1,1,2,1
421,143,power_velocity_layer_only,SS316L,Stainless steel 316L (powder on SS316L substrate),ss316l,ss316l,yes,375,220,50,19,,1,1,3,1
427,283,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,100,400,30,20,,1,1,1,1
428,289,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,100,500,30,20,,1,1,2,2
429,295,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,100,600,30,20,,1,1,1,1
430,301,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,100,700,30,20,,1,1,1,1
431,307,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,100,800,30,20,,1,1,1,1
432,313,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,100,900,30,20,,1,1,1,1
433,319,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,100,1000,30,20,,1,1,2,2
434,325,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,100,1100,30,20,,1,1,1,1
435,284,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,200,400,30,20,,1,1,2,1
436,290,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,200,500,30,20,,1,1,7,1
437,296,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,200,600,30,20,,1,2,3,2
438,302,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,200,700,30,20,,1,1,2,1
439,308,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,200,800,30,20,,1,1,2,1
440,314,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,200,900,30,20,,1,2,2,2
441,320,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,200,1000,30,20,,1,2,2,2
442,326,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,200,1100,30,20,,1,1,1,1
443,285,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,300,400,30,20,,1,1,2,1
444,291,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,300,500,30,20,,1,1,2,1
445,297,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,300,600,30,20,,1,1,2,1
446,303,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,300,700,30,20,,1,1,2,1
447,309,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,300,800,30,20,,1,1,3,1
448,315,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,300,900,30,20,,1,1,2,1
449,321,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,300,1000,30,20,,1,1,1,1
450,327,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,300,1100,30,20,,1,1,1,1
451,286,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,400,400,30,20,,1,1,1,1
452,292,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,400,500,30,20,,1,1,1,1
453,298,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,400,600,30,20,,1,1,1,1
454,304,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,400,700,30,20,,1,1,1,1
455,310,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,400,800,30,20,,1,1,1,1
456,316,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,400,900,30,20,,1,1,1,1
457,322,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,400,1000,30,20,,1,1,1,1
458,328,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,400,1100,30,20,,1,1,2,1
459,287,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,500,400,30,20,,1,1,1,1
460,293,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,500,500,30,20,,1,1,1,1
461,299,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,500,600,30,20,,1,1,1,1
